config_id,size_n,K,k_paired,mean_visits,mean_pct_delta_visits_vs_base,pct_delta_ci95_lo,pct_delta_ci95_hi,ci_informative,base_tiebreak_noise_pct,frac_instances_wl_broken,mean_n_pairs_kept,n_rows,n_ok,n_partial_assign,n_degenerate,n_timeout,n_error
base,50,60,60,8141.75,0.0,0.0,0.0,True,0.0,0.0,793.0,60,60,0,0,0,0
corner_loose,50,12,12,8208.166666666666,1.1478556393686845,-1.1367709357207407,3.4324822144581097,True,0.0,0.0,1220.8333333333333,12,12,0,0,0,0
corner_tight,50,12,12,8031.833333333333,-1.0969622231931317,-2.5711552858459275,0.37723083945966396,True,0.0,0.0,90.66666666666667,12,12,0,0,0,0
minfreq_x0.5,50,12,12,8141.75,0.0,0.0,0.0,True,0.0,0.0,793.0,12,12,0,0,0,0
minfreq_x0.75,50,12,12,8141.75,0.0,0.0,0.0,True,0.0,0.0,793.0,12,12,0,0,0,0
minfreq_x1.5,50,12,12,8141.75,0.0,0.0,0.0,True,0.0,0.0,793.0,12,12,0,0,0,0
minfreq_x2,50,12,12,8141.75,0.0,0.0,0.0,True,0.0,0.0,793.0,12,12,0,0,0,0
mnoppc_x0.5,50,12,12,8264.416666666666,1.7744747732331705,-0.1713637388784166,3.7203132853447576,True,0.0,0.0,793.0,12,12,0,0,0,0
mnoppc_x0.75,50,12,12,8148.916666666667,0.25129832605076036,-1.1900060556499281,1.692602707751449,True,0.0,0.0,793.0,12,12,0,0,0,0
mnoppc_x1.5,50,12,12,8104.416666666667,-0.24699723698350826,-2.2857192463215354,1.7917247723545189,True,0.0,0.0,793.0,12,12,0,0,0,0
mnoppc_x2,50,12,12,8107.833333333333,-0.24879291575904103,-1.5957990574476044,1.0982132259295225,True,0.0,0.0,793.0,12,12,0,0,0,0
preproc_x0.5,50,12,12,8141.75,0.0,0.0,0.0,True,0.0,0.0,793.0,12,12,0,0,0,0
preproc_x0.75,50,12,12,8141.75,0.0,0.0,0.0,True,0.0,0.0,793.0,12,12,0,0,0,0
preproc_x1.5,50,12,12,8141.75,0.0,0.0,0.0,True,0.0,0.0,793.0,12,12,0,0,0,0
preproc_x2,50,12,12,8141.75,0.0,0.0,0.0,True,0.0,0.0,793.0,12,12,0,0,0,0
ratio_x0.5,50,12,12,8062.583333333333,-0.7746851106598359,-2.125219167730322,0.5758489464106503,True,0.0,0.0,1220.8333333333333,12,12,0,0,0,0
ratio_x0.75,50,12,12,8075.333333333333,-0.6634041351744863,-1.9802773559180644,0.653469085569092,True,0.0,0.0,1058.0833333333333,12,12,0,0,0,0
ratio_x1.5,50,12,12,8153.5,0.22503240157839477,-0.7195492226052973,1.1696140257620868,True,0.0,0.0,258.3333333333333,12,12,0,0,0,0
ratio_x2,50,12,12,8063.583333333333,-0.7420727871448028,-2.264788962278052,0.7806433879884466,True,0.0,0.0,90.66666666666667,12,12,0,0,0,0
base,500,50,50,78803.6,0.0,0.0,0.0,True,0.0,0.0,718.3,50,50,0,0,0,0
corner_loose,500,10,10,79919.2,1.4261521936748358,0.9367132237022948,1.9155911636473768,True,0.0,0.0,733.6,10,10,0,0,0,0
corner_tight,500,10,10,78920.1,0.18702336528676844,-0.33243136192419676,0.7064780924977336,True,0.0,0.0,560.6,10,10,0,0,0,0
minfreq_x0.5,500,10,10,78803.6,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
minfreq_x0.75,500,10,10,78803.6,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
minfreq_x1.5,500,10,10,78803.6,0.0,0.0,0.0,True,0.0,0.0,718.3,10,10,0,0,0,0
