size_n,method,n_instances,mean_visits,std_visits,ci95_lo,ci95_hi,t_mult,df,min_visits,max_visits,ci_informative,mean_rel_rank_pct,rel_rank_ci95_lo,rel_rank_ci95_hi,mean_rel_gap_to_hexaly,rel_gap_ci95_lo,rel_gap_ci95_hi,frac_instances_wl_broken,mean_wl_broken,ga_seed_std_n50
50,Heuristic,12,7698.416666666667,1160.8079833643565,6960.874461228457,8435.958872104877,2.200985160082949,11.0,5824.0,9504.0,True,3.055131164387589,1.432511356655036,4.677750972120142,0.019713379309180726,-0.008136201415673675,0.04756296003403512,1.0,2.0,
50,SA-C,12,7632.25,1169.8071422247344,6888.990001810456,8375.509998189544,2.200985160082949,11.0,5934.0,9607.0,True,2.1547992233515783,0.6108918155396583,3.698706631163498,0.00997074921760143,0.006226026558207518,0.01371547187699534,0.0,0.0,
50,GA,12,7767.416666666667,1173.9503983894667,7021.524169103217,8513.309164230117,2.200985160082949,11.0,6081.0,9631.0,True,3.9792355034977622,2.7469901755347435,5.211480831460781,0.028163142466779176,0.020041690246617443,0.03628459468694091,0.0,0.0,79.01759494104935
50,Hexaly,12,7555.666666666667,1148.366296751673,6826.029531761393,8285.303801571941,2.200985160082949,11.0,5891.0,9528.0,True,1.1497818802041009,-0.4372644622255175,2.7368282226337195,0.0,0.0,0.0,0.0,0.0,
500,Heuristic,10,78647.0,11365.212741812917,70516.81657711745,86777.18342288255,2.2621571628540993,9.0,58905.0,95606.0,True,2.974648999502134,2.3857788133387485,3.5635191856655197,0.02974648999502134,0.023857788133387483,0.035635191856655195,0.8,0.9,
500,SA-C,10,88688.8,13201.371299140774,79245.10787264339,98132.49212735661,2.2621571628540993,9.0,66708.0,105880.0,True,16.059908583466942,14.664131853479615,17.455685313454268,0.16059908583466936,0.1466413185347961,0.17455685313454264,0.0,0.0,
500,GA,10,85362.7,12805.307381012852,76202.334931689,94523.065068311,2.2621571628540993,9.0,64099.0,102737.0,True,11.683868886271553,10.741373708514217,12.626364064028888,0.11683868886271553,0.1074137370851422,0.1262636406402889,0.0,0.0,79.01759494104935
500,Hexaly,10,76406.8,11234.205295534803,68370.3336585484,84443.2663414516,2.2621571628540993,9.0,57201.0,92417.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
1000,Heuristic,4,196341.25,27877.74870603196,151981.5308154227,240700.9691845773,3.182446305284263,3.0,162641.0,230434.0,True,0.14896054178431117,-0.325098384050312,0.6230194676189343,-0.000706399052950045,-0.008472803614921526,0.0070600055090214355,1.0,2.75,
1000,SA-C,4,240693.25,30667.68596177416,191894.1180596669,289492.3819403331,3.182446305284263,3.0,206836.0,281104.0,True,23.028847229066344,16.391436779506222,29.666257678626465,0.2275770633136443,0.16166609025362305,0.29348803637366555,0.0,0.0,
1000,GA,4,235207.5,30737.964826361986,186296.53870319334,284118.4612968067,3.182446305284263,3.0,200193.0,275112.0,True,20.159171737115827,15.307230218331252,25.0111132559004,0.1989449256705536,0.15089804612758356,0.24699180521352365,0.0,0.0,79.01759494104935
1000,Hexaly,4,196514.75,28257.66469915729,151550.49969110268,241479.00030889732,3.182446305284263,3.0,162668.0,231578.0,True,0.22055370319744594,-0.178253862995627,0.6193612693905188,0.0,0.0,0.0,0.0,0.0,
2000,Heuristic,3,483326.0,77155.86492289488,291660.20626469754,674991.7937353025,4.302652729696142,2.0,411888.0,565148.0,False,0.0,0.0,0.0,-0.04507216922124505,-0.07552895537589509,-0.01461538306659502,1.0,6.0,
2000,SA-C,3,615489.6666666666,111415.13953378749,338719.11689428985,892260.2164390434,4.302652729696142,2.0,528303.0,741011.0,False,27.138947807133686,15.600646778416523,38.67724883585085,0.2137561283024975,0.13445044237762774,0.2930618142273672,0.0,0.0,
2000,GA,3,608866.6666666666,109543.35238768866,336745.8939322259,880987.4394011074,4.302652729696142,2.0,522402.0,732053.0,False,25.779924789779425,14.913326634088726,36.646522945470124,0.20079730158943873,0.12745463990286082,0.27413996327601664,0.0,0.0,79.01759494104935
2000,Hexaly,3,506763.0,86739.4632390586,291290.2282735433,722235.7717264567,4.302652729696142,2.0,429382.0,600525.0,False,4.731534356992789,1.3710894302839476,8.09197928370163,0.0,0.0,0.0,0.0,0.0,
