size_n,pair,n_shared,mean_diff_visits,diff_ci95_lo,diff_ci95_hi,wilcoxon_p,paired_t_p,significant,ci_overlap_diagnostic,note
50,Heuristic-SA-C,12,66.16666666666667,-159.7096063253856,292.042939658719,0.30126953125,0.532310214955015,False,True,
50,Heuristic-GA,12,-69.0,-256.94625496675707,118.94625496675707,0.85009765625,0.43619424387969563,False,True,
50,SA-C-GA,12,-135.16666666666666,-207.95808106283644,-62.37525227049687,0.0009765625,0.0017986185705817143,True,True,
50,Hexaly-GA,12,-211.75,-275.9226958503381,-147.57730414966193,0.00048828125,1.6180198736080114e-05,True,True,
50,Hexaly-SA-C,12,-76.58333333333333,-109.65859169126682,-43.50807497539984,0.00048828125,0.0003460863312454755,True,True,
50,Hexaly-Heuristic,12,-142.75,-370.9292160218695,85.42921602186951,0.17626953125,0.1959042604343707,False,True,
500,Heuristic-SA-C,10,-10041.8,-11875.752351945544,-8207.847648054454,0.001953125,5.875368820144303e-07,True,True,
500,Heuristic-GA,10,-6715.7,-8068.645583393092,-5362.754416606907,0.001953125,1.3530436056221524e-06,True,True,
500,SA-C-GA,10,3326.1,2722.3334551636976,3929.866544836302,0.001953125,5.577540006722393e-07,True,True,
500,Hexaly-GA,10,-8955.9,-10273.51580767971,-7638.284192320289,0.001953125,9.096761254648994e-08,True,True,
500,Hexaly-SA-C,10,-12282.0,-14025.678084677504,-10538.321915322496,0.001953125,6.668639508296528e-08,True,True,
500,Hexaly-Heuristic,10,-2240.2,-2680.1582354397083,-1800.2417645602914,0.001953125,1.0905055954336032e-06,True,True,
1000,Heuristic-SA-C,4,-44352.0,-56175.41171861244,-32528.588281387558,0.125,0.001264192690469894,NA / descriptive,True,
1000,Heuristic-GA,4,-38866.25,-48353.0875951762,-29379.412404823797,0.125,0.0009743439321611397,NA / descriptive,True,
1000,SA-C-GA,4,5485.75,2680.6420488806443,8290.857951119357,0.125,0.008363118225145086,NA / descriptive,True,
1000,Hexaly-GA,4,-38692.75,-46565.054558283075,-30820.445441716925,0.125,0.0005678725621020146,NA / descriptive,True,
1000,Hexaly-SA-C,4,-44178.5,-54394.621445185796,-33962.378554814204,0.125,0.0008302689456226443,NA / descriptive,True,
1000,Hexaly-Heuristic,4,173.5,-1443.5911793983644,1790.5911793983644,0.875,0.7552826263946192,NA / descriptive,True,
2000,Heuristic-SA-C,3,-132163.66666666666,-227388.99606189912,-36938.3372714342,0.25,0.026914975689389303,NA / descriptive,True,
2000,Heuristic-GA,3,-125540.66666666667,-215631.02065505576,-35450.312678277594,0.25,0.026707924134276837,NA / descriptive,True,
2000,SA-C-GA,3,6623.0,1479.1917081860493,11766.808291813952,0.25,0.03107209641018345,NA / descriptive,True,
2000,Hexaly-GA,3,-102103.66666666667,-166930.7876966009,-37276.545636732444,0.25,0.021088640962728618,NA / descriptive,True,
2000,Hexaly-SA-C,3,-108726.66666666667,-178697.59528061337,-38755.73805271997,0.25,0.021647491648867784,NA / descriptive,True,
2000,Hexaly-Heuristic,3,23437.0,-2249.924362687245,49123.92436268725,0.25,0.059183787289332976,NA / descriptive,True,
