size_n,instance_seed,method,solver_seed,solver_probe,status,visits,time_s,best_found_visits,rel_rank_pct,max_workload,workload_std_dev,cap_broken,wl_broken,num_orders,num_itemsets,num_skus,num_stations,hexaly_returned_visits,hexaly_elapsed_s,hexaly_optimal_inferred,hexaly_ref_visits,hexaly_optimal_inferred_ref,hexaly_elapsed_s_ref,rel_gap_to_hexaly,gap_label
50,1001,Heuristic,-1,False,OK,9504.0,2.202168703079224,9105.0,4.382207578253706,7414.0,1314.509855421404,0.0,1.0,2482.0,,50.0,5.0,,,,9105.0,False,121.06931376457214,0.043822075782537065,gap_to_best_feasible_budget
50,1001,SA-C,-1,False,OK,9304.0,64.42419028282166,9105.0,2.185612300933553,5350.0,545.9664458554207,0.0,0.0,2482.0,,50.0,5.0,,,,9105.0,False,121.06931376457214,0.02185612300933553,gap_to_best_feasible_budget
50,1001,GA,20240612,False,OK,9379.0,56.52503848075867,9105.0,3.009335529928611,5402.0,547.702254879419,0.0,0.0,2482.0,,50.0,5.0,,,,9105.0,False,121.06931376457214,0.030093355299286105,gap_to_best_feasible_budget
50,1001,GA,20240613,True,OK,9420.0,56.472172021865845,,,5310.0,485.4389353976461,0.0,0.0,2482.0,,50.0,5.0,,,,9105.0,False,121.06931376457214,0.03459637561779242,gap_to_best_feasible_budget
50,1001,GA,20240614,True,OK,9388.0,56.41426348686218,,,5326.0,295.638563113813,0.0,0.0,2482.0,,50.0,5.0,,,,9105.0,False,121.06931376457214,0.031081823174080175,gap_to_best_feasible_budget
50,1001,Hexaly,-1,False,OK,9105.0,121.06931376457214,9105.0,0.0,5308.0,460.6796717894116,0.0,0.0,2482.0,,50.0,5.0,9105.0,121.06931376457214,False,9105.0,False,121.06931376457214,0.0,gap_to_best_feasible_budget
50,1002,Heuristic,-1,False,OK,5824.0,1.5216693878173828,5824.0,0.0,5385.0,1457.6333420994458,0.0,2.0,1697.0,,50.0,5.0,,,,5891.0,False,119.88446998596191,-0.01137328127652351,gap_to_best_feasible_budget
50,1002,SA-C,-1,False,OK,5934.0,45.74956750869751,5824.0,1.888736263736264,3688.0,263.1854099299579,0.0,0.0,1697.0,,50.0,5.0,,,,5891.0,False,119.88446998596191,0.0072992700729927005,gap_to_best_feasible_budget
50,1002,GA,20240612,False,OK,6081.0,40.49335765838623,5824.0,4.412774725274725,3684.0,352.22515526293694,0.0,0.0,1697.0,,50.0,5.0,,,,5891.0,False,119.88446998596191,0.03225258869461891,gap_to_best_feasible_budget
50,1002,GA,20240613,True,OK,6189.0,40.55818223953247,,,3678.0,375.01594632761953,0.0,0.0,1697.0,,50.0,5.0,,,,5891.0,False,119.88446998596191,0.050585639110507556,gap_to_best_feasible_budget
50,1002,GA,20240614,True,OK,5919.0,40.47294306755066,,,3699.0,412.76744057640985,0.0,0.0,1697.0,,50.0,5.0,,,,5891.0,False,119.88446998596191,0.004753013070785944,gap_to_best_feasible_budget
50,1002,Hexaly,-1,False,OK,5891.0,119.88446998596191,5824.0,1.1504120879120878,3718.0,397.9167752181353,0.0,0.0,1697.0,,50.0,5.0,5891.0,119.88446998596191,False,5891.0,False,119.88446998596191,0.0,gap_to_best_feasible_budget
50,1003,Heuristic,-1,False,OK,6856.0,1.5532512664794922,6540.0,4.8318042813455655,5010.0,1051.246231860072,0.0,2.0,1768.0,,50.0,5.0,,,,6540.0,False,120.52778053283691,0.048318042813455656,gap_to_best_feasible_budget
50,1003,SA-C,-1,False,OK,6635.0,47.56160020828247,6540.0,1.452599388379205,3866.0,481.76741276263175,0.0,0.0,1768.0,,50.0,5.0,,,,6540.0,False,120.52778053283691,0.01452599388379205,gap_to_best_feasible_budget
50,1003,GA,20240612,False,OK,6772.0,42.29447364807129,6540.0,3.547400611620795,3857.0,394.8759805305965,0.0,0.0,1768.0,,50.0,5.0,,,,6540.0,False,120.52778053283691,0.03547400611620795,gap_to_best_feasible_budget
50,1003,GA,20240613,True,OK,6900.0,42.68699455261231,,,3843.0,327.3210045200277,0.0,0.0,1768.0,,50.0,5.0,,,,6540.0,False,120.52778053283691,0.05504587155963303,gap_to_best_feasible_budget
50,1003,GA,20240614,True,OK,6754.0,42.12616014480591,,,3821.0,433.9403645663768,0.0,0.0,1768.0,,50.0,5.0,,,,6540.0,False,120.52778053283691,0.0327217125382263,gap_to_best_feasible_budget
50,1003,Hexaly,-1,False,OK,6540.0,120.52778053283691,6540.0,0.0,3810.0,448.1984381945123,0.0,0.0,1768.0,,50.0,5.0,6540.0,120.52778053283691,False,6540.0,False,120.52778053283691,0.0,gap_to_best_feasible_budget
50,1004,Heuristic,-1,False,OK,6622.0,1.7263166904449463,6622.0,0.0,5638.0,1472.6196521845006,0.0,3.0,1930.0,,50.0,5.0,,,,6957.0,False,120.81374096870422,-0.04815293948541038,gap_to_best_feasible_budget
50,1004,SA-C,-1,False,OK,6990.0,51.2946925163269,6622.0,5.557233464210208,4102.0,346.9020611065896,0.0,0.0,1930.0,,50.0,5.0,,,,6957.0,False,120.81374096870422,0.004743423889607589,gap_to_best_feasible_budget
50,1004,GA,20240612,False,OK,7010.0,46.34053611755371,6622.0,5.85925702204772,4111.0,357.227434556754,0.0,0.0,1930.0,,50.0,5.0,,,,6957.0,False,120.81374096870422,0.007618226246945523,gap_to_best_feasible_budget
50,1004,Hexaly,-1,False,OK,6957.0,120.81374096870422,6622.0,5.058894593778315,4141.0,365.3429074171278,0.0,0.0,1930.0,,50.0,5.0,6957.0,120.81374096870422,False,6957.0,False,120.81374096870422,0.0,gap_to_best_feasible_budget
50,1005,Heuristic,-1,False,OK,7549.0,1.6747565269470217,7126.0,5.936008981195622,4778.0,731.1958971438503,0.0,2.0,1880.0,,50.0,5.0,,,,7126.0,False,120.3379111289978,0.059360089811956215,gap_to_best_feasible_budget
50,1005,SA-C,-1,False,OK,7177.0,50.221460580825806,7126.0,0.7156890261015998,4162.0,579.5558989433201,0.0,0.0,1880.0,,50.0,5.0,,,,7126.0,False,120.3379111289978,0.007156890261015998,gap_to_best_feasible_budget
50,1005,GA,20240612,False,OK,7471.0,44.97576308250427,7126.0,4.84142576480494,4131.0,346.9746964837638,0.0,0.0,1880.0,,50.0,5.0,,,,7126.0,False,120.3379111289978,0.048414257648049394,gap_to_best_feasible_budget
50,1005,Hexaly,-1,False,OK,7126.0,120.3379111289978,7126.0,0.0,4160.0,592.485139054137,0.0,0.0,1880.0,,50.0,5.0,7126.0,120.3379111289978,False,7126.0,False,120.3379111289978,0.0,gap_to_best_feasible_budget
50,1006,Heuristic,-1,False,OK,7126.0,1.599961757659912,6873.0,3.681070856976575,4849.0,938.404049437128,0.0,2.0,1814.0,,50.0,5.0,,,,6873.0,False,119.84753894805908,0.03681070856976575,gap_to_best_feasible_budget
50,1006,SA-C,-1,False,OK,6962.0,49.12794303894043,6873.0,1.2949221591735778,3949.0,412.92149374911446,0.0,0.0,1814.0,,50.0,5.0,,,,6873.0,False,119.84753894805908,0.012949221591735777,gap_to_best_feasible_budget
50,1006,GA,20240612,False,OK,7085.0,43.673173666000366,6873.0,3.0845336825258256,3952.0,279.5062789992382,0.0,0.0,1814.0,,50.0,5.0,,,,6873.0,False,119.84753894805908,0.03084533682525826,gap_to_best_feasible_budget
50,1006,Hexaly,-1,False,OK,6873.0,119.84753894805908,6873.0,0.0,3951.0,461.20728528504407,0.0,0.0,1814.0,,50.0,5.0,6873.0,119.84753894805908,False,6873.0,False,119.84753894805908,0.0,gap_to_best_feasible_budget
50,1007,Heuristic,-1,False,OK,9336.0,2.156020164489746,8795.0,6.151222285389426,6217.0,1214.7590049059113,0.0,2.0,2421.0,,50.0,5.0,,,,8795.0,False,120.85134315490724,0.06151222285389426,gap_to_best_feasible_budget
50,1007,SA-C,-1,False,OK,8816.0,62.935824155807495,8795.0,0.2387720295622512,5198.0,304.80065616727273,0.0,0.0,2421.0,,50.0,5.0,,,,8795.0,False,120.85134315490724,0.002387720295622513,gap_to_best_feasible_budget
50,1007,GA,20240612,False,OK,9166.0,56.1103310585022,8795.0,4.218305855599772,5271.0,493.6041328838323,0.0,0.0,2421.0,,50.0,5.0,,,,8795.0,False,120.85134315490724,0.04218305855599772,gap_to_best_feasible_budget
50,1007,Hexaly,-1,False,OK,8795.0,120.85134315490724,8795.0,0.0,5216.0,462.5510134028463,0.0,0.0,2421.0,,50.0,5.0,8795.0,120.85134315490724,False,8795.0,False,120.85134315490724,0.0,gap_to_best_feasible_budget
50,1008,Heuristic,-1,False,OK,8030.0,1.8597004413604736,7946.0,1.0571356657437705,5900.0,1481.4453212994397,0.0,3.0,2109.0,,50.0,5.0,,,,7946.0,False,120.11477756500244,0.010571356657437704,gap_to_best_feasible_budget
50,1008,SA-C,-1,False,OK,8093.0,55.43024373054504,7946.0,1.8499874150515985,4565.0,676.7932032755648,0.0,0.0,2109.0,,50.0,5.0,,,,7946.0,False,120.11477756500244,0.018499874150515985,gap_to_best_feasible_budget
50,1008,GA,20240612,False,OK,8074.0,49.67960333824158,7946.0,1.6108733954190788,4513.0,338.0879175599152,0.0,0.0,2109.0,,50.0,5.0,,,,7946.0,False,120.11477756500244,0.01610873395419079,gap_to_best_feasible_budget
50,1008,Hexaly,-1,False,OK,7946.0,120.11477756500244,7946.0,0.0,4583.0,732.7909933944329,0.0,0.0,2109.0,,50.0,5.0,7946.0,120.11477756500244,False,7946.0,False,120.11477756500244,0.0,gap_to_best_feasible_budget
50,1009,Heuristic,-1,False,OK,8164.0,1.788530349731445,7670.0,6.440677966101695,5353.0,917.22049693626,0.0,2.0,2033.0,,50.0,5.0,,,,7670.0,False,120.1180317401886,0.06440677966101695,gap_to_best_feasible_budget
50,1009,SA-C,-1,False,OK,7750.0,54.36887097358704,7670.0,1.0430247718383312,4304.0,275.31262230417263,0.0,0.0,2033.0,,50.0,5.0,,,,7670.0,False,120.1180317401886,0.010430247718383311,gap_to_best_feasible_budget
50,1009,GA,20240612,False,OK,7895.0,49.82467317581177,7670.0,2.9335071707953064,4303.0,414.869907320355,0.0,0.0,2033.0,,50.0,5.0,,,,7670.0,False,120.1180317401886,0.029335071707953065,gap_to_best_feasible_budget
50,1009,Hexaly,-1,False,OK,7670.0,120.1180317401886,7670.0,0.0,4437.0,577.4289913054245,0.0,0.0,2033.0,,50.0,5.0,7670.0,120.1180317401886,False,7670.0,False,120.1180317401886,0.0,gap_to_best_feasible_budget
50,1010,Heuristic,-1,False,OK,7996.0,1.8909640312194824,7931.0,0.8195687807338293,5891.0,1404.2158523531916,0.0,2.0,2158.0,,50.0,5.0,,,,7931.0,False,120.62618708610536,0.008195687807338294,gap_to_best_feasible_budget
50,1010,SA-C,-1,False,OK,7977.0,57.42052459716797,7931.0,0.5800025217500946,4691.0,458.3236411096421,0.0,0.0,2158.0,,50.0,5.0,,,,7931.0,False,120.62618708610536,0.0058000252175009455,gap_to_best_feasible_budget
50,1010,GA,20240612,False,OK,8235.0,50.20623517036438,7931.0,3.8330601437397553,4668.0,524.9675799513718,0.0,0.0,2158.0,,50.0,5.0,,,,7931.0,False,120.62618708610536,0.038330601437397555,gap_to_best_feasible_budget
50,1010,Hexaly,-1,False,OK,7931.0,120.62618708610536,7931.0,0.0,4698.0,472.0361850536461,0.0,0.0,2158.0,,50.0,5.0,7931.0,120.62618708610536,False,7931.0,False,120.62618708610536,0.0,gap_to_best_feasible_budget
50,1011,Heuristic,-1,False,OK,6518.0,1.4900596141815186,6306.0,3.3618775769108784,4457.0,655.7300054138136,0.0,1.0,1661.0,,50.0,5.0,,,,6306.0,False,120.10367059707642,0.03361877576910879,gap_to_best_feasible_budget
50,1011,SA-C,-1,False,OK,6342.0,45.57376837730408,6306.0,0.570884871550904,3644.0,369.5351674739496,0.0,0.0,1661.0,,50.0,5.0,,,,6306.0,False,120.10367059707642,0.005708848715509039,gap_to_best_feasible_budget
50,1011,GA,20240612,False,OK,6410.0,40.10764360427856,6306.0,1.649222962258167,3577.0,293.9834008919551,0.0,0.0,1661.0,,50.0,5.0,,,,6306.0,False,120.10367059707642,0.016492229622581667,gap_to_best_feasible_budget
50,1011,Hexaly,-1,False,OK,6306.0,120.10367059707642,6306.0,0.0,3566.0,344.81914100003206,0.0,0.0,1661.0,,50.0,5.0,6306.0,120.10367059707642,False,6306.0,False,120.10367059707642,0.0,gap_to_best_feasible_budget
50,1012,Heuristic,-1,False,OK,8856.0,2.214752197265625,8856.0,0.0,8237.0,2074.9410208485447,0.0,2.0,2478.0,,50.0,5.0,,,,9528.0,False,120.11834168434144,-0.07052896725440806,gap_to_best_feasible_budget
50,1012,SA-C,-1,False,OK,9607.0,64.71463465690613,8856.0,8.480126467931346,5428.0,365.1211305854538,0.0,0.0,2478.0,,50.0,5.0,,,,9528.0,False,120.11834168434144,0.00829135180520571,gap_to_best_feasible_budget
50,1012,GA,20240612,False,OK,9631.0,57.983455419540405,8856.0,8.751129177958447,5343.0,421.8922137228892,0.0,0.0,2478.0,,50.0,5.0,,,,9528.0,False,120.11834168434144,0.01081024349286314,gap_to_best_feasible_budget
50,1012,Hexaly,-1,False,OK,9528.0,120.11834168434144,8856.0,7.588075880758808,5343.0,296.49053947807505,0.0,0.0,2478.0,,50.0,5.0,9528.0,120.11834168434144,False,9528.0,False,120.11834168434144,0.0,gap_to_best_feasible_budget
500,1001,Heuristic,-1,False,OK,88421.0,21.62340760231018,86253.0,2.513535761074977,52687.0,4532.703917089666,0.0,0.0,24044.0,,500.0,5.0,,,,86253.0,False,311.1281490325928,0.02513535761074977,gap_to_best_feasible_budget
500,1001,SA-C,-1,False,OK,102546.0,365.35633277893066,86253.0,18.88977774686098,49645.0,1447.7564712340263,0.0,0.0,24044.0,,500.0,5.0,,,,86253.0,False,311.1281490325928,0.18889777746860978,gap_to_best_feasible_budget
500,1001,GA,20240612,False,OK,98479.0,304.2749938964844,86253.0,14.174579434918206,50464.0,2267.056946792471,0.0,0.0,24044.0,,500.0,5.0,,,,86253.0,False,311.1281490325928,0.14174579434918205,gap_to_best_feasible_budget
500,1001,Hexaly,-1,False,OK,86253.0,311.1281490325928,86253.0,0.0,52123.0,6509.796095116959,0.0,0.0,24044.0,,500.0,5.0,86253.0,311.1281490325928,False,86253.0,False,311.1281490325928,0.0,gap_to_best_feasible_budget
500,1002,Heuristic,-1,False,OK,77167.0,18.64667844772339,74609.0,3.428540792665764,48104.0,4285.541832720805,0.0,1.0,20913.0,,500.0,5.0,,,,74609.0,False,309.226199388504,0.03428540792665764,gap_to_best_feasible_budget
500,1002,SA-C,-1,False,OK,89042.0,339.51207208633423,74609.0,19.344851157367074,45858.0,2689.377771901895,0.0,0.0,20913.0,,500.0,5.0,,,,74609.0,False,309.226199388504,0.19344851157367074,gap_to_best_feasible_budget
500,1002,GA,20240612,False,OK,84514.0,304.0867614746094,74609.0,13.275878245251914,45937.0,2826.43924399588,0.0,0.0,20913.0,,500.0,5.0,,,,74609.0,False,309.226199388504,0.13275878245251913,gap_to_best_feasible_budget
500,1002,Hexaly,-1,False,OK,74609.0,309.226199388504,74609.0,0.0,45766.0,4471.295427501967,0.0,0.0,20913.0,,500.0,5.0,74609.0,309.226199388504,False,74609.0,False,309.226199388504,0.0,gap_to_best_feasible_budget
500,1003,Heuristic,-1,False,OK,70732.0,16.549368143081665,68630.0,3.062800524551945,41423.0,3700.705208470407,0.0,1.0,18431.0,,500.0,5.0,,,,68630.0,False,308.2780590057373,0.030628005245519452,gap_to_best_feasible_budget
500,1003,SA-C,-1,False,OK,78727.0,323.73860716819763,68630.0,14.712224974500948,38487.0,1261.724312201362,0.0,0.0,18431.0,,500.0,5.0,,,,68630.0,False,308.2780590057373,0.14712224974500948,gap_to_best_feasible_budget
500,1003,GA,20240612,False,OK,75609.0,303.089102268219,68630.0,10.169022293457672,39956.0,1745.9597475314258,0.0,0.0,18431.0,,500.0,5.0,,,,68630.0,False,308.2780590057373,0.10169022293457672,gap_to_best_feasible_budget
500,1003,Hexaly,-1,False,OK,68630.0,308.2780590057373,68630.0,0.0,40463.0,5137.832484618391,0.0,0.0,18431.0,,500.0,5.0,68630.0,308.2780590057373,False,68630.0,False,308.2780590057373,0.0,gap_to_best_feasible_budget
500,1004,Heuristic,-1,False,OK,85798.0,21.238596200942997,84820.0,1.1530299457675075,67069.0,11538.49290678813,0.0,1.0,23792.0,,500.0,5.0,,,,84820.0,False,311.25735569000244,0.011530299457675077,gap_to_best_feasible_budget
