ORDER,PRODUCT_LIST
8076722604,"['1000270', '1000290', '1000296', '1000361', '406645', '406670', '414789', '415663']"
8076722605,"['1004640', '34033', '343034']"
8076722606,['213764']
8076722607,"['1004640', '23262-200', '368396-100']"
8076722608,"['147092-10', '148112-6', '370492', '415190-10', '52700']"
8076722609,['371311-100']
8076722610,"['199821', '244658', '30545', '333685', '50908-10', '76368']"
8076722612,"['1004640', '6467-500', '92290-100']"
8076722613,['370494']
8076722615,"['1004640', '131269-10', '131299-10', '131339-5', '49602-10', '75814-6']"
8076722616,['198583']
8076722617,['94314']
8076722618,"['1004640', '329175-10']"
8076722619,"['405732', '50915-10']"
8076722620,['38278']
8076722621,"['13586', '343964-12', '409525-2', '415190-10']"
8076722622,"['210248', '210257', '244677', '52700']"
8076722624,['932491']
8076722625,"['111802-100', '129779-100', '201035-15', '245359-15', '250749-5000', '30683-100', '335506', '369959-100', '369964-100', '369983-100', '418920-250', '767301-100']"
8076722626,"['1000381', '156540', '157388', '168287', '203076', '215517', '339281', '367176', '412564']"
8076722628,"['1000525-6', '1000526-6', '1000528-6', '221849', '338987', '343964-12', '399269-12']"
8076722629,"['207077-100', '23811-6', '23812-6', '23814-6', '366834-24', '430285-100', '4421-50', '49581-6', '50171', '97489-100', '97497-100']"
8076722630,"['100426', '215176-15', '234007-10', '234008-10', '234009-10', '239243', '45730', '45748', '45756']"
8076722632,"['128863', '16086-10', '206958', '411554-50', '411555-25', '411556-10', '923354-10']"
8076722633,"['131262-10', '148610-6', '369947-100', '45756']"
8076722634,"['11550', '11558', '141367', '158089-12', '184393-10', '367176']"
8076722637,"['111204', '129887', '332958', '367176', '412564', '414778', '49600-10', '933826-10']"
8076722638,['411072-24']
8076722640,"['328920-100', '328926-100', '422871-12']"
8076722641,"['1000382', '199787', '199790', '201071', '227943', '367176', '404597']"
8076722642,"['1000382', '1000531-6', '24274', '372714', '372715', '399269-12', '399275-6', '54862', '64122']"
8076722643,['32616-6']
8076722644,['6467-100']
8076722645,"['1004640', '152825-6', '152826-6', '200453', '410759-6', '519396-10']"
8076722646,"['339281', '48750-10']"
8076722647,"['1004640', '130762', '130763', '240251', '240255', '240295', '240301', '244637', '341013', '366368', '371197', '372147']"
8076722648,['343964-12']
8076722650,"['185976', '201071', '225530-100', '244677', '339157', '339158', '341709', '351633-100', '367176', '411548', '415333-30', '564400-50']"
8076722652,"['1004640', '38278', '38280', '38501', '38503']"
8076722653,"['1004640', '411552-50', '421181-12']"
8076722655,"['201071', '206956', '218883', '367176']"
8076722657,"['243427', '421177-12', '50907-10', '61780']"
8076722661,"['1000381', '20704-100', '20714-100', '209191', '218407', '332973', '367176', '372356-5', '412564', '421185-40', '822868-100', '929549-100']"
8076722662,"['148129-12', '152826-6', '157147', '367176', '370497', '40877-6', '412564']"
8076722670,['130492-16']
8076722671,"['248698-250', '324353', '63630']"
8076722686,['424596']
8076722689,['410010-100']
8076722691,['415630-24']
8076722695,"['206956', '206958', '413120-15']"
8076722702,['363510-12']
8076722704,['333617-15']
8076722705,"['59621-10', '59622-10']"
8076722731,"['100773-100', '6467-100', '894117-100']"
8076722735,"['343769', '343774', '370468']"
8076722736,['37031']
8076722737,"['198583', '408036-12']"
8076722738,"['1003474-10', '142454', '180558', '180559']"
8076722739,"['188924-3', '339281', '366334', '366335']"
8076722740,"['415619-12', '42332-12', '560863-1000', '560871-1000']"
8076722741,"['369983-100', '369986-100']"
8076722744,['171721-250']
8076722746,"['405930-25', '4375-100', '4413-100', '98108-100']"
8076722747,"['118246-36', '141260', '186416', '227943', '2410-100', '2429-100', '2437-100', '266337', '414778', '45059-10', '54026', '717215']"
8076722748,"['1003104-15', '242700', '244677', '249810', '399448-6']"
8076722749,"['104390', '11558', '20730', '421177-12', '421183-25', '45060-10']"
8076722751,"['199790', '23948']"
8076722753,"['155196-25', '175753-10', '409334', '45401', '55153-50', '61704', '751340']"
8076722754,"['109441', '120362', '138424', '154172-10', '399269-12', '98188-10']"
8076722755,"['200998', '209191', '218426', '218430', '337798', '370844']"
8076722757,"['1000382', '102988', '120734', '124072', '134647', '147662-15', '22356', '29455-100', '339158', '367176', '406774', '741531']"
8076722759,"['116874-25', '14679-50', '155047-50', '155083-50', '155196-25', '370383-30', '421177-12', '55119-25']"
8076722760,['244684']
8076722762,"['243415-12', '86566-1000', '94408-100', '94409-100', '94411-100']"
8076722763,"['135128', '144415', '242700', '419698']"
8076722765,"['174767-100', '174768-100', '174769-100', '174770-100', '335607-100', '412559']"
8076722766,"['1000382', '186337', '210479', '240286', '240293', '341013', '343964-12', '34582', '371209', '371212', '410554', '98189-10']"
8076722767,"['105707', '105714', '142454', '201071', '341709', '367176', '399809', '40877-6', '48008-100', '86607-500']"
8076722768,"['1004640', '135128', '180173', '199650-100', '372761', '4405-100', '4413-100']"
8076722769,"['119896-6', '14609-100', '207636-10', '370844', '560855-1000', '86581-1000', '86608-500']"
8076722770,"['1003580-10', '1003581-10']"
8076722771,"['114286-10', '114323-10', '30678-500', '333679', '333680', '343034', '372352-25', '372367-25', '372767', '372768', '409858-50', '409969-500']"
8076722774,"['118612', '14195-6', '410017-100']"
8076722775,"['102873', '129778-100', '129781-100', '215668-200', '351719', '43246-24', '48008-500', '49306', '560871-1000', '86608-500']"
8076722776,"['1000676-3', '1000689', '201071', '341709', '367176', '926167-25', '926175-25']"
8076722779,"['131289-10', '371085-25', '86621-300']"
8076722780,"['153070-12', '169893-100', '169894-100', '169896-100', '407945-15', '6471-100']"
8076722781,"['13761-6', '32616-6', '410147-500', '86778-1000', '86782-500', '87039-400']"
8076722782,"['174585-250', '409969-500', '7195-500']"
8076722784,['86801-500']
8076722785,"['1000381', '153070-12', '23542-500', '240308', '367176', '412564', '86779-1000']"
8076722786,"['198182', '339159']"
8076722787,"['102407', '157147', '244759', '341213-25', '341700', '372411-25', '38278', '519396-10']"
8076722788,"['14195-6', '332958', '362813', '98185-10', '98189-10']"
8076722789,"['218412', '218414', '218415', '218456']"
8076722790,['560863-1000']
8076722793,"['210478', '213444']"
8076722796,"['1000263', '1000290', '1000295', '1000296', '1000361', '1000364', '1000382', '405565', '413172-12', '56387-5']"
8076722797,"['100426', '335506', '344101', '414186-24', '45551']"
8076722799,['339157']
8076722800,"['139508', '23078-25', '23175-25', '367074-15', '409522-2', '5302']"
8076722801,['6467-100']
8076722802,"['370497', '370498', '370499', '410000-150', '410011-100', '410015-100']"
8076722803,"['10256-10', '10257-10', '112899']"
8076722804,"['102544', '102590', '200999', '209461', '213458', '213476', '213479', '213495', '213505', '31531-25']"
8076722805,"['213465', '371097-25', '408795']"
8076722807,"['1004640', '119714', '128839-2', '128845-2', '128861-2', '128862-2', '135128', '243193', '372132']"
8076722808,['408795']
8076722809,"['29152-10', '29165-10', '29168-10', '29169-10']"
8076722810,['198706']
8076722811,"['158358', '159956-25', '38501', '408139-12']"
8076722812,"['152825-6', '857386-10']"
8076722813,"['1000525-6', '1000548-6', '1004640', '100521', '153076', '405655-25', '6483-100', '6491-100', '98264-50', '98337-50']"
8076722814,"['332543', '341709', '372018', '372019']"
8076722815,"['131834', '881163']"
8076722816,"['1002406', '251274']"
8076722817,['244624']
8076722818,['241915']
8076722819,"['100015', '112475-10', '98188-10']"
8076722820,['543799']
8076722821,['366314']
8076722822,['1003474-10']
8076722823,"['180558', '337832', '40875-6', '40876-6', '92297-6']"
8076722824,"['213465', '213479', '368546-10', '560936-250', '743470-1000']"
8076722825,['144120']
8076722827,"['131271-10', '218039', '343964-12', '367171']"
8076722828,"['335506', '371282', '415190-10', '534536-50']"
8076722829,['519160']
8076722830,"['105163-100', '133386', '141154-250', '142454', '408795', '86814-200']"
8076722831,"['408939', '408940', '413526', '415333-30']"
8076722832,"['410021-100', '8340-5', '8341-5']"
8076722833,"['201071', '335506', '367176']"
8076722834,['111809-100']
8076722835,"['240294', '240302', '274109']"
8076722837,['372411-5']
8076722839,['208894']
8076722841,"['1000381', '1000382', '1002408', '408139-12', '414536', '42654']"
8076722842,"['152826-6', '180558', '38278', '410274']"
8076722843,"['40877-6', '419044']"
8076722844,"['243427', '366363', '366368', '366373', '405737', '423529']"
8076722845,"['198891-2', '198893', '210632', '245227', '33554', '339157', '339158', '339159', '343964-12', '57607']"
8076722846,"['180558', '240291']"
8076722847,"['129907', '368547-10', '372136', '76359']"
8076722849,['329068-5']
8076722850,"['109441', '25561']"
8076722851,"['200559', '38503']"
8076722852,['1000381']
8076722853,['424218-12']
8076722854,"['341628-15', '367252-5', '367314-10']"
8076722856,"['1004640', '20730', '210632', '213965-15', '339159', '343964-12', '363512-12', '368706-100', '368707-100', '368708-100', '54026']"
8076722857,['245354-15']
8076722859,"['369943-100', '369959-100', '369986-100', '48007-100', '49600-10', '49602-10']"
8076722860,"['1000381', '339240', '339241', '367176', '373032-12', '412564', '43246-24']"
8076722861,['28060-200']
8076722862,"['213473-10', '367313-10', '6474-100']"
8076722863,['81520']
8076722864,"['206958', '369964-100', '369986-100']"
8076722865,"['23217-100', '332159-15', '335506', '409856-50', '410013-100', '50852-25', '807907-100', '86813-200']"
8076722866,['560855-1000']
8076722867,"['209335', '339158']"
8076722868,['142454']
8076722869,"['106129-25', '176893-25', '543560-25', '781754-25', '930628-25']"
8076722870,['413516']
8076722871,"['136876-5', '136884-5', '136947-5', '369964-100']"
8076722872,"['111733-100', '12967-100', '405236-6', '4375-100', '97357-100']"
8076722873,"['139500-25', '335506', '341498', '341499', '38667']"
8076722874,"['133004-100', '2780-100', '3697-100', '4405-100']"
8076722875,"['32984', '64122']"
8076722876,"['165750', '30682-100', '371263', '371280', '371745', '419803']"
8076722877,"['240296', '366376', '366862', '399210']"
8076722878,"['1004640', '305855']"
8076722879,"['1000290', '1000361', '1000364', '148596-15', '741531']"
8076722880,"['148606-6', '148610-15', '180696', '180697', '85472-1000']"
8076722883,['5107-100']
8076722884,"['335506', '560855-1000', '560863-1000', '937690-1000']"
8076722885,['111731-100']
8076722886,"['1000295', '1000296', '1000364', '1000526-6', '59622-10']"
8076722888,['333685']
8076722889,"['108478', '213520-10', '213521-10']"
8076722890,['57608']
8076722891,"['113778-25', '171732-250', '335506']"
8076722892,['97810-50']
8076722893,"['1000674-3', '339281', '363706', '407954-6', '410146-1000', '410150-500']"
8076722894,"['134974', '141754']"
8076722895,['339158']
8076722896,"['1001698', '151442-50', '163708', '242709-15', '333657', '413976-100']"
8076722897,['4247']
8076722898,['368547-10']
8076722899,['67517']
8076722900,"['369947-100', '369964-100', '369986-100', '509590-50']"
8076722901,['213203']
8076722902,"['1000296', '1000361', '1000364']"
8076722903,['406781']
8076722904,"['1004640', '371209', '372687', '420472-6']"
8076722906,"['104444', '335506', '366074-12']"
8076722907,['917575']
8076722909,"['13761-6', '152598', '200743', '367170']"
8076722910,['52029-100']
8076722911,"['40057-250', '4448-500', '97659-100']"
8076722912,"['138321', '218521', '399490-10', '405732', '43241-12']"
8076722913,"['213474', '38503']"
8076722914,"['148596-6', '173174', '243193', '368832-10', '4184']"
8076722915,"['1004640', '173176']"
8076722916,['422202']
8076722917,"['218906-10', '218907-10', '218911-10', '218912-10', '218913-10', '218914-10']"
8076722918,"['103480-12', '131274-10', '1529', '180559', '338382']"
8076722919,['1004640']
8076722920,"['130643-100', '370498']"
8076722921,"['101025', '151442-50', '183164', '243193', '334790', '369076', '413976-100']"
8076722923,['199716-6']
8076722925,['218516']
8076722926,['244625']
8076722927,"['1000270', '1000295', '1000296', '1000309', '1000361']"
8076722928,"['137358', '200437', '244648', '30546', '419796', '419801', '49083', '49304']"
8076722929,"['14195-30', '370491']"
8076722930,['210632']
8076722931,['367506']
8076722932,"['111803-100', '30124', '7501-100', '7536-100', '8850-100']"
8076722933,"['104383', '104386', '104390', '244615', '244632', '29143-10', '335506', '369959-100', '38278', '414852-10']"
8076722934,"['213991-250', '215017', '215689-100', '409450']"
8076722935,"['1004640', '45810', '879']"
8076722936,"['170331', '309893', '335506']"
8076722937,"['1000382', '412564']"
8076722939,['40876-6']
8076722941,"['201071', '335506', '367176', '367277']"
8076722942,"['209109-100', '25519']"
8076722946,"['213994-250', '405611-50']"
8076722948,['192147']
8076722950,"['104458', '131279-10', '131284-10', '131289-10', '146762-6', '149839-25', '23818-10', '244409', '49597', '52059', '52554-6', '61704']"
8076722952,['183975']
8076722953,"['180559', '367246-5', '367250-5', '370498', '370499', '409966-500', '409969-500']"
8076722954,"['139825', '215984', '218445', '248625', '411545', '411547', '477-25']"
8076722955,['1000361']
8076722956,"['188824', '243431', '30329-25', '335506', '370972-400', '421256-10', '8324-10', '86759-1000', '86768-1000', '86782-500']"
8076722957,"['100529', '218401', '218403', '372444-12', '639370', '8334-10', '97357-100']"
8076722958,['916004']
8076722959,"['112477-10', '150655-10', '154130-10', '167529', '199794']"
8076722960,"['129779-100', '129782-100', '129785-50', '244409', '30679-500', '87041-200', '87056-200', '87057-200', '87059-150', '87071-100', '87075-100']"
8076722961,"['1004640', '86783-500', '86784-500', '86786-400', '87054-300']"
8076722962,['223115-250']
8076722963,['138605']
8076722966,"['104493-50', '14424-100', '166687', '194611', '248-50', '254477-25', '399199', '40059-250', '6483-100', '98184-10']"
8076722967,"['180559', '213444']"
8076722969,"['198901', '243415-12', '45062-10']"
8076722970,"['404466-100', '404469-100']"
8076722971,['304921']
8076722972,"['199822', '30545', '332673-10', '332674-10', '40877-6']"
8076722973,['243431']
8076722974,['365940-36']
8076722975,['23323']
8076722977,"['200777', '339281', '43241-12']"
8076722978,['145178']
8076722979,"['152737-100', '152741-100', '199652-500']"
8076722980,"['209101', '219188', '369770-12', '6689-500']"
8076722981,['199790']
8076722982,['339210']
8076722984,"['34048', '34051']"
8076722986,['167008-10']
8076722988,"['1000382', '1191', '158097-12', '188083', '219188', '340644', '367176', '370499']"
8076722989,"['175556-100', '213498', '41562', '97973']"
8076722990,['188101']
8076722991,"['242700', '32616-6', '335506', '802395']"
8076722992,['198891-2']
8076722993,"['173190', '369974-100', '38278', '69922']"
8076722994,['405732']
8076722996,"['152826-6', '175724', '180558', '42298-10']"
8076722997,"['23770-8', '365889-5', '365890-5', '365896-5', '365897-5', '371253', '372559-15', '38279', '421380-12', '890286', '92297-6', '923346-10']"
8076722998,['243913-25']
8076723000,"['219824', '249661', '341563']"
8076723001,"['38501', '413516']"
8076723002,['97780-50']
8076723003,['409657']
8076723004,"['201071', '367168', '367176']"
8076723005,['157951-100']
8076723006,"['148112-6', '154155-15', '160366-15', '56388-5']"
8076723007,"['339157', '57607', '57608', '98181-10']"
8076723008,"['129887', '200637', '33187-3', '409725', '419797', '45224', '857386-10']"
8076723009,"['198671', '28753-250', '332673-10', '371084-25', '38278', '50908-10']"
8076723010,"['152825-6', '180558']"
8076723012,"['107748', '107749', '107750', '215903-12', '23047-250', '329071-5', '367947-15', '368546-10', '406859', '421237-10']"
8076723015,['414101']
8076723017,"['109436-100', '235659-200', '235662-200', '235663-200', '356441-200', '356816-100', '5363-200', '5371-200', '7587-200']"
8076723018,"['104401', '119717', '120939', '207657-10', '207658', '242700', '420473']"
8076723021,"['25690-25', '4375-100', '4448-100']"
8076723023,"['180173', '199790', '23015', '235567-25', '356530-25', '414536', '562009-10']"
8076723024,"['13951', '166843-10', '243910-25', '354910-100']"
8076723026,"['107218-15', '329072', '33247-50', '86898-400', '86912-200', '86913-200', '86914-200', '86925-100']"
8076723027,['38278']
8076723028,"['131279-10', '131289-10', '200453', '200538', '220607', '333681']"
8076723030,"['11129-100', '164408-100', '2179-25', '236425-50', '236432-50', '365629-100', '532649-200', '6467-100']"
8076723031,['399490-10']
8076723035,"['1000260', '1003636', '1004911', '1004986', '203076', '399419-10', '421177-12', '421181-12', '92847']"
8076723038,['923346-10']
8076723050,"['142454', '240006', '245268']"
8076723053,['24508-500']
8076723055,"['120318', '173444-100', '173576-100', '335506']"
8076723081,['422013']
8076723086,"['419803', '419809']"
8076723088,['113838-50']
8076723090,"['21036-100', '31209-100', '567388-100', '894044-100', '894079-100']"
8076723091,"['107813', '142454', '339158', '920115']"
8076723093,['98188-10']
8076723095,"['412195', '52118']"
8076723096,"['185244', '34040', '34052', '399174']"
8076723098,"['152825-6', '152826-6', '157154', '200637', '409855-50', '421263-5', '421265-5']"
8076723100,"['102349', '198898', '341700', '366829', '421231-5']"
8076723101,['421257-10']
8076723102,"['152744-100', '407488', '51900-100', '857386-10']"
8076723103,"['1000671-5', '141367', '84782-10']"
8076723104,"['152825-6', '152826-6', '200064-6', '201032', '218906-10', '410163-500', '412930-200', '412938-100', '415333-6', '8367', '86812-200']"
8076723105,['365905']
