Station,Total_Order_Lines,Unique_Products,Speed,Workload_Capacity
01.01,26062,1134,50.44,516.6837
01.02,119185,1880,30.43,3917.2692
01.03,94249,1319,43.37,2173.3292
01.04,115344,1432,39.94,2887.633
01.05,107547,1672,34.21,3143.6815
01.06,59108,112,742.86,79.5685
01.07,63625,97,857.73,74.1782
01.08,45902,88,945.45,48.5502
01.09,81679,286,290.91,280.7716
01.10,84046,273,304.76,275.7759
01.11,72499,225,369.78,196.061
01.12,7790,8,10400.0,0.749
01.13,43706,42,1980.95,22.0631
01.21,60203,656,126.83,474.6775
01.22,32390,95,875.79,36.9838
01.23,44677,116,717.24,62.29
01.24,40550,109,763.3,53.1244
01.25,44877,130,640.0,70.1203
01.26,46317,141,590.07,78.494
01.27,42660,112,742.86,57.4269
01.28,55963,506,164.43,340.3519
01.30,47315,1561,24.15,1959.1171
01.31,98394,3802,9.92,9922.9175
01.E4,52530,6078,6.2,8468.895
