fold,arm,gamma,station,ratio_norm
0,gamma0,0,ST_01.E4,0.3402620364804887
0,gamma0,0,ST_01.31,0.5758705659576793
0,gamma0,0,ST_01.02,0.9878904261985497
0,gamma0,0,ST_01.30,0.72325537837123
0,gamma0,0,ST_01.05,0.9725427484542375
0,gamma0,0,ST_01.12,0.2022299157720681
0,gamma0,0,ST_01.28,1.0584829075701325
0,gamma0,0,ST_01.04,0.9715605155777975
0,gamma0,0,ST_01.13,0.22541040593142084
0,gamma0,0,ST_01.09,0.9493639567310636
0,gamma0,0,ST_01.08,0.5224700205380653
0,gamma0,0,ST_01.10,0.9370308969429678
0,gamma0,0,ST_01.21,0.9555385803335292
0,gamma0,0,ST_01.24,0.6757128366838915
0,gamma0,0,ST_01.06,0.9173285578303418
0,gamma0,0,ST_01.23,0.9555322878718323
0,gamma0,0,ST_01.11,0.9973734599416356
0,gamma0,0,ST_01.03,1.029682936469384
0,gamma0,0,ST_01.01,0.6346506522896241
0,gamma0,0,ST_01.27,0.7433516627046736
0,gamma0,0,ST_01.26,0.8005847120556401
0,gamma0,0,ST_01.22,0.6985458119954497
0,gamma0,0,ST_01.25,0.5739947263660278
0,gamma0,0,ST_01.07,1.2314082620318354
0,gamma1,1,ST_01.E4,0.2680852408634153
0,gamma1,1,ST_01.31,0.5928219797980587
0,gamma1,1,ST_01.02,0.9735731736449467
0,gamma1,1,ST_01.30,0.6282687433130947
0,gamma1,1,ST_01.05,0.969785654242799
0,gamma1,1,ST_01.12,0.2998312264728732
0,gamma1,1,ST_01.28,0.9439414571459389
0,gamma1,1,ST_01.04,0.971335599955702
0,gamma1,1,ST_01.13,0.7015399370419797
0,gamma1,1,ST_01.09,0.8991356908170576
0,gamma1,1,ST_01.08,0.7134690060982772
0,gamma1,1,ST_01.10,0.8972978972398803
0,gamma1,1,ST_01.21,1.0295601240901406
0,gamma1,1,ST_01.24,0.5727585765057936
0,gamma1,1,ST_01.06,0.9386442327295458
0,gamma1,1,ST_01.23,0.6011585113562534
0,gamma1,1,ST_01.11,0.9632377484623552
0,gamma1,1,ST_01.03,0.9779878895493714
0,gamma1,1,ST_01.01,0.8640665944748235
0,gamma1,1,ST_01.27,0.8849424556008026
0,gamma1,1,ST_01.26,0.8728305517584577
0,gamma1,1,ST_01.22,0.5459404192210594
0,gamma1,1,ST_01.25,0.6257432140301118
0,gamma1,1,ST_01.07,1.189912719504351
