beta,gamma_i,feasible_model,proven_infeasible,robust_ok,V_tr,V_te,PoR_pct,G_pct,viol_norm,max_ratio_norm,X,imbalance,wl_broken_asrun,solve_time
1.0,0,True,,True,376320.0,124287.0,0.0,0.0,10.0,1.2011025250188592,0.0073147464121205,1.3212127775207454,0.0,136.214289188385
1.0,1,False,False,,,,,,,,,,,101.65656995773315
1.0,2,False,False,,,,,,,,,,,107.97493195533752
1.0,4,False,False,,,,,,,,,,,84.22140836715698
1.05,0,True,,True,339479.0,112812.0,0.0,0.0,7.0,1.1906114244615489,0.0218241832570302,1.3096725669077036,0.0,129.1628189086914
1.05,1,True,,True,341834.0,114767.0,0.6937100674857649,-1.7329716696805304,5.0,1.3005853298133998,0.0245026005762273,1.43064386279474,0.0,98.66196465492249
1.05,2,False,False,,,,,,,,,,,99.61138486862184
1.05,4,False,False,,,,,,,,,,,97.10357785224916
1.1,0,True,,True,330048.0,110426.0,0.0,0.0,3.0,1.2314082620318354,0.0062132847938229,1.3545490882350188,0.0,130.05353689193726
1.1,1,True,,True,338289.0,112651.0,2.4969095404304826,-2.0149240215166717,2.0,1.189912719504351,0.0021959899541339,1.3089039914547862,0.0,133.6621389389038
1.1,2,True,,True,336698.0,112917.0,2.014858444832267,-2.2558093202687775,3.0,1.2818644292659462,0.0015266715701904,1.410050872192541,0.0,102.65044283866882
1.1,4,False,False,,,,,,,,,,,90.8676416873932
1.2,0,True,,True,324370.0,108851.0,0.0,0.0,2.0,1.0106408022835158,0.0022561090846215,1.1117048825118676,0.0,127.85997080802916
1.2,1,True,,True,326280.0,109629.0,0.5888337392483892,-0.7147384957418857,1.0,1.0431338220739108,0.0003029739135315,1.147447204281302,0.0,127.0840368270874
1.2,2,True,,True,330669.0,110681.0,1.941918179856337,-1.6811972329147182,1.0,1.0604720995638068,0.0004065046338633,1.1665193095201876,0.0,128.28750491142273
1.2,4,True,,True,332568.0,111828.0,2.5273607300305208,-2.7349312362771125,3.0,1.0253444970459606,0.0038112948152699,1.1278789467505568,0.0,95.2754933834076
