station,capacity_slots,T_s_stored,speed,n_pinned,W_tr_pinned,ratio_tr_pinned,W_te_pinned,ratio_te_pinned,viol_te_pinned,W_te_pinned_distinct,ratio_te_pinned_distinct,train_share_pinned,W_te_trainprop,ratio_te_trainprop,fair_share_tr_lines,fair_share_te_lines,B_tr,B_te,W_star_te_fluid,ratio_pb_fluid
1,44,7,1588.888889,36,5.307,0.7582,1.955,0.2794,0,1.588,0.2268,0.01149,1.597,0.2281,19.254,5.793,2.7506,0.8275,5.674,0.8105
2,207,148,332.55814,172,123.323,0.8333,34.574,0.2336,0,33.104,0.2237,0.05586,37.102,0.2507,91.993,27.676,0.6216,0.187,5.674,0.0383
3,168,95,408.571429,140,78.459,0.8259,22.295,0.2347,0,21.578,0.2271,0.04366,23.604,0.2485,74.878,22.527,0.7882,0.2371,5.674,0.0597
4,200,158,344.578313,166,131.337,0.8312,36.59,0.2316,0,34.84,0.2205,0.06164,39.513,0.2501,88.784,26.711,0.5619,0.1691,5.674,0.0359
5,190,118,362.025316,158,97.667,0.8277,26.059,0.2208,0,24.976,0.2117,0.04816,29.383,0.249,84.505,25.423,0.7161,0.2155,5.674,0.0481
6,69,32,1459.649123,57,26.645,0.8327,7.877,0.2462,0,7.38,0.2306,0.05297,8.016,0.2505,20.959,6.306,0.655,0.197,5.674,0.1773
7,52,26,1934.883721,43,20.99,0.8073,7.437,0.286,0,6.754,0.2598,0.05531,6.315,0.2429,15.811,4.757,0.6081,0.183,5.674,0.2182
8,51,21,1980.952381,42,17.433,0.8301,5.049,0.2404,0,4.578,0.218,0.04703,5.245,0.2497,15.444,4.646,0.7354,0.2212,5.674,0.2702
9,162,101,616.296296,135,83.878,0.8305,25.019,0.2477,0,23.896,0.2366,0.07041,25.235,0.2499,49.64,14.934,0.4915,0.1479,5.674,0.0562
10,161,111,620.895522,134,92.046,0.8292,25.927,0.2336,0,25.022,0.2254,0.07784,27.692,0.2495,49.272,14.824,0.4439,0.1335,5.674,0.0511
11,149,86,670.967742,124,71.521,0.8316,21.688,0.2522,0,20.117,0.2339,0.06536,21.517,0.2502,45.595,13.717,0.5302,0.1595,5.674,0.066
12,9,1,11885.714286,7,0.519,0.5194,0.274,0.2743,0,0.131,0.1307,0.00841,0.156,0.1563,2.574,0.774,2.5739,0.7744,5.674,5.6737
13,29,11,3466.666667,24,8.592,0.7811,2.837,0.2579,0,2.66,0.2418,0.04057,2.585,0.235,8.825,2.655,0.8023,0.2414,5.674,0.5158
14,161,61,620.895522,134,50.057,0.8206,15.568,0.2552,0,13.783,0.226,0.04233,15.06,0.2469,49.272,14.824,0.8077,0.243,5.674,0.093
15,70,20,1434.482759,58,16.34,0.817,5.048,0.2524,0,4.312,0.2156,0.03192,4.916,0.2458,21.327,6.416,1.0663,0.3208,5.674,0.2837
16,76,31,1320.634921,63,25.704,0.8291,8.52,0.2748,0,7.449,0.2403,0.04623,7.733,0.2494,23.165,6.969,0.7473,0.2248,5.674,0.183
17,71,25,1410.169492,59,20.202,0.8081,5.933,0.2373,0,5.46,0.2184,0.0388,6.078,0.2431,21.694,6.527,0.8678,0.2611,5.674,0.2269
18,92,36,1094.736842,76,29.73,0.8258,8.152,0.2264,0,7.347,0.2041,0.04433,8.944,0.2485,27.945,8.407,0.7763,0.2335,5.674,0.1576
19,98,44,1027.160494,81,36.624,0.8324,10.081,0.2291,0,9.176,0.2085,0.05124,11.018,0.2504,29.784,8.961,0.6769,0.2036,5.674,0.1289
20,75,24,1341.935484,62,19.36,0.8067,5.576,0.2323,0,5.055,0.2106,0.03538,5.824,0.2427,22.798,6.859,0.9499,0.2858,5.674,0.2364
21,136,42,736.283186,113,34.483,0.821,11.654,0.2775,0,10.372,0.247,0.03458,10.374,0.247,41.55,12.5,0.9893,0.2976,5.674,0.1351
22,46,10,992.105263,38,7.653,0.7653,2.197,0.2197,0,2.098,0.2098,0.01034,2.303,0.2303,30.836,9.277,3.0836,0.9277,5.674,0.5674
23,77,32,589.0625,64,26.153,0.8173,8.425,0.2633,0,7.447,0.2327,0.02098,7.868,0.2459,51.935,15.625,1.623,0.4883,5.674,0.1773
24,17,2,2692.857143,14,1.41,0.7048,0.398,0.1992,0,0.39,0.195,0.00517,0.424,0.212,11.361,3.418,5.6804,1.7089,5.674,2.8368
