fold,arm,gamma,alpha,solver_obj,solver_bound,solver_gap,solve_time,feasible_model,c_fit_q90,V_tr,V_te,cap_broken,wl_broken_asrun,max_workload_te,Tn,viol_norm,max_ratio_norm,imbalance,X,robust_lhs_max,robust_ok,PoR_pct,G_pct,beta,T_s_train,instance,size,seed
0,gamma0,0.0,1.0,7638.0,,,77.0097336769104,True,3.333488069639014,166201.0,71583.0,0.0,0.0,14982.0,14923.0,1.0,1.0039536286269517,1.1043867343854812,0.0004349140123397,34794.0,True,0.0,0.0,,,syn_1000sku_seed1001,1000,1001
0,gamma1,1.0,1.0,7668.0,,,77.40134119987488,True,3.333488069639014,167383.0,72134.0,0.0,0.0,15047.0,14923.0,1.0,1.008309321182068,1.109178159945157,0.0009140565683072,34715.40963999756,True,0.7111870566362417,-0.7697358311330903,,,syn_1000sku_seed1001,1000,1001
0,gamma2,2.0,1.0,7586.0,,,77.76123785972595,True,3.333488069639014,165906.0,71582.0,0.0,0.0,15109.0,14923.0,1.0,1.0124639817731018,1.113748442786693,0.0013710848524609,34732.07995658262,True,-0.17749592361056793,0.0013969797298241202,,,syn_1000sku_seed1001,1000,1001
0,gamma4,4.0,1.0,7672.0,,,78.33464097976685,True,3.333488069639014,167962.0,72601.0,0.0,0.0,14956.0,14923.0,1.0,1.0022113516049052,1.102470164161611,0.0002432569899527,34807.777973051554,True,1.0595604117905428,-1.4221253649609544,,,syn_1000sku_seed1001,1000,1001
0,tight1.02,,,7685.0,,,78.25286507606506,True,3.333488069639014,167114.0,71878.0,0.0,0.0,13953.0,14923.0,0.0,0.9349996649467264,1.0285347820638513,0.0,,,0.5493348415472831,-0.41210902029811547,1.02,32296.0,syn_1000sku_seed1001,1000,1001
0,gamma0,0.0,1.0,7602.0,,,76.22489833831787,True,3.229084701142161,138082.0,60046.0,0.0,0.0,12709.0,12837.0,0.0,0.9900288229337072,1.089097032384119,0.0,29794.0,True,0.0,0.0,,,syn_1000sku_seed1002,1000,1002
0,gamma1,1.0,1.0,7557.0,,,77.47768425941467,True,3.229084701142161,138577.0,60361.0,0.0,0.0,13009.0,12837.0,1.0,1.0133987691828308,1.1148055153265406,0.0014739530220321,29804.641189273785,True,0.35848264074969943,-0.524597808346934,,,syn_1000sku_seed1002,1000,1002
0,gamma2,2.0,1.0,7531.0,,,79.78532385826111,True,3.229084701142161,138405.0,60265.0,0.0,0.0,12833.0,12837.0,0.0,0.9996884007166784,1.0997232053336532,0.0,29806.60981887563,True,0.23391897568111703,-0.36472038104120175,,,syn_1000sku_seed1002,1000,1002
0,gamma4,4.0,1.0,7643.0,,,78.92972493171692,True,3.229084701142161,138548.0,60315.0,0.0,0.0,12854.0,12837.0,1.0,1.001324296954117,1.1015227991396228,0.0001456814033403,29394.62254745737,True,0.3374806274532524,-0.447989874429604,,,syn_1000sku_seed1002,1000,1002
0,tight1.02,,,7762.0,,,74.87593960762024,True,3.229084701142161,139260.0,60662.0,0.0,0.0,12030.0,12837.0,0.0,0.9371348445898574,1.0309101659911049,0.0,,,0.8531162642487797,-1.0258801585451154,1.02,27645.0,syn_1000sku_seed1002,1000,1002
0,gamma0,0.0,1.0,7574.0,,,78.61811065673828,True,3.29450836986218,145744.0,62906.0,0.0,0.0,12488.0,12364.0,1.0,1.0100291167906823,1.1110517980746988,0.0011032224772682,28985.0,True,0.0,0.0,,,syn_1000sku_seed1003,1000,1003
0,gamma1,1.0,1.0,7570.0,,,78.83595275878906,True,3.29450836986218,145782.0,62852.0,0.0,0.0,12631.0,12364.0,1.0,1.0215949530896151,1.1237744443851314,0.0023754871083115,28990.265496128686,True,0.02607311450214074,0.08584236797761739,,,syn_1000sku_seed1003,1000,1003
0,gamma2,2.0,1.0,7617.0,,,79.37399768829346,True,3.29450836986218,145923.0,63014.0,0.0,0.0,12463.0,12364.0,1.0,1.0080071174377223,1.1088275592092387,0.0008807985907222,28990.037413068345,True,0.12281809199692612,-0.17168473595523479,,,syn_1000sku_seed1003,1000,1003
0,gamma4,4.0,1.0,7582.0,,,78.54895758628845,True,3.29450836986218,146981.0,63317.0,0.0,0.0,12334.0,12364.0,0.0,0.9975736007764476,1.0973504866634638,0.0,28977.776124068696,True,0.8487484905038972,-0.6533558007185324,,,syn_1000sku_seed1003,1000,1003
0,tight1.02,,,7692.0,,,75.26566743850708,True,3.29450836986218,147026.0,63409.0,0.0,0.0,11625.0,12364.0,0.0,0.9402296991264962,1.0342710724390114,0.0,,,0.8796245471511692,-0.7996057609766953,1.02,26884.0,syn_1000sku_seed1003,1000,1003
0,gamma0,0.0,1.0,7020.0,,,78.04679822921753,True,3.236696842875625,115894.0,50004.0,0.0,0.0,11093.0,11053.0,1.0,1.003618926988148,1.104011783556763,0.0003980931338886,25735.0,True,0.0,0.0,,,syn_1000sku_seed1004,1000,1004
0,gamma1,1.0,1.0,7131.0,,,76.81454420089722,True,3.236696842875625,116858.0,50350.0,0.0,0.0,11216.0,11053.0,2.0,1.0147471274767033,1.1162531474238395,0.0016620388339852,25778.012540360603,True,0.8317945709009957,-0.6919446444284457,,,syn_1000sku_seed1004,1000,1004
0,gamma2,2.0,1.0,7227.0,,,78.54950451850891,True,3.236696842875625,117746.0,50682.0,0.0,0.0,11140.0,11053.0,1.0,1.007871166199222,1.108689377879955,0.0008658525662078,25752.49797530896,True,1.598011976461249,-1.3558915286777058,,,syn_1000sku_seed1004,1000,1004
0,gamma4,4.0,1.0,7126.0,,,78.22592854499817,True,3.236696842875625,117643.0,50638.0,0.0,0.0,10847.0,11053.0,0.0,0.9813625260110376,1.0795290558226096,0.0,25762.136532058277,True,1.5091376602757693,-1.267898568114551,,,syn_1000sku_seed1004,1000,1004
0,tight1.02,,,7233.0,,,77.12679934501648,True,3.236696842875625,118403.0,51028.0,0.0,0.0,10475.0,11053.0,0.0,0.9477065050212612,1.0425063943709632,0.0,,,2.1649093136831934,-2.0478361731061514,1.02,23928.0,syn_1000sku_seed1004,1000,1004
0,gamma0,0.0,1.0,9058.0,,,148.69446992874146,True,3.269157791297024,312094.0,134011.0,0.0,0.0,11162.0,11127.0,1.0,1.0031455019322368,1.1035532794178713,0.0001730172226286,25887.0,True,0.0,0.0,,,syn_2000sku_seed1001,2000,1001
