size,arm,n_seeds,PoR_mean,PoR_sd,G_mean,viol_mean,viol_max,peak_mean,peak_max,X_mean,wl_asrun_mean,robust_ok_all,solve_time_mean,n_infeasible
50,gamma0,12,0.0,0.0,0.0,0.6666666666666666,2.0,0.9959757947430264,1.0463871543264942,0.0025294601930678164,0.0,True,2.2384355465571084,0
50,gamma1,12,0.12496038511501095,0.8698745633460959,0.10783738344213774,0.4166666666666667,1.0,0.9875903913226085,1.0591304347826087,0.0016695267645317497,0.0,True,4.092090408007304,0
50,gamma2,12,0.5121976042027745,1.2325679457906642,-0.7702585129065461,0.25,1.0,0.9895261980945665,1.0269565217391303,0.0007078715938254582,0.0,True,4.225013713041942,0
50,gamma4,12,2.287968247871012,3.1082701038108262,-1.8513580654787638,0.0,0.0,0.954427956506091,0.9759786476868328,0.0,0.0,True,4.25618044535319,0
50,tight1.02,11,2.733694996807192,2.6461338522921216,-1.867243689534095,0.0,0.0,0.9589744221355851,0.9857651245551602,0.0,0.0,,4.447346297177401,1
500,gamma0,10,0.0,0.0,0.0,0.3,1.0,0.9917320465946473,1.011717605702568,0.00056303877272592,0.0,True,40.856268000602725,0
500,gamma1,10,0.08186647682592371,0.7839200171646853,0.0001368073644935977,0.3,1.0,0.9907177377645248,1.0211018269366945,0.0007333446411372299,0.0,True,43.11813325881958,0
500,gamma2,10,-0.011018378114701983,0.5056269512191446,0.0297443104902677,0.3,1.0,0.9933635406044603,1.0103384157679434,0.00031660983179855005,0.0,True,42.09068915843964,0
500,gamma4,10,0.1264536954847555,0.5090256819408508,0.0104284050769849,0.2,1.0,0.9846657362940796,1.0036129284249584,0.00013512077691231,0.0,True,41.93739774227142,0
500,tight1.02,10,0.6548082028508325,1.0235573739094699,-0.5535995697577238,0.0,0.0,0.9350659493714563,0.9541837114168836,0.0,0.0,,41.791960048675534,0
1000,gamma0,4,0.0,0.0,0.0,0.75,1.0,1.0019076238348723,1.0100291167906823,0.00048405740587412503,0.0,True,77.47488522529602,0
1000,gamma1,4,0.4818843456972694,0.36423836435941714,-0.4751089789827132,1.25,2.0,1.0145125427328043,1.0215949530896151,0.001606383883159,0.0,True,77.63238060474396,0
1000,gamma2,4,0.4443132801321811,0.7885201935926461,-0.47272491648607956,0.75,1.0,1.0070076665316812,1.0124639817731018,0.0007794340023477251,0.0,True,78.86751598119736,0
1000,gamma4,4,0.9387317975058654,0.48633403038819606,-0.9478424020559104,0.5,1.0,0.9956179438366268,1.0022113516049052,9.723459832324999e-05,0.0,True,78.5098130106926,0
1000,tight1.02,4,1.1117462416576065,0.7179203729122648,-1.0713577782315193,0.0,0.0,0.9400176784210853,0.9477065050212612,0.0,0.0,,76.38031786680222,0
2000,gamma0,3,0.0,0.0,0.0,0.6666666666666666,1.0,1.0059135299276925,1.0228205549170908,0.00047606985501739995,0.0,True,148.196262995402,0
2000,gamma1,3,0.3701083044907107,0.6273325571579431,-0.2638752889097245,1.0,2.0,1.0039268093118756,1.0122425556334884,0.0004901015934434,0.0,True,151.43540692329407,0
2000,gamma2,3,0.35803324786338436,0.15086041554410223,-0.336168333574044,0.6666666666666666,1.0,1.0028909917736846,1.0190527545609778,0.00035166806878089945,0.0,True,130.57163166999817,0
2000,gamma4,3,0.46978414449879907,0.159549023945827,-0.2792463457875803,0.3333333333333333,1.0,0.9969563783377838,1.0151756679206785,0.00027822882801366663,0.0,True,86.41506028175354,0
2000,tight1.02,3,0.9620814959926621,0.36440673668020296,-0.8537336067816313,0.0,0.0,0.9389955749297787,0.9419635527827944,0.0,0.0,,86.52710469563802,0
