fold,arm,gamma,station,ratio_norm
0,gamma0,0.0,1,0.9552127225771374
0,gamma0,0.0,2,0.886094875628653
0,gamma0,0.0,3,0.9618050835938562
0,gamma0,0.0,4,0.9885143400842735
0,gamma0,0.0,5,0.7537039554166101
0,gamma1,1.0,1,1.010330297675683
0,gamma1,1.0,2,0.8732499660187576
0,gamma1,1.0,3,0.9911648769879027
0,gamma1,1.0,4,0.8285306510806035
0,gamma1,1.0,5,0.8420551855375833
0,gamma2,2.0,1,0.814122604322414
0,gamma2,2.0,2,0.9611254587467718
0,gamma2,2.0,3,1.002310724480087
0,gamma2,2.0,4,0.8116759548729101
0,gamma2,2.0,5,0.9560962348783472
0,gamma4,4.0,1,0.9857278782112274
0,gamma4,4.0,2,0.9794753296180508
0,gamma4,4.0,3,0.7331113225499524
0,gamma4,4.0,4,0.9826695663993475
0,gamma4,4.0,5,0.8643468805219519
0,tight1.02,,1,0.9338045398939785
0,tight1.02,,2,0.9088623080059807
0,tight1.02,,3,0.876240315345929
0,tight1.02,,4,0.926940328938426
0,tight1.02,,5,0.8994834851162159
