fold,c_fit_q90,T_s,lhat_scale,lhat_max,lhat_top8_sum,lhat_total,n_train_orders,n_test_orders
0,69.98687321571666,45365.0,0.25,3326.75,12155.25,77582.21796122863,154207,154208
0,69.98687321571666,45365.0,0.5,6653.5,24310.5,155164.43592245725,154207,154208
0,69.98687321571666,45365.0,1.0,13307.0,48621.0,310328.8718449145,154207,154208
1,75.13482859554892,54208.0,0.25,3950.75,14700.89780966686,93090.8596360619,185049,123366
1,75.13482859554892,54208.0,0.5,7901.5,29401.79561933372,186181.7192721238,185049,123366
2,81.52737874183744,63569.0,0.25,4672.75,17412.800547861723,108845.46817143746,215890,92525
2,81.52737874183744,63569.0,0.5,9345.5,34825.60109572345,217690.9363428749,215890,92525
3,88.09688210235288,72966.0,0.25,5467.75,20121.55853498549,124760.3630222424,246732,61683
3,88.09688210235288,72966.0,0.5,10935.5,40243.11706997098,249520.7260444848,246732,61683
4,97.38037513392128,83965.0,0.25,7388.0,25688.205417187277,143710.25980635578,277573,30842
4,97.38037513392128,83965.0,0.5,14776.0,51376.41083437455,287420.5196127116,277573,30842
