arm,n_folds,gamma,PoR_pct,G_pct,viol_norm,max_ratio_norm,max_ratio_worst,X,imbalance,wl_asrun,n_infeasible
gamma0,5.0,0.0,0.0,0.0,2.6,1.7687461236835342,2.1115527520953945,0.1738047110200685,1.9456599750001509,1.0,0
gamma1,,,,,,,,,,,1
gamma16,,,,,,,,,,,1
gamma1_a0.25,5.0,1.0,1.4412908692986597,-2.486225361604535,2.6,1.6692329319469152,1.8990297284125648,0.15402346025619393,1.8361910414103093,1.0,0
gamma1_a0.5,5.0,1.0,2.3444274848821047,-4.441689444540043,2.6,1.586578513380615,1.8665987328873328,0.13007399890335758,1.7452691812356136,0.8,0
gamma2_a0.25,5.0,2.0,1.4105935326026016,-1.6401485065115637,2.2,1.7299731095446773,1.9400328350470923,0.15536935335935576,1.9030071159249466,0.8,0
gamma2_a0.5,1.0,2.0,19.131519631941675,-23.13851151153348,3.0,1.1390588563570048,1.1390588563570048,0.0309625861898863,1.252973482564704,4.0,4
gamma4,,,,,,,,,,,1
gamma4_a0.25,5.0,4.0,1.7662143899531269,-2.4104754925774854,2.8,1.7449771242045986,2.11014133179744,0.15151038599911915,1.9195108484717778,1.0,0
gamma4_a0.5,,,,,,,,,,,5
gamma8,,,,,,,,,,,1
gamma8_a0.25,,,,,,,,,,,5
gamma8_a0.5,,,,,,,,,,,5
hexaly_k1,5.0,,-3.877440670169455,6.158412636821593,2.8,2.15403412755733,2.5186301005715297,0.23077808950928208,2.3694835844728246,1.4,0
tight1.02,5.0,,2.257196101272645,-1.7313343815831885,2.8,1.7549772597007967,2.014257323079582,0.1693472415488763,1.9305135732968695,1.2,0
tight1.05,5.0,,0.41425042464036255,-0.27625632223381014,2.8,1.7612361722139975,2.0340259625182755,0.16833482381647064,1.9373964185478845,1.0,0
