fold,arm,gamma,station,ratio_norm
2,gamma0,0.0,GARE4,1.814038599893647
2,gamma0,0.0,GARE5,1.3982608151646907
2,gamma0,0.0,GARE6,1.0529575526291095
2,gamma0,0.0,GARE7,0.5703650411335982
2,gamma0,0.0,GARE8,0.9561762957865432
2,gamma0,0.0,GARE9,0.4427101254340142
2,gamma0,0.0,GARE10,0.5758078138196377
2,gamma0,0.0,GARE11,0.4622603146798461
2,gamma1_a0.25,1.0,GARE4,1.7931433576277018
2,gamma1_a0.25,1.0,GARE5,1.3876567925177516
2,gamma1_a0.25,1.0,GARE6,0.44405517845412745
2,gamma1_a0.25,1.0,GARE7,0.5244768369357815
2,gamma1_a0.25,1.0,GARE8,0.9161375082110795
2,gamma1_a0.25,1.0,GARE9,0.5495010791704463
2,gamma1_a0.25,1.0,GARE10,1.0790140448559542
2,gamma1_a0.25,1.0,GARE11,0.5785917607682443
2,gamma2_a0.25,2.0,GARE4,1.723982608151647
2,gamma2_a0.25,2.0,GARE5,1.4254433982920955
2,gamma2_a0.25,2.0,GARE6,0.6208201695392411
2,gamma2_a0.25,2.0,GARE7,0.6579186086521317
2,gamma2_a0.25,2.0,GARE8,0.9547999624636366
2,gamma2_a0.25,2.0,GARE9,0.4354530951859614
2,gamma2_a0.25,2.0,GARE10,0.9246144702680722
2,gamma2_a0.25,2.0,GARE11,0.5295442459883012
2,gamma4_a0.25,4.0,GARE4,1.8760048797272357
2,gamma4_a0.25,4.0,GARE5,1.240952172417029
2,gamma4_a0.25,4.0,GARE6,0.5242265945134349
2,gamma4_a0.25,4.0,GARE7,0.995088992461447
2,gamma4_a0.25,4.0,GARE8,0.5562263442710126
2,gamma4_a0.25,4.0,GARE9,1.0058806969251461
2,gamma4_a0.25,4.0,GARE10,0.5648909881447652
2,gamma4_a0.25,4.0,GARE11,0.509305890081016
2,tight1.05,,GARE4,1.9030310613406738
2,tight1.05,,GARE5,1.156964559416935
2,tight1.05,,GARE6,1.0571803935062092
2,tight1.05,,GARE7,0.4430854890675342
2,tight1.05,,GARE8,0.4811223372642247
2,tight1.05,,GARE9,0.8392818042478651
2,tight1.05,,GARE10,0.9105383340110732
2,tight1.05,,GARE11,0.4813725796865714
2,tight1.02,,GARE4,1.9348431292814914
2,tight1.02,,GARE5,1.2127373392974443
2,tight1.02,,GARE6,0.9431636898245175
2,tight1.02,,GARE7,0.540680033782727
2,tight1.02,,GARE8,0.5060214582877163
2,tight1.02,,GARE9,0.48728455691451095
2,tight1.02,,GARE10,1.100441052269386
2,tight1.02,,GARE11,0.5474052988832931
2,hexaly_k1,,GARE4,0.3608495730238669
2,hexaly_k1,,GARE5,1.5917294879414432
2,hexaly_k1,,GARE6,0.4545027995871
2,hexaly_k1,,GARE7,0.5570396321436392
2,hexaly_k1,,GARE8,1.0892739841721668
2,hexaly_k1,,GARE9,0.5368325565391473
2,hexaly_k1,,GARE10,0.42775814069880197
2,hexaly_k1,,GARE11,2.2545903844349215
