family,fold,model,q,c,coverage_weighted
iscf480-temporal,r0f0,M1_prop,80.0,0.5600238077400602,0.8
iscf480-temporal,r0f0,M2_sqrt,80.0,21.715828388305823,0.8
iscf480-temporal,r0f0,M1_prop,90.0,0.7563371653183176,0.9
iscf480-temporal,r0f0,M2_sqrt,90.0,46.22229190312655,0.9
iscf480-temporal,r0f0,M1_prop,95.0,1.0687133727239844,0.95
iscf480-temporal,r0f0,M2_sqrt,95.0,80.75672396665975,0.95
iscf480-temporal,r0f0,M3_empirical,,1.0,0.054337415130940835
iscf480-temporal,r0f1,M1_prop,80.0,0.7134008383261201,0.8
iscf480-temporal,r0f1,M2_sqrt,80.0,32.30109671096848,0.8
iscf480-temporal,r0f1,M1_prop,90.0,0.9382518683132266,0.9
iscf480-temporal,r0f1,M2_sqrt,90.0,66.28379352794508,0.9
iscf480-temporal,r0f1,M1_prop,95.0,1.3258326587841773,0.95
iscf480-temporal,r0f1,M2_sqrt,95.0,107.03149021544621,0.95
iscf480-temporal,r0f1,M3_empirical,,1.0,0.03365479735591191
iscf480-temporal,r0f2,M1_prop,80.0,0.976630412047947,0.8
iscf480-temporal,r0f2,M2_sqrt,80.0,46.80455183653623,0.8
iscf480-temporal,r0f2,M1_prop,90.0,1.1772076049624327,0.9
iscf480-temporal,r0f2,M2_sqrt,90.0,96.49440629059886,0.9
iscf480-temporal,r0f2,M1_prop,95.0,1.8001509953046058,0.95
iscf480-temporal,r0f2,M2_sqrt,95.0,149.18530036234816,0.95
iscf480-temporal,r0f2,M3_empirical,,1.0,0.04234126082865579
iscf480-temporal,r0f3,M1_prop,80.0,1.3211115502262831,0.8
iscf480-temporal,r0f3,M2_sqrt,80.0,56.16048432839589,0.8
iscf480-temporal,r0f3,M1_prop,90.0,1.5549027961246265,0.9
iscf480-temporal,r0f3,M2_sqrt,90.0,146.92107163343462,0.9
iscf480-temporal,r0f3,M1_prop,95.0,2.2950814900250798,0.95
iscf480-temporal,r0f3,M2_sqrt,95.0,213.969793351877,0.95
iscf480-temporal,r0f3,M3_empirical,,1.0,0.014858827010087419
iscf480-temporal,r0f4,M1_prop,80.0,1.2686053270534094,0.8
iscf480-temporal,r0f4,M2_sqrt,80.0,79.89288735174158,0.8
iscf480-temporal,r0f4,M1_prop,90.0,1.4756475708944115,0.9
iscf480-temporal,r0f4,M2_sqrt,90.0,210.75637106440374,0.9
iscf480-temporal,r0f4,M1_prop,95.0,2.130321648106237,0.95
iscf480-temporal,r0f4,M2_sqrt,95.0,215.15860503870326,0.95
iscf480-temporal,r0f4,M3_empirical,,1.0,0.017481400935725762
iscf10kt-temporal,r0f0,M1_prop,80.0,1.0,0.8
iscf10kt-temporal,r0f0,M2_sqrt,80.0,2.270461258936699,0.8
iscf10kt-temporal,r0f0,M1_prop,90.0,1.3108514190317195,0.9
iscf10kt-temporal,r0f0,M2_sqrt,90.0,5.514763310785374,0.9
iscf10kt-temporal,r0f0,M1_prop,95.0,1.6341804241637299,0.95
iscf10kt-temporal,r0f0,M2_sqrt,95.0,11.883549209192388,0.95
iscf10kt-temporal,r0f0,M3_empirical,,1.0,0.7946106054038434
iscf10kt-temporal,r0f1,M1_prop,80.0,1.0,0.8
iscf10kt-temporal,r0f1,M2_sqrt,80.0,2.4636742644928833,0.8
iscf10kt-temporal,r0f1,M1_prop,90.0,1.423253903040263,0.9
iscf10kt-temporal,r0f1,M2_sqrt,90.0,6.619263226498707,0.9
iscf10kt-temporal,r0f1,M1_prop,95.0,1.753697617091208,0.95
iscf10kt-temporal,r0f1,M2_sqrt,95.0,15.826622843056697,0.95
iscf10kt-temporal,r0f1,M3_empirical,,1.0,0.7609722740271043
iscf10kt-temporal,r0f2,M1_prop,80.0,1.0,0.8
iscf10kt-temporal,r0f2,M2_sqrt,80.0,3.275889423842916,0.8
iscf10kt-temporal,r0f2,M1_prop,90.0,1.6253925527142215,0.9
iscf10kt-temporal,r0f2,M2_sqrt,90.0,9.73084203232738,0.9
iscf10kt-temporal,r0f2,M1_prop,95.0,2.0977089368950126,0.95
iscf10kt-temporal,r0f2,M2_sqrt,95.0,22.59607462471639,0.95
iscf10kt-temporal,r0f2,M3_empirical,,1.0,0.7195519791213572
iscf10kt-temporal,r0f3,M1_prop,80.0,1.0,0.8
iscf10kt-temporal,r0f3,M2_sqrt,80.0,4.385436743354385,0.8
iscf10kt-temporal,r0f3,M1_prop,90.0,2.445675622671112,0.9
iscf10kt-temporal,r0f3,M2_sqrt,90.0,13.546986260602445,0.9
iscf10kt-temporal,r0f3,M1_prop,95.0,2.870600211059125,0.95
iscf10kt-temporal,r0f3,M2_sqrt,95.0,28.644495475182797,0.95
iscf10kt-temporal,r0f3,M3_empirical,,1.0,0.5800801042320127
iscf10kt-temporal,r0f4,M1_prop,80.0,1.0,0.8
iscf10kt-temporal,r0f4,M2_sqrt,80.0,7.867964127182125,0.8
iscf10kt-temporal,r0f4,M1_prop,90.0,3.1983790518563597,0.9
iscf10kt-temporal,r0f4,M2_sqrt,90.0,22.765445323128716,0.9
iscf10kt-temporal,r0f4,M1_prop,95.0,3.8379699163845857,0.95
iscf10kt-temporal,r0f4,M2_sqrt,95.0,47.17523191903614,0.95
iscf10kt-temporal,r0f4,M3_empirical,,1.0,0.3761767782426778
