family,fold,k,station,model,n_products,GammaCover,GammaCover_frac,GammaBind,GammaBind_frac,Wbar,Wn,T_s_stored,viol_asrun_flag,viol_norm_flag
iscf480-temporal,r0f0,1,GARE4,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,45346.0,32654.56825581268,45365.0,False,False
iscf480-temporal,r0f0,1,GARE5,M1_prop,60,1.0,0.016666666666666666,1.0,0.016666666666666666,45154.0,48174.43934095568,45365.0,True,True
iscf480-temporal,r0f0,1,GARE6,M1_prop,60,0.0,0.0,4.0,0.06666666666666667,39645.0,29215.15144207053,45365.0,False,False
iscf480-temporal,r0f0,1,GARE7,M1_prop,60,2.0,0.03333333333333333,2.0,0.03333333333333333,41115.0,46486.376462076456,45365.0,True,True
iscf480-temporal,r0f0,1,GARE8,M1_prop,60,0.0,0.0,31.0,0.5166666666666667,29263.0,24144.633699834474,45365.0,False,False
iscf480-temporal,r0f0,1,GARE9,M1_prop,60,0.0,0.0,1.0,0.016666666666666666,44960.0,43600.304309220264,45365.0,True,False
iscf480-temporal,r0f0,1,GARE10,M1_prop,60,46.0,0.7666666666666667,1.0,0.016666666666666666,45361.0,77774.76206658408,45365.0,True,True
iscf480-temporal,r0f0,1,GARE11,M1_prop,60,0.0,0.0,4.0,0.06666666666666667,39076.0,27869.764423445842,45365.0,False,False
iscf480-temporal,r0f0,1,GARE4,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,45346.0,32654.56825581268,45365.0,False,False
iscf480-temporal,r0f0,1,GARE5,M2_sqrt,60,1.0,0.016666666666666666,1.0,0.016666666666666666,45154.0,48174.43934095568,45365.0,True,True
iscf480-temporal,r0f0,1,GARE6,M2_sqrt,60,0.0,0.0,3.0,0.05,39645.0,29215.15144207053,45365.0,False,False
iscf480-temporal,r0f0,1,GARE7,M2_sqrt,60,2.0,0.03333333333333333,2.0,0.03333333333333333,41115.0,46486.376462076456,45365.0,True,True
iscf480-temporal,r0f0,1,GARE8,M2_sqrt,60,0.0,0.0,12.0,0.2,29263.0,24144.633699834474,45365.0,False,False
iscf480-temporal,r0f0,1,GARE9,M2_sqrt,60,0.0,0.0,1.0,0.016666666666666666,44960.0,43600.304309220264,45365.0,True,False
iscf480-temporal,r0f0,1,GARE10,M2_sqrt,60,24.0,0.4,1.0,0.016666666666666666,45361.0,77774.76206658408,45365.0,True,True
iscf480-temporal,r0f0,1,GARE11,M2_sqrt,60,0.0,0.0,3.0,0.05,39076.0,27869.764423445842,45365.0,False,False
iscf480-temporal,r0f0,1,GARE4,M3_empirical,60,0.0,0.0,1.0,0.016666666666666666,45346.0,32654.56825581268,45365.0,False,False
iscf480-temporal,r0f0,1,GARE5,M3_empirical,60,8.0,0.13333333333333333,1.0,0.016666666666666666,45154.0,48174.43934095568,45365.0,True,True
iscf480-temporal,r0f0,1,GARE6,M3_empirical,60,0.0,0.0,inf,inf,39645.0,29215.15144207053,45365.0,False,False
