family,fold,k,station,n_products,W_tr,W_te,T_s_stored,Tn,Wbar,Wn,Tn_equiv,ratio_asrun,ratio_norm,ratio_norm_equiv,share,viol_asrun_flag,viol_norm_flag,train_ok
iscf480-temporal,r0f0,1,GARE4,60,45346.0,36116.0,45365.0,50173,45346.0,32654.56825581268,45365,0.7961203571034939,0.7198293903095291,0.7198185441598739,0.09897723161921884,False,False,True
iscf480-temporal,r0f0,1,GARE5,60,45154.0,53281.0,45365.0,50173,45154.0,48174.43934095568,45365,1.174495756640582,1.061945667988759,1.0619296669449063,0.14601854795391514,True,True,True
iscf480-temporal,r0f0,1,GARE6,60,39645.0,32312.0,45365.0,50173,39645.0,29215.15144207053,45365,0.7122671663176458,0.6440117194507006,0.6440020156964738,0.0885522291527356,False,False,True
iscf480-temporal,r0f0,1,GARE7,60,41115.0,51414.0,45365.0,50173,41115.0,46486.376462076456,45365,1.1333406811418494,1.0247344189105694,1.0247189785534323,0.14090196551308332,True,True,True
iscf480-temporal,r0f0,1,GARE8,60,29263.0,26704.0,45365.0,50173,29263.0,24144.633699834474,45365,0.5886476358426099,0.5322384549458873,0.5322304353540058,0.07318329807175822,False,False,True
iscf480-temporal,r0f0,1,GARE9,60,44960.0,48222.0,45365.0,50173,44960.0,43600.304309220264,45365,1.0629780667915794,0.9611145436788711,0.9611000619248378,0.13215417164530874,True,False,True
iscf480-temporal,r0f0,1,GARE10,60,45361.0,86019.0,45365.0,50173,45361.0,77774.76206658408,45365,1.8961534222418164,1.714448009885795,1.7144221771538428,0.2357382458371244,True,True,True
iscf480-temporal,r0f0,1,GARE11,60,39076.0,30824.0,45365.0,50173,39076.0,27869.764423445842,45365,0.6794665491017304,0.6143543340043449,0.6143450771177305,0.08447431020685572,False,False,True
iscf480-temporal,r0f0,2,GARE4,60,39638.0,33160.0,45365.0,50173,39638.0,29981.877377415785,45365,0.7309599911826298,0.6609132401889463,0.6609032817682307,0.09087620446597898,False,False,True
iscf480-temporal,r0f0,2,GARE5,60,40772.0,44576.0,45365.0,50173,40772.0,40303.74445041273,45365,0.9826077372423675,0.8884459769198573,0.8884325901115998,0.12216217401313265,False,False,True
iscf480-temporal,r0f0,2,GARE6,60,44936.0,71792.0,45365.0,50173,44936.0,64911.30701687075,45365,1.5825416069657225,1.4308891236322325,1.4308675634711947,0.19674862699100007,True,True,True
iscf480-temporal,r0f0,2,GARE7,60,42630.0,38003.0,45365.0,50173,42630.0,34360.71429354439,45365,0.837716301113193,0.757439260159847,0.7574278473171915,0.10414862479857054,False,False,True
iscf480-temporal,r0f0,2,GARE8,60,38309.0,34907.0,45365.0,50173,38309.0,31561.441303180123,45365,0.7694698556155627,0.6957327646343651,0.6957222815646451,0.09566392247569144,False,False,True
iscf480-temporal,r0f0,2,GARE9,60,45131.0,77336.0,45365.0,50173,45131.0,69923.95865077886,45365,1.7047503582056651,1.5413868016662349,1.541363576562964,0.2119421637087138,True,True,True
iscf480-temporal,r0f0,2,GARE10,60,45336.0,36535.0,45365.0,50173,45336.0,33033.41043377219,45365,0.8053565524082442,0.7281804954856198,0.7281695235042915,0.10012551659121055,False,False,True
iscf480-temporal,r0f0,2,GARE11,60,33168.0,28583.0,45365.0,50173,33168.0,25843.546474025192,45365,0.6300672324479224,0.5696888764873538,0.5696802926049861,0.07833276695570196,False,False,True
iscf480-temporal,r0f1,1,GARE4,60,54071.0,78774.0,54208.0,41329,54071.0,103321.32590310539,54208,1.453180342384888,1.906022405574778,1.906016195083851,0.2620785563621604,True,True,True
iscf480-temporal,r0f1,1,GARE5,60,39550.0,22009.0,54208.0,41329,39550.0,28867.38088457418,54208,0.40601018299881936,0.5325316363812335,0.5325299012059876,0.07322323288108752,False,False,True
iscf480-temporal,r0f1,1,GARE6,60,53513.0,25348.0,54208.0,41329,53513.0,33246.870401298846,54208,0.46760625737898465,0.6133223644414334,0.6133203660215991,0.08433197814847591,False,False,True
iscf480-temporal,r0f1,1,GARE7,60,54191.0,26520.0,54208.0,41329,54191.0,34784.08564945737,54208,0.4892266824085006,0.6416801761474993,0.6416780853279473,0.08823118433397432,False,False,True
iscf480-temporal,r0f1,1,GARE8,60,35339.0,17169.0,54208.0,41329,35339.0,22519.154091837616,54208,0.31672446871310506,0.41542258462580756,0.41542123103301387,0.0571207090433637,False,False,True
iscf480-temporal,r0f1,1,GARE9,60,53676.0,60970.0,54208.0,41329,53676.0,79969.29494899759,54208,1.12474173553719,1.4752353069273392,1.4752305000921928,0.2028452228070292,True,True,True
iscf480-temporal,r0f1,1,GARE10,60,51820.0,26005.0,54208.0,41329,51820.0,34108.60283989966,54208,0.47972623966942146,0.6292191923346803,0.6292171421173933,0.08651779595041487,False,False,True
iscf480-temporal,r0f1,1,GARE11,60,52078.0,43779.0,54208.0,41329,52078.0,57421.28528082934,54208,0.8076114226682408,1.059280408429916,1.0592769569220288,0.14565132047349405,False,True,True
iscf480-temporal,r0f1,2,GARE4,60,54111.0,70691.0,54208.0,41329,54111.0,92719.52483581414,54208,1.3040695100354192,1.7104454499262018,1.7104398766937379,0.2351866761596146,True,True,True
iscf480-temporal,r0f1,2,GARE5,60,47434.0,50426.0,54208.0,41329,47434.0,66139.60418399461,54208,0.9302317001180638,1.2201117859130393,1.2201078103599952,0.16776567500848377,False,True,True
iscf480-temporal,r0f1,2,GARE6,60,41427.0,21644.0,54208.0,41329,41427.0,28388.640640907062,54208,0.3992768595041322,0.5237000653294297,0.5236983589305465,0.0720088896577881,False,False,True
iscf480-temporal,r0f1,2,GARE7,60,54046.0,25697.0,54208.0,41329,54046.0,33704.62477127097,54208,0.4740444214876033,0.6217667981320623,0.621764772197295,0.08549308988801427,False,False,True
