family,fold,k,viol_asrun,stored_wl_broken,asrun_matches_stored,train_viol,train_feasible,viol_norm,viol_norm_equiv,norm_sets_match,norm_mismatch_stations
iscf480-temporal,r0f0,1,4,4,True,0,True,3,3,True,
iscf480-temporal,r0f0,2,2,2,True,0,True,2,2,True,
iscf480-temporal,r0f1,1,2,2,True,0,True,3,3,True,
iscf480-temporal,r0f1,2,1,1,True,0,True,4,4,True,
iscf480-temporal,r0f2,1,1,1,True,0,True,3,3,True,
iscf480-temporal,r0f2,2,0,0,True,0,True,3,3,True,
iscf480-temporal,r0f3,1,0,0,True,0,True,2,2,True,
iscf480-temporal,r0f3,2,0,0,True,0,True,3,3,True,
iscf480-temporal,r0f4,1,0,0,True,0,True,3,3,True,
iscf480-temporal,r0f4,2,0,0,True,0,True,3,3,True,
iscf10kt-temporal,r0f0,1,2,2,True,0,True,2,2,True,
iscf10kt-temporal,r0f0,2,2,2,True,0,True,2,2,True,
iscf10kt-temporal,r0f1,1,1,1,True,0,True,2,2,True,
iscf10kt-temporal,r0f1,2,0,0,True,0,True,2,2,True,
iscf10kt-temporal,r0f2,1,0,0,True,0,True,1,1,True,
iscf10kt-temporal,r0f2,2,0,0,True,0,True,2,2,True,
iscf10kt-temporal,r0f3,1,0,0,True,0,True,3,3,True,
iscf10kt-temporal,r0f3,2,0,0,True,0,True,1,1,True,
iscf10kt-temporal,r0f4,1,0,0,True,0,True,3,3,True,
iscf10kt-temporal,r0f4,2,0,0,True,0,True,2,2,True,
