variant,fold,viol_norm_k1,viol_norm_k2,viol_norm_k3,viol_norm_k4,viol_norm_k6,imbalance_k1,imbalance_k2,imbalance_k3,imbalance_k4,imbalance_k6,best_k_by_imbalance,imb_k1,imb_best,best_k_by_viol_norm,viol_norm_best
t1000,0,2,2,2,3,2,1.7215,1.6601,1.4551,1.6127,1.578,3,1.7215,1.4551,1,2
t1000,1,1,2,2,3,2,2.0214,1.8168,1.7601,1.986,1.4503,6,2.0214,1.4503,1,1
t1000,2,2,2,2,2,3,2.2966,1.6958,2.3892,2.4075,1.6043,6,2.2966,1.6043,1,2
t1000,3,3,2,1,2,2,1.8859,2.526,2.3691,2.4522,2.4287,1,1.8859,1.8859,3,1
t1000,4,2,3,2,3,2,3.7887,2.5462,2.7213,2.0792,3.1883,4,3.7887,2.0792,1,2
t2000,0,2,2,2,3,3,1.6968,1.4284,1.4571,1.5272,1.7543,2,1.6968,1.4284,1,2
t2000,1,3,3,2,3,3,1.6343,1.742,1.7264,1.7625,1.728,1,1.6343,1.6343,3,2
t2000,2,3,2,2,2,2,1.8476,2.0501,1.8886,1.8843,1.7852,6,1.8476,1.7852,2,2
t2000,3,3,3,3,2,2,2.2875,2.0851,2.2075,2.0898,2.3048,2,2.2875,2.0851,4,2
t2000,4,2,2,2,3,2,2.9576,3.1161,3.3607,3.2467,3.3106,1,2.9576,2.9576,1,2
t500,0,1,3,3,2,2,1.9626,1.8945,1.8731,1.9085,1.7409,6,1.9626,1.7409,1,1
t500,1,1,2,2,2,3,2.0879,1.7108,1.5538,1.811,1.6656,3,2.0879,1.5538,1,1
t500,2,1,3,2,3,2,2.5271,2.2342,2.3311,2.3548,1.7044,6,2.5271,1.7044,1,1
t500,3,3,2,2,2,3,2.3612,2.402,2.9465,2.4193,2.0741,6,2.3612,2.0741,2,2
t500,4,2,3,2,3,2,3.8026,2.5657,2.7603,2.8714,3.1438,2,3.8026,2.5657,1,2
temporal,0,2,2,2,2,1,1.6454,1.614,1.7135,1.4551,1.6414,4,1.6454,1.4551,6,1
temporal,1,2,2,1,2,3,1.8595,1.6853,1.7173,1.8184,1.5793,6,1.8595,1.5793,3,1
temporal,2,1,2,2,2,3,2.3634,1.8261,2.2654,2.0878,1.9209,2,2.3634,1.8261,1,1
temporal,3,3,1,2,3,3,2.1228,2.6013,2.3785,1.9596,1.8545,6,2.1228,1.8545,2,1
temporal,4,3,2,2,3,3,2.5879,2.8992,2.4878,2.8075,2.2321,6,2.5879,2.2321,2,2
