variant,fold,k,n_train_orders,n_test_orders,total_tr_lines,total_te_lines,T_s_asrun,T_s_variant_own,Tn,asrun_ceiling_source,viol_asrun,stored_wl_broken,sanity_match,viol_norm,viol_train,cap_broken,max_ratio_asrun,max_ratio_norm,imbalance,B,X,V_test_recomputed,max_workload_te
temporal,0,1,5000,5000,13842,11980,1904.0,1904.0,1648,fold_train_stations,2,2,True,2,0,0,1.2941,1.4951,1.6454,0.7865,0.1063,7497,2464.0
temporal,0,2,5000,5000,13842,11980,1904.0,1904.0,1648,fold_train_stations,2,2,True,2,0,0,1.2694,1.4666,1.614,0.7865,0.1177,7479,2417.0
temporal,0,3,5000,5000,13842,11980,1904.0,1904.0,1648,fold_train_stations,1,1,True,2,0,0,1.3477,1.557,1.7135,0.7865,0.0855,7715,2566.0
temporal,0,4,5000,5000,13842,11980,1904.0,1904.0,1648,fold_train_stations,2,2,True,2,0,0,1.1444,1.3222,1.4551,0.7865,0.0828,7838,2179.0
temporal,0,6,5000,5000,13842,11980,1904.0,1904.0,1648,fold_train_stations,1,1,True,1,0,0,1.291,1.4915,1.6414,0.7865,0.0676,8163,2458.0
temporal,1,1,6000,4000,16086,9736,2212.0,2212.0,1339,fold_train_stations,1,1,True,2,0,0,1.0231,1.6901,1.8595,0.5502,0.1563,5932,2263.0
temporal,1,2,6000,4000,16086,9736,2212.0,2212.0,1339,fold_train_stations,0,0,True,2,0,0,0.9272,1.5317,1.6853,0.5502,0.1175,6057,2051.0
temporal,1,3,6000,4000,16086,9736,2212.0,2212.0,1339,fold_train_stations,0,0,True,1,0,0,0.9448,1.5609,1.7173,0.5502,0.0771,6193,2090.0
temporal,1,4,6000,4000,16086,9736,2212.0,2212.0,1339,fold_train_stations,1,1,True,2,0,0,1.0005,1.6527,1.8184,0.5502,0.099,6291,2213.0
temporal,1,6,6000,4000,16086,9736,2212.0,2212.0,1339,fold_train_stations,0,0,True,3,0,0,0.8689,1.4354,1.5793,0.5502,0.1051,6552,1922.0
temporal,2,1,7000,3000,18392,7430,2529.0,2529.0,1022,fold_train_stations,0,0,True,1,0,0,0.8679,2.1477,2.3634,0.3672,0.1579,4340,2195.0
temporal,2,2,7000,3000,18392,7430,2529.0,2529.0,1022,fold_train_stations,0,0,True,2,0,0,0.6706,1.6595,1.8261,0.3672,0.1415,4599,1696.0
temporal,2,3,7000,3000,18392,7430,2529.0,2529.0,1022,fold_train_stations,0,0,True,2,0,0,0.8319,2.0587,2.2654,0.3672,0.1918,4487,2104.0
temporal,2,4,7000,3000,18392,7430,2529.0,2529.0,1022,fold_train_stations,0,0,True,2,0,0,0.7667,1.8973,2.0878,0.3672,0.13,4669,1939.0
temporal,2,6,7000,3000,18392,7430,2529.0,2529.0,1022,fold_train_stations,0,0,True,3,0,0,0.7054,1.7456,1.9209,0.3672,0.1297,5210,1784.0
temporal,3,1,8000,2000,20723,5099,2850.0,2850.0,702,fold_train_stations,0,0,True,3,0,0,0.4747,1.9274,2.1228,0.2236,0.2463,2975,1353.0
temporal,3,2,8000,2000,20723,5099,2850.0,2850.0,702,fold_train_stations,0,0,True,1,0,0,0.5818,2.3618,2.6013,0.2236,0.1875,2990,1658.0
temporal,3,3,8000,2000,20723,5099,2850.0,2850.0,702,fold_train_stations,0,0,True,2,0,0,0.5319,2.1595,2.3785,0.2236,0.2451,3079,1516.0
temporal,3,4,8000,2000,20723,5099,2850.0,2850.0,702,fold_train_stations,0,0,True,3,0,0,0.4382,1.7792,1.9596,0.2236,0.2255,3255,1249.0
temporal,3,6,8000,2000,20723,5099,2850.0,2850.0,702,fold_train_stations,0,0,True,3,0,0,0.4147,1.6838,1.8545,0.2236,0.2002,3436,1182.0
temporal,4,1,9000,1000,22944,2878,3155.0,3155.0,396,fold_train_stations,0,0,True,3,0,0,0.2951,2.351,2.5879,0.114,0.2543,1622,931.0
temporal,4,2,9000,1000,22944,2878,3155.0,3155.0,396,fold_train_stations,0,0,True,2,0,0,0.3306,2.6338,2.8992,0.114,0.3683,1627,1043.0
temporal,4,3,9000,1000,22944,2878,3155.0,3155.0,396,fold_train_stations,0,0,True,2,0,0,0.2837,2.2601,2.4878,0.114,0.2808,1650,895.0
temporal,4,4,9000,1000,22944,2878,3155.0,3155.0,396,fold_train_stations,0,0,True,3,0,0,0.3201,2.5505,2.8075,0.114,0.2818,1703,1010.0
temporal,4,6,9000,1000,22944,2878,3155.0,3155.0,396,fold_train_stations,0,0,True,3,0,0,0.2545,2.0278,2.2321,0.114,0.2224,1945,803.0
t500,0,1,500,5000,1329,11980,183.0,183.0,1648,variant_train_stations,8,8,True,1,0,0,16.0601,1.7834,1.9626,8.1831,0.1078,8117,2939.0
t500,0,2,500,5000,1329,11980,183.0,183.0,1648,variant_train_stations,8,8,True,3,0,0,15.5027,1.7215,1.8945,8.1831,0.1024,8359,2837.0
t500,0,3,500,5000,1329,11980,183.0,183.0,1648,variant_train_stations,8,8,True,3,0,0,15.3279,1.7021,1.8731,8.1831,0.1053,8383,2805.0
t500,0,4,500,5000,1329,11980,183.0,183.0,1648,variant_train_stations,8,8,True,2,0,0,15.6175,1.7342,1.9085,8.1831,0.1144,8298,2858.0
t500,0,6,500,5000,1329,11980,183.0,183.0,1648,variant_train_stations,8,8,True,2,0,0,14.2459,1.5819,1.7409,8.1831,0.1289,8383,2607.0
t500,1,1,500,4000,1338,9736,184.0,184.0,1339,variant_train_stations,8,8,True,1,0,0,13.8098,1.8977,2.0879,6.6141,0.1235,6470,2541.0
t500,1,2,500,4000,1338,9736,184.0,184.0,1339,variant_train_stations,8,8,True,2,0,0,11.3152,1.5549,1.7108,6.6141,0.0915,6656,2082.0
t500,1,3,500,4000,1338,9736,184.0,184.0,1339,variant_train_stations,8,8,True,2,0,0,10.2772,1.4122,1.5538,6.6141,0.1027,6872,1891.0
t500,1,4,500,4000,1338,9736,184.0,184.0,1339,variant_train_stations,8,8,True,2,0,0,11.9783,1.646,1.811,6.6141,0.0919,6727,2204.0
t500,1,6,500,4000,1338,9736,184.0,184.0,1339,variant_train_stations,8,8,True,3,0,0,11.0163,1.5138,1.6656,6.6141,0.0961,6772,2027.0
t500,2,1,500,3000,1373,7430,189.0,189.0,1022,variant_train_stations,8,8,True,1,0,0,12.418,2.2965,2.5271,4.914,0.1783,4914,2347.0
t500,2,2,500,3000,1373,7430,189.0,189.0,1022,variant_train_stations,8,8,True,3,0,0,10.9788,2.0303,2.2342,4.914,0.1856,4967,2075.0
t500,2,3,500,3000,1373,7430,189.0,189.0,1022,variant_train_stations,8,8,True,2,0,0,11.455,2.1184,2.3311,4.914,0.1572,5010,2165.0
t500,2,4,500,3000,1373,7430,189.0,189.0,1022,variant_train_stations,8,8,True,3,0,0,11.5714,2.1399,2.3548,4.914,0.1848,4933,2187.0
t500,2,6,500,3000,1373,7430,189.0,189.0,1022,variant_train_stations,8,8,True,2,0,0,8.3757,1.5489,1.7044,4.914,0.1487,5225,1583.0
t500,3,1,500,2000,1318,5099,182.0,182.0,702,variant_train_stations,8,8,True,3,0,0,8.2692,2.1439,2.3612,3.5021,0.1979,3297,1505.0
t500,3,2,500,2000,1318,5099,182.0,182.0,702,variant_train_stations,8,8,True,2,0,0,8.4121,2.1809,2.402,3.5021,0.2028,3410,1531.0
t500,3,3,500,2000,1318,5099,182.0,182.0,702,variant_train_stations,8,8,True,2,0,0,10.3187,2.6752,2.9465,3.5021,0.252,3208,1878.0
t500,3,4,500,2000,1318,5099,182.0,182.0,702,variant_train_stations,8,8,True,2,0,0,8.4725,2.1966,2.4193,3.5021,0.1832,3246,1542.0
t500,3,6,500,2000,1318,5099,182.0,182.0,702,variant_train_stations,8,8,True,3,0,0,7.2637,1.8832,2.0741,3.5021,0.1912,3526,1322.0
t500,4,1,500,1000,1261,2878,174.0,174.0,396,variant_train_stations,4,4,True,2,0,0,7.8621,3.4545,3.8026,2.0675,0.3551,1581,1368.0
t500,4,2,500,1000,1261,2878,174.0,174.0,396,variant_train_stations,7,7,True,3,0,0,5.3046,2.3308,2.5657,2.0675,0.2696,1896,923.0
