variant,fold,k,station,W_tr,W_te,T_s_stored,Tn,ratio_asrun,ratio_norm,share,viol_asrun_flag,viol_norm_flag,train_viol_flag
temporal,0,1,GARE4,1904.0,2105.0,1904.0,1648,1.1056,1.2773,0.17571,1,1,0
temporal,0,1,GARE5,1893.0,2464.0,1904.0,1648,1.2941,1.4951,0.20568,1,1,0
temporal,0,1,GARE6,1867.0,1610.0,1904.0,1648,0.8456,0.9769,0.13439,0,0,0
temporal,0,1,GARE7,1896.0,1366.0,1904.0,1648,0.7174,0.8289,0.11402,0,0,0
temporal,0,1,GARE8,1501.0,1089.0,1904.0,1648,0.572,0.6608,0.0909,0,0,0
temporal,0,1,GARE9,1318.0,774.0,1904.0,1648,0.4065,0.4697,0.06461,0,0,0
temporal,0,1,GARE10,1561.0,1126.0,1904.0,1648,0.5914,0.6833,0.09399,0,0,0
temporal,0,1,GARE11,1902.0,1446.0,1904.0,1648,0.7595,0.8774,0.1207,0,0,0
temporal,0,2,GARE4,1653.0,1184.0,1904.0,1648,0.6218,0.7184,0.09883,0,0,0
temporal,0,2,GARE5,1901.0,1360.0,1904.0,1648,0.7143,0.8252,0.11352,0,0,0
temporal,0,2,GARE6,1874.0,2417.0,1904.0,1648,1.2694,1.4666,0.20175,1,1,0
temporal,0,2,GARE7,1904.0,2289.0,1904.0,1648,1.2022,1.389,0.19107,1,1,0
temporal,0,2,GARE8,1339.0,828.0,1904.0,1648,0.4349,0.5024,0.06912,0,0,0
temporal,0,2,GARE9,1896.0,1562.0,1904.0,1648,0.8204,0.9478,0.13038,0,0,0
temporal,0,2,GARE10,1371.0,841.0,1904.0,1648,0.4417,0.5103,0.0702,0,0,0
temporal,0,2,GARE11,1904.0,1499.0,1904.0,1648,0.7873,0.9096,0.12513,0,0,0
temporal,0,3,GARE4,1618.0,1441.0,1904.0,1648,0.7568,0.8744,0.12028,0,0,0
temporal,0,3,GARE5,1904.0,1754.0,1904.0,1648,0.9212,1.0643,0.14641,0,1,0
temporal,0,3,GARE6,1853.0,2566.0,1904.0,1648,1.3477,1.557,0.21419,1,1,0
