split,fold,k,viol_asrun,stored_wl_broken,sanity_ok,viol_norm,viol_train,max_ratio_asrun,max_ratio_norm,imbalance,B,X,total_te_lines,total_tr_lines,T_s_stored,Tn,max_W_te,stored_max_workload
cv,r0f0,1,0,0,True,2,0,0.2548806515391565,1.0157587142558964,1.117338958485801,0.2281139931651238,0.002446654325770947,139374,555438,76373.0,19164,19466.0,19466.0
cv,r0f0,2,0,0,True,2,0,0.254487842562162,1.0141932790649133,1.115616973036578,0.2281139931651238,0.002461004204514472,139374,555438,76373.0,19164,19436.0,19436.0
cv,r0f1,1,0,0,True,0,0,0.24931001556552562,0.998585424634568,1.0984957639329145,0.22695582791592,0.0,138808,556004,76451.0,19087,19060.0,19060.0
cv,r0f1,2,0,0,True,0,0,0.24819819230618304,0.9941321318174674,1.0935969108408736,0.22695582791592,0.0,138808,556004,76451.0,19087,18975.0,18975.0
cv,r0f2,1,0,0,True,2,0,0.2509090909090909,1.0049772096191125,1.1054952021439068,0.22696533682145192,0.001325533815520272,138812,556000,76450.0,19087,19182.0,19182.0
cv,r0f2,2,0,0,True,1,0,0.2511183780248528,1.0058154765023315,1.106417312624269,0.22696533682145192,0.0007996426821888598,138812,556000,76450.0,19087,19198.0,19198.0
cv,r0f3,1,0,0,True,3,0,0.2527435156239781,1.0124705265915641,1.1137496757831638,0.22693027088538056,0.003998674313380789,138796,556016,76453.0,19085,19323.0,19323.0
cv,r0f3,2,0,0,True,1,0,0.25074228611042076,1.0044537594969871,1.1049309778379781,0.22693027088538056,0.0006124095795267875,138796,556016,76453.0,19085,19170.0,19170.0
cv,r0f4,1,0,0,True,1,0,0.2502159064143833,1.000313873195229,1.1003726028973833,0.22739198136662217,4.31586367625268e-05,139022,555790,76422.0,19116,19122.0,19122.0
cv,r0f4,2,0,0,True,0,0,0.24979717882285205,0.9986398828206737,1.0985311677288487,0.22739198136662217,0.0,139022,555790,76422.0,19116,19090.0,19090.0
temporal,r0f0,1,4,4,True,3,0,1.8961534222418164,1.714448009885795,1.8859059666969953,1.0054337043976633,0.11015588174035057,364892,329920,45365.0,50173,86019.0,86019.0
temporal,r0f0,2,2,2,True,2,0,1.7047503582056651,1.5413868016662349,1.6955373096697104,1.0054337043976633,0.1336888723238657,364892,329920,45365.0,50173,77336.0,77336.0
temporal,r0f1,1,2,2,True,3,0,1.453180342384888,1.906022405574778,2.096628450897283,0.6931034164698937,0.19807435107494328,300574,394238,54208.0,41329,78774.0,78774.0
temporal,r0f1,2,1,1,True,4,0,1.3040695100354192,1.7104454499262018,1.8814934092769169,0.6931034164698937,0.14748115272778084,300574,394238,54208.0,41329,70691.0,70691.0
temporal,r0f2,1,1,1,True,3,0,1.1338388208088848,2.2545903844349215,2.480100818505185,0.4571744875646935,0.26614967074843976,232497,462315,63569.0,31969,72077.0,72077.0
temporal,r0f2,2,0,0,True,3,0,0.9963976151897938,1.981294378929588,2.1794689823954716,0.4571744875646935,0.21194682081919336,232497,462315,63569.0,31969,63340.0,63340.0
temporal,r0f3,1,0,0,True,2,0,0.7791025957295179,2.5186301005715297,2.7705222630383,0.281211454650111,0.27226151531212117,164151,530661,72966.0,22571,56848.0,56848.0
temporal,r0f3,2,0,0,True,3,0,0.6770824767700024,2.188826370120952,2.4077343421605715,0.281211454650111,0.28369610907030723,164151,530661,72966.0,22571,49404.0,49404.0
temporal,r0f4,1,0,0,True,3,0,0.3275531471446436,2.3764797373196234,2.614260423226358,0.1252947656761746,0.3072490286705559,84163,610649,83965.0,11573,27503.0,27503.0
temporal,r0f4,2,0,0,True,3,0,0.2593580658607753,1.8817074224488033,2.06998324679491,0.1252947656761746,0.3024607012582726,84163,610649,83965.0,11573,21777.0,21777.0
