split,fold,k,station,n_products,W_tr,W_te,T_s_stored,Tn,ratio_asrun,ratio_norm,share,flag_asrun,flag_norm,flag_train_viol
cv,r0f0,1,GARE4,60,67306.0,16680.0,76373.0,19164,0.2184017912089351,0.8703819661865999,0.1196779887209953,0,0,0
cv,r0f0,1,GARE5,60,67992.0,16931.0,76373.0,19164,0.22168829298312231,0.8834794406178251,0.12147889850330765,0,0,0
cv,r0f0,1,GARE6,60,68808.0,17343.0,76373.0,19164,0.22708286960051327,0.9049780839073263,0.12443497352447372,0,0,0
cv,r0f0,1,GARE7,60,75446.0,18821.0,76373.0,19164,0.24643525853377501,0.98210185764976,0.1350395339159384,0,0,0
cv,r0f0,1,GARE8,60,76323.0,19002.0,76373.0,19164,0.24880520602830844,0.9915466499686914,0.1363381979422274,0,0,0
cv,r0f0,1,GARE9,60,76259.0,19203.0,76373.0,19164,0.2514370261741715,1.002035065748278,0.13778036075595163,0,1,0
cv,r0f0,1,GARE10,60,75854.0,19466.0,76373.0,19164,0.2548806515391565,1.0157587142558964,0.1396673698107251,0,1,0
cv,r0f0,1,GARE11,60,47450.0,11928.0,76373.0,19164,0.15618084925300826,0.6224170319348779,0.08558267682638082,0,0,0
cv,r0f0,2,GARE4,60,76319.0,19436.0,76373.0,19164,0.254487842562162,1.0141932790649133,0.13945212162957224,0,1,0
cv,r0f0,2,GARE5,60,68343.0,16955.0,76373.0,19164,0.2220025401647179,0.8847317887706115,0.12165109704822995,0,0,0
cv,r0f0,2,GARE6,60,76101.0,19235.0,76373.0,19164,0.25185602241629895,1.0037048632853267,0.13800995881584802,0,1,0
cv,r0f0,2,GARE7,60,75133.0,18850.0,76373.0,19164,0.24681497387820303,0.9836151116677103,0.13524760715771952,0,0,0
cv,r0f0,2,GARE8,60,72371.0,17789.0,76373.0,19164,0.23292262972516464,0.9282508870799415,0.1276349964842797,0,0,0
cv,r0f0,2,GARE9,60,49406.0,12570.0,76373.0,19164,0.1645869613606903,0.6559173450219161,0.09018898790305221,0,0,0
cv,r0f0,2,GARE10,60,74108.0,18423.0,76373.0,19164,0.24122399277231482,0.9613337507827175,0.13218390804597702,0,0,0
cv,r0f0,2,GARE11,60,63657.0,16116.0,76373.0,19164,0.21101698244143874,0.8409517845961177,0.11563132291532137,0,0,0
cv,r0f1,1,GARE4,60,62188.0,15867.0,76451.0,19087,0.20754470183516238,0.8312987897521874,0.11430897354619331,0,0,0
cv,r0f1,1,GARE5,60,54577.0,13748.0,76451.0,19087,0.1798276019934337,0.7202808194058783,0.09904328280790732,0,0,0
cv,r0f1,1,GARE6,60,76298.0,19060.0,76451.0,19087,0.24931001556552562,0.998585424634568,0.1373119704916143,0,0,0
cv,r0f1,1,GARE7,60,75028.0,18451.0,76451.0,19087,0.24134412891917698,0.966678891392047,0.13292461529594837,0,0,0
cv,r0f1,1,GARE8,60,64155.0,15912.0,76451.0,19087,0.208133314148932,0.8336564153612407,0.11463316235375483,0,0,0
cv,r0f1,1,GARE9,60,71511.0,18142.0,76451.0,19087,0.2373023243646257,0.9504898622098811,0.13069851881735922,0,0,0
cv,r0f1,1,GARE10,60,76290.0,18639.0,76451.0,19087,0.24380322036337,0.9765285272698695,0.13427900409198318,0,0,0
cv,r0f1,1,GARE11,60,75957.0,18989.0,76451.0,19087,0.2483813161371336,0.994865615340284,0.13680047259523948,0,0,0
cv,r0f1,2,GARE4,60,76120.0,18960.0,76451.0,19087,0.24800198820159317,0.9933462566144496,0.13659155091925537,0,0,0
cv,r0f1,2,GARE5,60,76429.0,18943.0,76451.0,19087,0.24777962354972466,0.9924555980510295,0.13646907959195437,0,0,0
cv,r0f1,2,GARE6,60,74177.0,18309.0,76451.0,19087,0.2394867300623929,0.9592392728034788,0.13190161950319867,0,0,0
cv,r0f1,2,GARE7,60,75328.0,18691.0,76451.0,19087,0.24448339459261487,0.9792528946403312,0.1346536222696098,0,0,0
cv,r0f1,2,GARE8,60,52928.0,13478.0,76451.0,19087,0.17629592811081607,0.7061350657515586,0.09709814996253818,0,0,0
cv,r0f1,2,GARE9,60,67334.0,16564.0,76451.0,19087,0.21666165256177158,0.8678157908524127,0.11933029796553513,0,0,0
cv,r0f1,2,GARE10,60,58028.0,14888.0,76451.0,19087,0.19473911394226368,0.7800073348352282,0.10725606593279927,0,0,0
cv,r0f1,2,GARE11,60,75660.0,18975.0,76451.0,19087,0.24819819230618304,0.9941321318174674,0.1366996138551092,0,0,0
cv,r0f2,1,GARE4,60,61277.0,14906.0,76450.0,19087,0.19497710922171355,0.7809503850788495,0.10738264703339769,0,0,0
cv,r0f2,1,GARE5,60,76439.0,18924.0,76450.0,19087,0.2475343361674297,0.991460156127207,0.13632827133100886,0,0,0
cv,r0f2,1,GARE6,60,76099.0,19069.0,76450.0,19087,0.24943100065402224,0.9990569497563787,0.13737284960954385,0,0,0
cv,r0f2,1,GARE7,60,76445.0,19176.0,76450.0,19087,0.2508306082406802,1.0046628595379055,0.1381436763392214,0,1,0
cv,r0f2,1,GARE8,60,75776.0,19182.0,76450.0,19087,0.2509090909090909,1.0049772096191125,0.13818690026798836,0,1,0
cv,r0f2,1,GARE9,60,47415.0,11811.0,76450.0,19087,0.15449313276651405,0.6187981348561848,0.08508630377777138,0,0,0
cv,r0f2,1,GARE10,60,75759.0,18673.0,76450.0,19087,0.24425114453891433,0.9783098443967098,0.13452007031092414,0,0,0
cv,r0f2,1,GARE11,60,66790.0,17071.0,76450.0,19087,0.22329627207325048,0.894378372714413,0.12297928133014437,0,0,0
cv,r0f2,2,GARE4,60,75884.0,19198.0,76450.0,19087,0.2511183780248528,1.0058154765023315,0.1383021640780336,0,1,0
cv,r0f2,2,GARE5,60,75449.0,19070.0,76450.0,19087,0.24944408109875735,0.9991093414365799,0.13738005359767166,0,0,0
cv,r0f2,2,GARE6,60,76217.0,18971.0,76450.0,19087,0.24814911706998038,0.9939225650966627,0.13666685877301674,0,0,0
cv,r0f2,2,GARE7,60,60244.0,15152.0,76450.0,19087,0.1981948986265533,0.7938387384083407,0.10915482811284327,0,0,0
cv,r0f2,2,GARE8,60,69798.0,17720.0,76450.0,19087,0.23178548070634403,0.9283805731649813,0.12765466962510447,0,0,0
