family,tag,k,mode,rho,viol_asrun,viol_norm,max_ratio_asrun,max_ratio_norm,imbalance,B,X,total_te_lines,total_tr_lines,max_W_te,wl_tr_broken,n_stations,empty_layout,stored_wl_broken,sanity_ok
iscfco_mm,iscfco_r0f0,1,base,0.0,0,3,1.0,1.0591475790084082,1.1652777223972248,0.8581645223104298,0.014593883328681367,25079.0,26562.0,3653.0,0,8,0,0,1
iscfco_mm,iscfco_r0f0,10,base,0.0,0,1,0.9707090062961949,1.0281240939402725,1.1311455799673034,0.8581645223104298,0.00386777782208222,25079.0,26562.0,3546.0,0,8,0,0,1
iscfco_mm,iscfco_r0f1,1,base,0.0,0,2,0.6650596877869606,1.0549890750182083,1.1607151800470776,0.5729740587695134,0.013822807632593779,19967.0,31674.0,2897.0,0,8,0,0,1
iscfco_mm,iscfco_r0f1,10,base,0.0,0,2,0.6648301193755739,1.0546249089584852,1.1603145189562778,0.5729740587695134,0.012019832723994591,19967.0,31674.0,2896.0,0,8,0,0,1
iscfco_mm,iscfco_r0f2,1,base,0.0,0,2,0.4297635605006954,1.0454325761237313,1.1503024662633783,0.37360917941585536,0.011965698331449844,15043.0,36598.0,2163.0,0,8,0,0,1
iscfco_mm,iscfco_r0f2,10,base,0.0,0,2,0.4359229088019074,1.0604156597390044,1.1667885395200426,0.37360917941585536,0.011699793924084292,15043.0,36598.0,2194.0,0,8,0,0,1
iscfco_mm,iscfco_r0f3,1,base,0.0,0,2,0.2646595483983896,1.0893371757925072,1.1983356449375866,0.2208559425870821,0.012680800475530017,10094.0,41547.0,1512.0,0,8,0,0,1
iscfco_mm,iscfco_r0f3,10,base,0.0,0,2,0.2585331699632417,1.064121037463977,1.1705963938973647,0.2208559425870821,0.012383594214384784,10094.0,41547.0,1477.0,0,8,0,0,1
iscfco_mm,iscfco_r0f4,1,base,0.0,0,3,0.11489228847955042,1.0574712643678161,1.1640964808224594,0.09869653449890728,0.019572953736654804,5058.0,46583.0,736.0,0,8,0,0,1
iscfco_mm,iscfco_r0f4,10,base,0.0,0,3,0.11770215423040899,1.0833333333333333,1.1925662317121393,0.09869653449890728,0.015223408461842626,5058.0,46583.0,754.0,0,8,0,0,1
iscfco_ms,iscfco_r0f0,1,base,0.0,0,3,1.0,1.0591475790084082,1.1652777223972248,0.8581645223104298,0.014593883328681367,25079.0,26562.0,3653.0,0,8,0,0,1
iscfco_ms,iscfco_r0f0,10,base,0.0,1,1,1.0013687380235423,1.0605972745723398,1.1668726823238567,0.8581645223104298,0.008333665616651382,25079.0,26562.0,3658.0,0,8,0,1,1
iscfco_ms,iscfco_r0f1,1,base,0.0,0,2,0.6650596877869606,1.0549890750182083,1.1607151800470776,0.5729740587695134,0.013822807632593779,19967.0,31674.0,2897.0,0,8,0,0,1
iscfco_ms,iscfco_r0f1,10,base,0.0,0,2,0.671028466483012,1.0644573925710124,1.171132368407873,0.5729740587695134,0.011468923724144839,19967.0,31674.0,2923.0,0,8,0,0,1
iscfco_ms,iscfco_r0f2,1,base,0.0,0,2,0.4297635605006954,1.0454325761237313,1.1503024662633783,0.37360917941585536,0.011965698331449844,15043.0,36598.0,2163.0,0,8,0,0,1
iscfco_ms,iscfco_r0f2,10,base,0.0,0,1,0.4170474865885158,1.014499758337361,1.1162667021205877,0.37360917941585536,0.0019942830552416406,15043.0,36598.0,2099.0,0,8,0,0,1
iscfco_ms,iscfco_r0f3,1,base,0.0,0,2,0.2646595483983896,1.0893371757925072,1.1983356449375866,0.2208559425870821,0.012680800475530017,10094.0,41547.0,1512.0,0,8,0,0,1
