family,tag,k,mode,rho,station,W_tr,W_te,T_s_stored,T_s_train,Tn,ratio_asrun,ratio_norm,share,viol_asrun_flag,viol_norm_flag,wl_tr_broken_flag
iscfco_mm,iscfco_r0f0,1,base,0.0,GARE4,3652.0,3653.0,3653.0,3653.0,3449,1.0,1.0591475790084082,0.1456597152996531,0,1,0
iscfco_mm,iscfco_r0f0,1,base,0.0,GARE5,3308.0,3059.0,3653.0,3653.0,3449,0.8373939228031755,0.8869237460133372,0.12197456038917022,0,0,0
iscfco_mm,iscfco_r0f0,1,base,0.0,GARE6,3652.0,3342.0,3653.0,3653.0,3449,0.9148644949356693,0.9689765149318643,0.1332589018700905,0,0,0
iscfco_mm,iscfco_r0f0,1,base,0.0,GARE7,3649.0,3505.0,3653.0,3653.0,3449,0.9594853545031481,1.0162365903160335,0.13975836357111526,0,1,0
iscfco_mm,iscfco_r0f0,1,base,0.0,GARE8,2754.0,2441.0,3653.0,3653.0,3449,0.6682179030933479,0.7077413743113946,0.09733242952270824,0,0,0
iscfco_mm,iscfco_r0f0,1,base,0.0,GARE9,2300.0,2140.0,3653.0,3653.0,3449,0.5858198740761018,0.6204697013627138,0.08533035607480362,0,0,0
iscfco_mm,iscfco_r0f0,1,base,0.0,GARE10,3644.0,3555.0,3653.0,3653.0,3449,0.973172734738571,1.0307335459553493,0.14175206347940508,0,1,0
iscfco_mm,iscfco_r0f0,1,base,0.0,GARE11,3603.0,3384.0,3653.0,3653.0,3449,0.9263618943334245,0.9811539576688896,0.13493360979305394,0,0,0
iscfco_mm,iscfco_r0f0,10,base,0.0,GARE4,3455.0,3208.0,3653.0,3653.0,3449,0.8781823159047358,0.9301246738184981,0.12791578611587384,0,0,0
iscfco_mm,iscfco_r0f0,10,base,0.0,GARE5,2859.0,2805.0,3653.0,3653.0,3449,0.767862031207227,0.8132792113656132,0.11184656485505802,0,0,0
iscfco_mm,iscfco_r0f0,10,base,0.0,GARE6,3563.0,3367.0,3653.0,3653.0,3449,0.9217081850533808,0.9762249927515222,0.1342557518242354,0,0,0
iscfco_mm,iscfco_r0f0,10,base,0.0,GARE7,2241.0,2143.0,3653.0,3653.0,3449,0.5866411168902272,0.6213395187010727,0.085449978069301,0,0,0
iscfco_mm,iscfco_r0f0,10,base,0.0,GARE8,3653.0,3387.0,3653.0,3653.0,3449,0.92718313714755,0.9820237750072485,0.13505323178755133,0,0,0
iscfco_mm,iscfco_r0f0,10,base,0.0,GARE9,3532.0,3347.0,3653.0,3653.0,3449,0.9162332329592116,0.9704262104957959,0.1334582718609195,0,0,0
iscfco_mm,iscfco_r0f0,10,base,0.0,GARE10,3618.0,3276.0,3653.0,3653.0,3449,0.896797153024911,0.9498405334879675,0.13062721799114796,0,0,0
iscfco_mm,iscfco_r0f0,10,base,0.0,GARE11,3641.0,3546.0,3653.0,3653.0,3449,0.9707090062961949,1.0281240939402725,0.14139319749591292,0,1,0
iscfco_mm,iscfco_r0f1,1,base,0.0,GARE4,4347.0,2687.0,4356.0,4356.0,2746,0.6168503213957759,0.9785142024763293,0.13457204387238944,0,0,0
iscfco_mm,iscfco_r0f1,1,base,0.0,GARE5,4324.0,2897.0,4356.0,4356.0,2746,0.6650596877869606,1.0549890750182083,0.1450893975058847,0,1,0
iscfco_mm,iscfco_r0f1,1,base,0.0,GARE6,3238.0,2150.0,4356.0,4356.0,2746,0.4935720844811754,0.7829570284049526,0.10767766815245154,0,0,0
iscfco_mm,iscfco_r0f1,1,base,0.0,GARE7,4105.0,2417.0,4356.0,4356.0,2746,0.5548668503213958,0.880189366351056,0.12104973205789553,0,0,0
iscfco_mm,iscfco_r0f1,1,base,0.0,GARE8,4347.0,2658.0,4356.0,4356.0,2746,0.6101928374655647,0.9679533867443554,0.1331196474182401,0,0,0
iscfco_mm,iscfco_r0f1,1,base,0.0,GARE9,4292.0,2732.0,4356.0,4356.0,2746,0.6271808999081726,0.9949016751638747,0.13682576250813844,0,0,0
iscfco_mm,iscfco_r0f1,1,base,0.0,GARE10,2683.0,1555.0,4356.0,4356.0,2746,0.35697887970615244,0.5662782228696286,0.07787849952421495,0,0,0
iscfco_mm,iscfco_r0f1,1,base,0.0,GARE11,4338.0,2871.0,4356.0,4356.0,2746,0.6590909090909091,1.0455207574654042,0.1437872489607853,0,1,0
iscfco_mm,iscfco_r0f1,10,base,0.0,GARE4,4316.0,2558.0,4356.0,4356.0,2746,0.5872359963269054,0.9315367807720321,0.12811138378324236,0,0,0
iscfco_mm,iscfco_r0f1,10,base,0.0,GARE5,4354.0,2836.0,4356.0,4356.0,2746,0.6510560146923783,1.032774945375091,0.1420343566885361,0,1,0
iscfco_mm,iscfco_r0f1,10,base,0.0,GARE6,4262.0,2597.0,4356.0,4356.0,2746,0.5961891643709826,0.9457392571012382,0.13006460660089147,0,0,0
iscfco_mm,iscfco_r0f1,10,base,0.0,GARE7,3762.0,2373.0,4356.0,4356.0,2746,0.5447658402203857,0.8641660597232338,0.11884609605849653,0,0,0
iscfco_mm,iscfco_r0f1,10,base,0.0,GARE8,2662.0,1705.0,4356.0,4356.0,2746,0.39141414141414144,0.6209031318281136,0.08539089497671157,0,0,0
iscfco_mm,iscfco_r0f1,10,base,0.0,GARE9,4336.0,2896.0,4356.0,4356.0,2746,0.6648301193755739,1.0546249089584852,0.14503931486953472,0,1,0
iscfco_mm,iscfco_r0f1,10,base,0.0,GARE10,4278.0,2734.0,4356.0,4356.0,2746,0.6276400367309458,0.9956300072833212,0.1369259277808384,0,0,0
iscfco_mm,iscfco_r0f1,10,base,0.0,GARE11,3704.0,2268.0,4356.0,4356.0,2746,0.5206611570247934,0.8259286234522942,0.11358741924174888,0,0,0
iscfco_mm,iscfco_r0f2,1,base,0.0,GARE4,5023.0,2155.0,5033.0,5033.0,2069,0.42817405126167296,1.041565973900435,0.14325599946819118,0,1,0
iscfco_mm,iscfco_r0f2,1,base,0.0,GARE5,4012.0,1594.0,5033.0,5033.0,2069,0.3167097158752235,0.7704204929917835,0.10596290633517251,0,0,0
iscfco_mm,iscfco_r0f2,1,base,0.0,GARE6,4429.0,1819.0,5033.0,5033.0,2069,0.36141466322272997,0.8791686805219913,0.1209200292494848,0,0,0
iscfco_mm,iscfco_r0f2,1,base,0.0,GARE7,5020.0,2067.0,5033.0,5033.0,2069,0.410689449632426,0.9990333494441759,0.13740610250614904,0,0,0
iscfco_mm,iscfco_r0f2,1,base,0.0,GARE8,4077.0,1494.0,5033.0,5033.0,2069,0.2968408503874429,0.7220879652005799,0.0993152961510337,0,0,0
iscfco_mm,iscfco_r0f2,1,base,0.0,GARE9,4089.0,1724.0,5033.0,5033.0,2069,0.34253924100933836,0.833252779120348,0.11460479957455295,0,0,0
iscfco_mm,iscfco_r0f2,1,base,0.0,GARE10,4915.0,2027.0,5033.0,5033.0,2069,0.40274190343731375,0.9797003383276945,0.13474705843249352,0,0,0
iscfco_mm,iscfco_r0f2,1,base,0.0,GARE11,5033.0,2163.0,5033.0,5033.0,2069,0.4297635605006954,1.0454325761237313,0.14378780828292229,0,1,0
iscfco_mm,iscfco_r0f2,10,base,0.0,GARE4,4857.0,2048.0,5033.0,5033.0,2069,0.40691436518974766,0.9898501691638473,0.13614305657116266,0,0,0
iscfco_mm,iscfco_r0f2,10,base,0.0,GARE5,2943.0,1208.0,5033.0,5033.0,2069,0.2400158950923902,0.583856935717738,0.08030313102439673,0,0,0
iscfco_mm,iscfco_r0f2,10,base,0.0,GARE6,5028.0,2120.0,5033.0,5033.0,2069,0.4212199483409497,1.0246495891735137,0.1409293359037426,0,1,0
iscfco_mm,iscfco_r0f2,10,base,0.0,GARE7,5022.0,2194.0,5033.0,5033.0,2069,0.4359229088019074,1.0604156597390044,0.14584856744000532,0,1,0
iscfco_mm,iscfco_r0f2,10,base,0.0,GARE8,5025.0,1914.0,5033.0,5033.0,2069,0.3802900854361216,0.9250845819236346,0.12723525892441667,0,0,0
iscfco_mm,iscfco_r0f2,10,base,0.0,GARE9,4831.0,1992.0,5033.0,5033.0,2069,0.3957878005165905,0.9627839536007733,0.13242039486804494,0,0,0
iscfco_mm,iscfco_r0f2,10,base,0.0,GARE10,5028.0,1957.0,5033.0,5033.0,2069,0.3888336975958673,0.9458675688738521,0.13009373130359636,0,0,0
iscfco_mm,iscfco_r0f2,10,base,0.0,GARE11,3864.0,1610.0,5033.0,5033.0,2069,0.3198887343532684,0.778153697438376,0.10702652396463472,0,0,0
iscfco_mm,iscfco_r0f3,1,base,0.0,GARE4,5706.0,1512.0,5713.0,5713.0,1388,0.2646595483983896,1.0893371757925072,0.14979195561719832,0,1,0
iscfco_mm,iscfco_r0f3,1,base,0.0,GARE5,4183.0,962.0,5713.0,5713.0,1388,0.1683878872746368,0.6930835734870316,0.0953041410739053,0,0,0
iscfco_mm,iscfco_r0f3,1,base,0.0,GARE6,5670.0,1386.0,5713.0,5713.0,1388,0.24260458603185717,0.9985590778097982,0.13730929264909847,0,0,0
iscfco_mm,iscfco_r0f3,1,base,0.0,GARE7,3490.0,791.0,5713.0,5713.0,1388,0.13845615263434272,0.5698847262247838,0.07836338418862691,0,0,0
iscfco_mm,iscfco_r0f3,1,base,0.0,GARE8,5655.0,1392.0,5713.0,5713.0,1388,0.2436548223350254,1.0028818443804035,0.13790370517138895,0,1,0
iscfco_mm,iscfco_r0f3,1,base,0.0,GARE9,5493.0,1382.0,5713.0,5713.0,1388,0.2419044284964117,0.9956772334293948,0.13691301763423816,0,0,0
iscfco_mm,iscfco_r0f3,1,base,0.0,GARE10,5712.0,1369.0,5713.0,5713.0,1388,0.2396289165062139,0.9863112391930836,0.13562512383594214,0,0,0
iscfco_mm,iscfco_r0f3,1,base,0.0,GARE11,5638.0,1300.0,5713.0,5713.0,1388,0.22755119901977944,0.9365994236311239,0.12878937982960173,0,0,0
iscfco_mm,iscfco_r0f3,10,base,0.0,GARE4,5262.0,1311.0,5713.0,5713.0,1388,0.2294766322422545,0.9445244956772334,0.12987913612046761,0,0,0
