dataset_id,kind,catalogue_size,stations,origin,n,horizon_multiple,blocks,mean_block_lines,max_upward_pp,max_downward_pp,max_abs_pp,q95_abs_pp,q90_abs_pp,median_station_max_abs_pp,noise_sigma_median_station_pp,max_abs_over_noise_sigma,fraction_block_station_pairs_beyond_1pp,incumbent_history_within_upper_0.0025,incumbent_history_within_twosided_0.0025,incumbent_history_within_upper_0.005,incumbent_history_within_twosided_0.005,incumbent_history_within_upper_0.01,incumbent_history_within_twosided_0.01,incumbent_history_within_upper_0.02,incumbent_history_within_twosided_0.02,incumbent_history_within_upper_0.03,incumbent_history_within_twosided_0.03,incumbent_history_within_upper_0.05,incumbent_history_within_twosided_0.05,smallest_grid_delta_upper_only,smallest_grid_delta_two_sided
syn_1000sku_seed1001,synthetic,1000,10,31581,500,1/2,63,5012.7,1.1672,1.229,1.229,0.8458,0.6954,1.0588,0.4238,2.9,0.0143,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_1000sku_seed1001,synthetic,1000,10,31581,1000,1,31,10023.5,0.7825,0.7697,0.7825,0.5918,0.512,0.7232,0.2997,2.61,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_1000sku_seed1001,synthetic,1000,10,31581,2000,2,15,20045.9,0.5429,0.6381,0.6381,0.3788,0.3211,0.4077,0.2119,3.01,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_1000sku_seed1002,synthetic,1000,10,27118,500,1/2,54,4997.1,1.4134,1.263,1.4134,0.892,0.7125,1.0594,0.4246,3.33,0.0259,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_1000sku_seed1002,synthetic,1000,10,27118,1000,1,27,9994.1,0.9215,0.8309,0.9215,0.6092,0.478,0.6993,0.3003,3.07,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_1000sku_seed1002,synthetic,1000,10,27118,2000,2,13,20006.5,0.4725,0.4679,0.4725,0.3889,0.3563,0.3797,0.2122,2.23,0.0,False,False,True,True,True,True,True,True,True,True,True,True,0.005,0.005
syn_1000sku_seed1003,synthetic,1000,10,26344,500,1/2,52,5002.9,1.2002,1.1415,1.2002,0.7727,0.6445,1.007,0.4242,2.83,0.0135,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
syn_1000sku_seed1003,synthetic,1000,10,26344,1000,1,26,10005.8,0.7691,0.8013,0.8013,0.5765,0.4827,0.6754,0.2999,2.67,0.0,False,False,False,False,True,True,True,True,True,True,True,True,0.01,0.01
syn_1000sku_seed1003,synthetic,1000,10,26344,2000,2,13,20011.5,0.4793,0.6408,0.6408,0.3922,0.3441,0.4189,0.2121,3.02,0.0,False,False,True,False,True,True,True,True,True,True,True,True,0.005,0.01
syn_1000sku_seed1004,synthetic,1000,10,23436,500,1/2,46,5004.1,1.2873,1.1531,1.2873,0.7496,0.6638,0.9039,0.4241,3.04,0.0109,False,False,False,False,False,False,True,True,True,True,True,True,0.02,0.02
