dataset_id,origin,n,historical_blocks,historical_tv_max,historical_tv_mean,historical_tv_p90,historical_tv_last,future_tv_ex_post,reserved_margin_rho,future_tv_within_rho,historical_max_within_rho,note
syn_50sku_seed1001,1737,25,69,0.26072860285120153,0.16861370954480187,0.19767515854084244,0.1606310871250915,0.15479163977504312,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_50sku_seed1001,1737,50,34,0.14812834644878556,0.11655225405627481,0.1364747186009058,0.1333773019319503,0.11406207538875789,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_50sku_seed1001,1737,100,17,0.09789271703440539,0.0815550268104272,0.09224071657740911,0.09745075964583695,0.08368477913310667,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_500sku_seed1001,16830,250,67,0.19940977182612563,0.17297402673838697,0.1825133296891863,0.16372969392538447,0.18080926025210767,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_500sku_seed1001,16830,500,33,0.13397544635149608,0.12071438480392271,0.12899926635240527,0.1170614735492781,0.12299265381751685,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_500sku_seed1001,16830,1000,16,0.09377392429336973,0.08378010259634525,0.08969437587516824,0.0863745974209683,0.08386326030426547,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_1000sku_seed1001,31581,500,63,0.18231417513175047,0.17088389537023024,0.17684814699294604,0.17577799385970647,0.17806620272844428,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_1000sku_seed1001,31581,1000,31,0.12753771252166649,0.12025969127061313,0.12371322602876896,0.11992040428473418,0.12861007818337356,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_1000sku_seed1001,31581,2000,15,0.09003107265828672,0.08423176917280299,0.0867094532802499,0.08558437291178501,0.09050642796835155,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_2000sku_seed1001,47345,1000,47,0.17828434256424988,0.17077897438012954,0.17536829954608837,0.17746701918194258,0.18032925783402398,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_2000sku_seed1001,47345,2000,23,0.1246852459677909,0.11925427248731306,0.12207874018935065,0.11808589361335889,0.1278712239472444,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
syn_2000sku_seed1001,47345,4000,11,0.08489379154595163,0.08221708653788176,0.0834746104177099,0.08346868988270312,0.0931342880607764,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
BERNER,199403,10937,18,0.2500566825936135,0.21524815968230077,0.2372356365874222,0.2500566825936135,0.2744376981846139,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
BERNER,199403,21874,9,0.18955555966884874,0.1629255679869982,0.1758189408017207,0.18955555966884874,0.21482644562030126,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
BERNER,199403,43748,4,0.14220066697247694,0.12080491320093575,0.12284865013943737,0.14220066697247694,0.17186005413899097,0.01,False,False,future_tv is ex post: the scored future compared with the pooled history it was scored against; never used to choose a parameter
