campaign,rule,dataset_id,n,arm,axis,value,catalogue_size,cells,scored_cells,no_allocation,ineligible,rejected_candidates,proven_infeasible,no_incumbent,joint_pass,worst_excess_pp_mean,worst_excess_pp_n,mean_visits_mean,mean_visits_n,activation_mass_mean,activation_mass_n,minimum_required_slack_mean,minimum_required_slack_n
ho3_20260913,two_sided,BERNER,21874,HIST+ACT,delta,0.02,21874,3,3,0,0,0,0,0,0,0.10943204772635529,3,3.2636920544939194,3,0.0024038258072707265,3,0.01999753062994281,3
ho3_20260913,two_sided,BERNER,21874,HIST+ACT-T,delta,0.02,21874,3,3,0,0,0,0,0,3,0.0,3,3.3467739477614216,3,0.0024038258072707265,3,0.009996302097769173,3
ho3_20260913,two_sided,BERNER,21874,NOM,delta,0.02,21874,3,3,0,0,0,0,0,0,1.0297874286459028,3,3.2316296364024257,3,0.0024038258072707265,3,0.019998879893139712,3
ho3_20260913,two_sided,BERNER,21874,TIGHT,delta,0.02,21874,3,3,0,0,0,0,0,3,0.0,3,3.269741854865746,3,0.0024038258072707265,3,0.009995906899230163,3
pilot_20260910b,upper_only,BERNER,21874,HIST+ACT,delta,0.01,21874,1,0,1,0,0,0,0,0,,0,,0,,0,,0
pilot_20260910b,upper_only,BERNER,21874,NOM,delta,0.01,21874,1,1,0,0,0,0,0,0,2.323246545805172,1,2.842461369662613,1,0.003658524157469402,1,0.009993569143872387,1
pilot_20260910b,upper_only,syn_2000sku_seed1001,2000,HIST+ACT,delta,0.01,2000,1,1,0,0,0,0,0,1,0.0,1,6.1495,1,0.0,1,0.009880101625243057,1
pilot_20260910b,upper_only,syn_2000sku_seed1001,2000,NOM,delta,0.01,2000,1,1,0,0,0,0,0,0,0.07251593400296673,1,6.1295,1,0.0,1,0.009808742189198144,1
pilot_20260910b,upper_only,syn_500sku_seed1001,500,HIST+ACT,delta,0.01,500,1,1,0,0,0,0,0,0,0.8509529854140517,1,3.706,1,0.0,1,0.009806089378133513,1
pilot_20260910b,upper_only,syn_500sku_seed1001,500,NOM,delta,0.01,500,1,1,0,0,0,0,0,0,1.7092364185477842,1,3.66,1,0.0,1,0.009981329460925229,1
pilot_20260910b,upper_only,syn_50sku_seed1001,50,HIST+ACT,delta,0.01,50,1,0,1,0,0,0,1,0,,0,,0,,0,,0
pilot_20260910b,upper_only,syn_50sku_seed1001,50,NOM,delta,0.01,50,1,1,0,0,0,0,0,0,2.0115350332175583,1,3.8,1,0.0,1,0.007214335582964859,1
screen_20260910,upper_only,BERNER,10937,HIST,delta,0.01,21874,1,1,0,0,0,0,0,0,0.4312063501133379,1,2.7619091158452957,1,0.0024865402495189083,1,0.009999047277443822,1
screen_20260910,upper_only,BERNER,10937,HIST+ACT,delta,0.01,21874,1,1,0,0,0,0,0,1,0.0,1,2.7835786778824176,1,0.0024865402495189083,1,0.009998377669684711,1
screen_20260910,upper_only,BERNER,10937,NOM,delta,0.01,21874,1,1,0,0,0,0,0,0,2.3654790843113505,1,2.696351833226662,1,0.0024865402495189083,1,0.00999918561210611,1
