campaign,rule,dataset_id,n,arm,delta,nu,tightening,solve_mode,catalogue_size,cells,scored_cells,ineligible_cells,eligibility_reasons,allocation_returned,distinct_origins,distinct_seeds,joint_pass_mean,joint_pass_n,violation_count_mean,violation_count_n,worst_excess_pp_mean,worst_excess_pp_n,mean_visits_mean,mean_visits_n,positive_excess_sum_mean,positive_excess_sum_n,activation_mass_mean,activation_mass_n,station_novelty_count_mean,station_novelty_count_n,joint_pass_count
ho3_20260913,two_sided,BERNER,21874,HIST+ACT,0.02,0.01,0.5,visits,21874,3,3,0,,3,1,3,0.0,3,2.6666666666666665,3,0.10943204772635529,3,3.2636920544939194,3,0.0017303230477201629,3,0.0024038258072707265,3,1.3333333333333333,3,0
ho3_20260913,two_sided,BERNER,21874,HIST+ACT-T,0.02,0.01,0.5,visits,21874,3,3,0,,3,1,3,1.0,3,0.0,3,0.0,3,3.3467739477614216,3,0.0,3,0.0024038258072707265,3,0.3333333333333333,3,3
ho3_20260913,two_sided,BERNER,21874,NOM,0.02,0.01,0.5,visits,21874,3,3,0,,3,1,3,0.0,3,7.666666666666667,3,1.0297874286459028,3,3.2316296364024257,3,0.019688358437667208,3,0.0024038258072707265,3,11.0,3,0
ho3_20260913,two_sided,BERNER,21874,TIGHT,0.02,0.01,0.5,visits,21874,3,3,0,,3,1,3,1.0,3,0.0,3,0.0,3,3.269741854865746,3,0.0,3,0.0024038258072707265,3,11.333333333333334,3,3
pilot_20260910b,upper_only,BERNER,21874,HIST+ACT,0.01,0.01,0.5,visits,21874,1,0,0,,0,1,1,,0,,0,,0,,0,,0,,0,,0,0
pilot_20260910b,upper_only,BERNER,21874,NOM,0.01,0.01,0.5,visits,21874,1,1,0,,1,1,1,0.0,1,3.0,1,2.323246545805172,1,2.842461369662613,1,0.03286402446204253,1,0.003658524157469402,1,7.0,1,0
pilot_20260910b,upper_only,syn_2000sku_seed1001,2000,HIST+ACT,0.01,0.01,0.5,visits,2000,1,1,0,,1,1,1,1.0,1,0.0,1,0.0,1,6.1495,1,0.0,1,0.0,1,0.0,1,1
pilot_20260910b,upper_only,syn_2000sku_seed1001,2000,NOM,0.01,0.01,0.5,visits,2000,1,1,0,,1,1,1,0.0,1,2.0,1,0.07251593400296673,1,6.1295,1,0.0013426596024452547,1,0.0,1,10.0,1,0
pilot_20260910b,upper_only,syn_500sku_seed1001,500,HIST+ACT,0.01,0.01,0.5,visits,500,1,1,0,,1,1,1,0.0,1,1.0,1,0.8509529854140517,1,3.706,1,0.008509529854140517,1,0.0,1,1.0,1,0
pilot_20260910b,upper_only,syn_500sku_seed1001,500,NOM,0.01,0.01,0.5,visits,500,1,1,0,,1,1,1,0.0,1,1.0,1,1.7092364185477842,1,3.66,1,0.017092364185477844,1,0.0,1,3.0,1,0
