campaign,rule,dataset_id,origin,n,seed,delta,nu,tightening,solve_mode,catalogue_size,baseline,arm,both_scored,arm_status,baseline_status,joint_pass_arm,joint_pass_baseline,joint_pass_diff,violation_count_arm,violation_count_baseline,violation_count_diff,worst_excess_pp_arm,worst_excess_pp_baseline,worst_excess_pp_diff,mean_visits_arm,mean_visits_baseline,mean_visits_diff,positive_excess_sum_arm,positive_excess_sum_baseline,positive_excess_sum_diff,activation_mass_arm,activation_mass_baseline,activation_mass_diff,station_novelty_count_arm,station_novelty_count_baseline,station_novelty_count_diff,visit_cost_pct
ho3_20260913,two_sided,BERNER,243151,21874,11,0.02,0.01,0.5,visits,21874,NOM,HIST+ACT,True,COMPLETE,COMPLETE,False,False,0.0,2,9,-7.0,0.08116158181582933,1.006414129863041,-0.9252525480472116,3.2780469964341226,3.2660693060254182,0.011977690408704333,0.0011999850816456813,0.020673846872911107,-0.019473861791265427,0.0024038258072707265,0.0024038258072707265,0.0,1,11,-10.0,0.36673105456174043
ho3_20260913,two_sided,BERNER,243151,21874,11,0.02,0.01,0.5,visits,21874,NOM,HIST+ACT-T,True,COMPLETE,COMPLETE,True,False,1.0,0,9,-9.0,0.0,1.006414129863041,-1.006414129863041,3.3507360336472525,3.2660693060254182,0.08466672762183425,0.0,0.020673846872911107,-0.020673846872911107,0.0024038258072707265,0.0024038258072707265,0.0,0,11,-11.0,2.5923126452227017
ho3_20260913,two_sided,BERNER,243151,21874,11,0.02,0.01,0.5,visits,21874,NOM,TIGHT,True,COMPLETE,COMPLETE,True,False,1.0,0,9,-9.0,0.0,1.006414129863041,-1.006414129863041,3.2660235896498127,3.2660693060254182,-4.571637560557562e-05,0.0,0.020673846872911107,-0.020673846872911107,0.0024038258072707265,0.0024038258072707265,0.0,12,11,1.0,-0.0013997368494672057
ho3_20260913,two_sided,BERNER,243151,21874,11,0.02,0.01,0.5,visits,21874,TIGHT,HIST+ACT,True,COMPLETE,COMPLETE,False,True,-1.0,2,0,2.0,0.08116158181582933,0.0,0.08116158181582933,3.2780469964341226,3.2660235896498127,0.012023406784309909,0.0011999850816456813,0.0,0.0011999850816456813,0.0024038258072707265,0.0024038258072707265,0.0,1,12,-11.0,0.36813594434567676
ho3_20260913,two_sided,BERNER,243151,21874,11,0.02,0.01,0.5,visits,21874,TIGHT,HIST+ACT-T,True,COMPLETE,COMPLETE,True,True,0.0,0,0,0.0,0.0,0.0,0.0,3.3507360336472525,3.2660235896498127,0.08471244399743982,0.0,0.0,0.0,0.0024038258072707265,0.0024038258072707265,0.0,0,12,-12.0,2.5937486877283336
ho3_20260913,two_sided,BERNER,243151,21874,11,0.02,0.01,0.5,visits,21874,TIGHT,NOM,True,COMPLETE,COMPLETE,False,True,-1.0,9,0,9.0,1.006414129863041,0.0,1.006414129863041,3.2660693060254182,3.2660235896498127,4.571637560557562e-05,0.020673846872911107,0.0,0.020673846872911107,0.0024038258072707265,0.0024038258072707265,0.0,11,12,-1.0,0.0013997564423739325
ho3_20260913,two_sided,BERNER,243151,21874,22,0.02,0.01,0.5,visits,21874,NOM,HIST+ACT,True,COMPLETE,COMPLETE,False,False,0.0,4,8,-4.0,0.17858442063675814,0.93906469712155,-0.7604802764847919,3.2388680625400017,3.256331718021395,-0.017463655481393392,0.0032133595289826197,0.02206232149029155,-0.01884896196130893,0.0024038258072707265,0.0024038258072707265,0.0,3,11,-8.0,-0.536298417779274
ho3_20260913,two_sided,BERNER,243151,21874,22,0.02,0.01,0.5,visits,21874,NOM,HIST+ACT-T,True,COMPLETE,COMPLETE,True,False,1.0,0,8,-8.0,0.0,0.93906469712155,-0.93906469712155,3.3860747919904908,3.256331718021395,0.12974307396909568,0.0,0.02206232149029155,-0.02206232149029155,0.0024038258072707265,0.0024038258072707265,0.0,1,11,-10.0,3.98433222423451
ho3_20260913,two_sided,BERNER,243151,21874,22,0.02,0.01,0.5,visits,21874,NOM,TIGHT,True,COMPLETE,COMPLETE,True,False,1.0,0,8,-8.0,0.0,0.93906469712155,-0.93906469712155,3.2670750662887444,3.256331718021395,0.01074334826734935,0.0,0.02206232149029155,-0.02206232149029155,0.0024038258072707265,0.0024038258072707265,0.0,11,11,0.0,0.3299218015134281
ho3_20260913,two_sided,BERNER,243151,21874,22,0.02,0.01,0.5,visits,21874,TIGHT,HIST+ACT,True,COMPLETE,COMPLETE,False,True,-1.0,4,0,4.0,0.17858442063675814,0.0,0.17858442063675814,3.2388680625400017,3.2670750662887444,-0.028207003748742743,0.0032133595289826197,0.0,0.0032133595289826197,0.0024038258072707265,0.0024038258072707265,0.0,3,11,-8.0,-0.8633717676032671
ho3_20260913,two_sided,BERNER,243151,21874,22,0.02,0.01,0.5,visits,21874,TIGHT,HIST+ACT-T,True,COMPLETE,COMPLETE,True,True,0.0,0,0,0.0,0.0,0.0,0.0,3.3860747919904908,3.2670750662887444,0.11899972570174633,0.0,0.0,0.0,0.0024038258072707265,0.0024038258072707265,0.0,1,11,-10.0,3.6423933728870472
ho3_20260913,two_sided,BERNER,243151,21874,22,0.02,0.01,0.5,visits,21874,TIGHT,NOM,True,COMPLETE,COMPLETE,False,True,-1.0,8,0,8.0,0.93906469712155,0.0,0.93906469712155,3.256331718021395,3.2670750662887444,-0.01074334826734935,0.02206232149029155,0.0,0.02206232149029155,0.0024038258072707265,0.0024038258072707265,0.0,11,11,0.0,-0.32883689689913764
ho3_20260913,two_sided,BERNER,243151,21874,33,0.02,0.01,0.5,visits,21874,NOM,HIST+ACT,True,COMPLETE,COMPLETE,False,False,0.0,2,6,-4.0,0.0685501407264784,1.1438834589531177,-1.0753333182266394,3.2741611045076344,3.1724878851604643,0.10167321934717011,0.000777624532532188,0.016328906949798962,-0.015551282417266775,0.0024038258072707265,0.0024038258072707265,0.0,0,11,-11.0,3.204841847395344
ho3_20260913,two_sided,BERNER,243151,21874,33,0.02,0.01,0.5,visits,21874,NOM,HIST+ACT-T,True,COMPLETE,COMPLETE,True,False,1.0,0,6,-6.0,0.0,1.1438834589531177,-1.1438834589531177,3.303511017646521,3.1724878851604643,0.13102313248605668,0.0,0.016328906949798962,-0.016328906949798962,0.0024038258072707265,0.0024038258072707265,0.0,0,11,-11.0,4.129980546148864
ho3_20260913,two_sided,BERNER,243151,21874,33,0.02,0.01,0.5,visits,21874,NOM,TIGHT,True,COMPLETE,COMPLETE,True,False,1.0,0,6,-6.0,0.0,1.1438834589531177,-1.1438834589531177,3.2761269086586817,3.1724878851604643,0.10363902349821741,0.0,0.016328906949798962,-0.016328906949798962,0.0024038258072707265,0.0024038258072707265,0.0,11,11,0.0,3.2668059658476944
ho3_20260913,two_sided,BERNER,243151,21874,33,0.02,0.01,0.5,visits,21874,TIGHT,HIST+ACT,True,COMPLETE,COMPLETE,False,True,-1.0,2,0,2.0,0.0685501407264784,0.0,0.0685501407264784,3.2741611045076344,3.2761269086586817,-0.0019658041510473012,0.000777624532532188,0.0,0.000777624532532188,0.0024038258072707265,0.0024038258072707265,0.0,0,11,-11.0,-0.06000390723118063
ho3_20260913,two_sided,BERNER,243151,21874,33,0.02,0.01,0.5,visits,21874,TIGHT,HIST+ACT-T,True,COMPLETE,COMPLETE,True,True,0.0,0,0,0.0,0.0,0.0,0.0,3.303511017646521,3.2761269086586817,0.027384108987839273,0.0,0.0,0.0,0.0024038258072707265,0.0024038258072707265,0.0,0,11,-11.0,0.835868382127203
ho3_20260913,two_sided,BERNER,243151,21874,33,0.02,0.01,0.5,visits,21874,TIGHT,NOM,True,COMPLETE,COMPLETE,False,True,-1.0,6,0,6.0,1.1438834589531177,0.0,1.1438834589531177,3.1724878851604643,3.2761269086586817,-0.10363902349821741,0.016328906949798962,0.0,0.016328906949798962,0.0024038258072707265,0.0024038258072707265,0.0,11,11,0.0,-3.163461806815338
