campaign,catalogue_size,n,baseline,arm,delta,nu,tightening,solve_mode,paired_instances,joint_pass_mean_diff,joint_pass_median_diff,joint_pass_instances_better,joint_pass_instances_worse,joint_pass_instances_equal,joint_pass_paired_n,violation_count_mean_diff,violation_count_median_diff,violation_count_instances_better,violation_count_instances_worse,violation_count_instances_equal,violation_count_paired_n,worst_excess_pp_mean_diff,worst_excess_pp_median_diff,worst_excess_pp_instances_better,worst_excess_pp_instances_worse,worst_excess_pp_instances_equal,worst_excess_pp_paired_n,mean_visits_mean_diff,mean_visits_median_diff,mean_visits_instances_better,mean_visits_instances_worse,mean_visits_instances_equal,mean_visits_paired_n,positive_excess_sum_mean_diff,positive_excess_sum_median_diff,positive_excess_sum_instances_better,positive_excess_sum_instances_worse,positive_excess_sum_instances_equal,positive_excess_sum_paired_n,activation_mass_mean_diff,activation_mass_median_diff,activation_mass_instances_better,activation_mass_instances_worse,activation_mass_instances_equal,activation_mass_paired_n,station_novelty_count_mean_diff,station_novelty_count_median_diff,station_novelty_count_instances_better,station_novelty_count_instances_worse,station_novelty_count_instances_equal,station_novelty_count_paired_n
ho3_20260913,21874,21874,NOM,HIST+ACT,0.02,0.01,0.5,visits,1,0.0,0.0,0,0,1,1,-5.0,-5.0,1,0,0,1,-0.9203553809195476,-0.9203553809195476,1,0,0,1,0.03206241809149368,0.03206241809149368,0,1,0,1,-0.017958035389947044,-0.017958035389947044,1,0,0,1,0.0,0.0,,,1,1,-9.666666666666666,-9.666666666666666,1,0,0,1
ho3_20260913,21874,21874,NOM,HIST+ACT-T,0.02,0.01,0.5,visits,1,1.0,1.0,1,0,0,1,-7.666666666666667,-7.666666666666667,1,0,0,1,-1.0297874286459028,-1.0297874286459028,1,0,0,1,0.11514431135899554,0.11514431135899554,0,1,0,1,-0.019688358437667208,-0.019688358437667208,1,0,0,1,0.0,0.0,,,1,1,-10.666666666666666,-10.666666666666666,1,0,0,1
ho3_20260913,21874,21874,NOM,TIGHT,0.02,0.01,0.5,visits,1,1.0,1.0,1,0,0,1,-7.666666666666667,-7.666666666666667,1,0,0,1,-1.0297874286459028,-1.0297874286459028,1,0,0,1,0.03811221846332039,0.03811221846332039,0,1,0,1,-0.019688358437667208,-0.019688358437667208,1,0,0,1,0.0,0.0,,,1,1,0.3333333333333333,0.3333333333333333,0,1,0,1
ho3_20260913,21874,21874,TIGHT,HIST+ACT,0.02,0.01,0.5,visits,1,-1.0,-1.0,0,1,0,1,2.6666666666666665,2.6666666666666665,0,1,0,1,0.10943204772635529,0.10943204772635529,0,1,0,1,-0.006049800371826712,-0.006049800371826712,1,0,0,1,0.0017303230477201629,0.0017303230477201629,0,1,0,1,0.0,0.0,,,1,1,-10.0,-10.0,1,0,0,1
ho3_20260913,21874,21874,TIGHT,HIST+ACT-T,0.02,0.01,0.5,visits,1,0.0,0.0,0,0,1,1,0.0,0.0,0,0,1,1,0.0,0.0,0,0,1,1,0.07703209289567514,0.07703209289567514,0,1,0,1,0.0,0.0,0,0,1,1,0.0,0.0,,,1,1,-11.0,-11.0,1,0,0,1
ho3_20260913,21874,21874,TIGHT,NOM,0.02,0.01,0.5,visits,1,-1.0,-1.0,0,1,0,1,7.666666666666667,7.666666666666667,0,1,0,1,1.0297874286459028,1.0297874286459028,0,1,0,1,-0.03811221846332039,-0.03811221846332039,1,0,0,1,0.019688358437667208,0.019688358437667208,0,1,0,1,0.0,0.0,,,1,1,-0.3333333333333333,-0.3333333333333333,1,0,0,1
pilot_20260910b,500,500,NOM,HIST+ACT,0.01,0.01,0.5,visits,1,0.0,0.0,0,0,1,1,0.0,0.0,0,0,1,1,-0.8582834331337325,-0.8582834331337325,1,0,0,1,0.04599999999999982,0.04599999999999982,0,1,0,1,-0.008582834331337327,-0.008582834331337327,1,0,0,1,0.0,0.0,,,1,1,-2.0,-2.0,1,0,0,1
pilot_20260910b,2000,2000,NOM,HIST+ACT,0.01,0.01,0.5,visits,1,1.0,1.0,1,0,0,1,-2.0,-2.0,1,0,0,1,-0.07251593400296673,-0.07251593400296673,1,0,0,1,0.019999999999999574,0.019999999999999574,0,1,0,1,-0.0013426596024452547,-0.0013426596024452547,1,0,0,1,0.0,0.0,,,1,1,-10.0,-10.0,1,0,0,1
screen_20260910,50,25,NOM,TIGHT,0.01,0.01,0.5,visits,12,0.0,0.0,0,0,12,12,0.0,0.0,2,3,7,12,-0.7446248271540337,-0.38015309582108153,7,4,1,12,0.04999999999999997,0.040000000000000036,3,7,2,12,-0.007937152232771486,-0.0017152292941736717,7,4,1,12,0.0,0.0,,,12,12,0.08333333333333333,0.0,1,2,9,12
screen_20260910,50,25,TIGHT,NOM,0.01,0.01,0.5,visits,12,0.0,0.0,0,0,12,12,0.0,0.0,3,2,7,12,0.7446248271540337,0.38015309582108153,4,7,1,12,-0.04999999999999997,-0.040000000000000036,7,3,2,12,0.007937152232771486,0.0017152292941736717,4,7,1,12,0.0,0.0,,,12,12,-0.08333333333333333,0.0,2,1,9,12
screen_20260910,50,50,NOM,TIGHT,0.01,0.01,0.5,visits,12,0.0,0.0,0,0,12,12,0.0,0.0,1,1,10,12,-0.26256129912540077,-0.24702161346882293,7,4,1,12,0.05333333333333331,0.030000000000000027,3,7,2,12,-0.004495683270844542,-0.0029417249711889554,10,2,0,12,0.0,0.0,,,12,12,-0.3333333333333333,0.0,4,1,7,12
screen_20260910,50,50,TIGHT,NOM,0.01,0.01,0.5,visits,12,0.0,0.0,0,0,12,12,0.0,0.0,1,1,10,12,0.26256129912540077,0.24702161346882293,4,7,1,12,-0.05333333333333331,-0.030000000000000027,7,3,2,12,0.004495683270844542,0.0029417249711889554,2,10,0,12,0.0,0.0,,,12,12,0.3333333333333333,0.0,1,4,7,12
screen_20260910,50,100,NOM,HIST,0.01,0.01,0.5,visits,12,0.16666666666666666,0.0,2,0,10,12,-0.4166666666666667,0.0,5,1,6,12,-0.7503841190749166,-0.7032479717844646,8,4,0,12,0.34750000000000014,0.365,0,12,0,12,-0.008937660921697645,-0.009050757850498036,9,3,0,12,0.0,0.0,,,12,12,-1.5,-1.5,11,0,1,12
