campaign,rule,dataset_id,catalogue_size,n,arm,seed,solve_mode,status,native_status,solver_status,configured_time_limit,build_seconds,solve_seconds,process_elapsed,process_status,peak_rss_bytes,peak_rss_gib,reused_solve,objective,bound,gap,used_full_cap
ho3_20260913,two_sided,BERNER,21874,21874,NOM,11,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,360.77843290008605,1805.2593119000085,2182.407000000123,EXITED,3424555008,3.1893653869628906,False,761059,11517,0.9848671390785734,True
ho3_20260913,two_sided,BERNER,21874,21874,NOM,22,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,365.75057059992105,1805.0717468000948,2187.407000000123,EXITED,3370213376,3.1387557983398438,False,757351,11517,0.9847930484015998,True
ho3_20260913,two_sided,BERNER,21874,21874,NOM,33,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,358.42877369979396,1805.4815806001425,2180.155999999959,EXITED,3424751616,3.1895484924316406,False,743791,11517,0.9845158115653456,True
ho3_20260913,two_sided,BERNER,21874,21874,TIGHT,11,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,361.94624789990485,1805.0934112002142,2183.405999999959,EXITED,3369279488,3.1378860473632812,False,761196,11517,0.9848698626897672,True
ho3_20260913,two_sided,BERNER,21874,21874,TIGHT,22,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,360.07666999986395,1805.3083016998135,2181.6720000002533,EXITED,3424845824,3.18963623046875,False,761163,11517,0.9848692067270742,True
ho3_20260913,two_sided,BERNER,21874,21874,TIGHT,33,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,359.18945929966867,1805.5742338001728,2181.030999999959,EXITED,3394588672,3.161457061767578,False,763338,11517,0.9849123193133317,True
ho3_20260913,two_sided,BERNER,21874,21874,HIST+ACT,11,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,474.1386677999981,1807.8467343999073,2299.0460000000894,EXITED,4237598720,3.9465713500976562,False,764951,11517,0.9849441336765361,True
ho3_20260913,two_sided,BERNER,21874,21874,HIST+ACT,22,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,480.8274004999548,1807.6522253998555,2305.4840000001714,EXITED,4221808640,3.931865692138672,False,761979,11517,0.9848854102278409,True
ho3_20260913,two_sided,BERNER,21874,21874,HIST+ACT,33,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,480.2133432999253,1807.5098073999397,2305.092999999877,EXITED,4239884288,3.948699951171875,False,765856,11517,0.984961924957172,True
ho3_20260913,two_sided,BERNER,21874,21874,HIST+ACT-T,11,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,481.1364180999808,1807.7743571996689,2306.061999999918,EXITED,4252590080,3.9605331420898438,False,783089,11517,0.985292859432325,True
ho3_20260913,two_sided,BERNER,21874,21874,HIST+ACT-T,22,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,479.4431054000743,1807.533532500267,2304.219000000041,EXITED,4174655488,3.887950897216797,False,788928,11517,0.9854017096617181,True
ho3_20260913,two_sided,BERNER,21874,21874,HIST+ACT-T,33,visits,COMPLETE,HxSolutionStatus.FEASIBLE,FEASIBLE,1800,472.9260514997877,1808.2224330999888,2298.092999999877,EXITED,4252049408,3.9600296020507812,False,773500,11517,0.9851105365223012,True
