dataset_id,kind,catalogue_size,stations,orders,origin,n,horizon_multiple,arm,delta,nu,eligibility,scenarios,inactive_products,mean_lines_per_order,expected_block_lines,reference_eta,reference_eta_exact,reference_feasible_at_delta,smallest_grid_delta_admitting_reference,noise_scale_pp
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,500,1/2,NOM,0.01,0.01,,64,0,10.0257,5012.9,0.0,0,True,0,0.4237
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,500,1/2,TIGHT,0.01,0.01,,64,0,10.0257,5012.9,0.0,0,True,0,0.4237
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,500,1/2,HIST,0.01,0.01,,64,0,10.0257,5012.9,0.011672369073387546,4606726/394669323,False,0.02,0.4237
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,500,1/2,HIST+ACT,0.01,0.01,,64,0,10.0257,5012.9,0.011672369073387546,4606726/394669323,False,0.02,0.4237
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,1000,1,NOM,0.01,0.01,,32,0,10.0257,10025.7,0.0,0,True,0,0.2996
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,1000,1,TIGHT,0.01,0.01,,32,0,10.0257,10025.7,0.0,0,True,0,0.2996
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,1000,1,HIST,0.01,0.01,,32,0,10.0257,10025.7,0.007824511384402958,4937483/631027646,True,0.01,0.2996
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,1000,1,HIST+ACT,0.01,0.01,,32,0,10.0257,10025.7,0.007824511384402958,4937483/631027646,True,0.01,0.2996
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,2000,2,NOM,0.01,0.01,,16,0,10.0257,20051.4,0.0,0,True,0,0.2119
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,2000,2,TIGHT,0.01,0.01,,16,0,10.0257,20051.4,0.0,0,True,0,0.2119
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,2000,2,HIST,0.01,0.01,,16,0,10.0257,20051.4,0.005429207556380123,17177173/3163845335,True,0.01,0.2119
syn_1000sku_seed1001,synthetic,1000,10,45116,31581,2000,2,HIST+ACT,0.01,0.01,,16,0,10.0257,20051.4,0.005429207556380123,17177173/3163845335,True,0.01,0.2119
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,500,1/2,NOM,0.01,0.01,,55,0,9.9938,4996.9,0.0,0,True,0,0.4244
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,500,1/2,TIGHT,0.01,0.01,,55,0,9.9938,4996.9,0.0,0,True,0,0.4244
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,500,1/2,HIST,0.01,0.01,,55,0,9.9938,4996.9,0.014134153179770327,1181717/83607202,False,0.02,0.4244
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,500,1/2,HIST+ACT,0.01,0.01,,55,0,9.9938,4996.9,0.014134153179770327,1181717/83607202,False,0.02,0.4244
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,1000,1,NOM,0.01,0.01,,28,0,9.9938,9993.8,0.0,0,True,0,0.3001
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,1000,1,TIGHT,0.01,0.01,,28,0,9.9938,9993.8,0.0,0,True,0,0.3001
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,1000,1,HIST,0.01,0.01,,28,0,9.9938,9993.8,0.009215329896810466,891595/96751284,True,0.01,0.3001
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,1000,1,HIST+ACT,0.01,0.01,,28,0,9.9938,9993.8,0.009215329896810466,891595/96751284,True,0.01,0.3001
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,2000,2,NOM,0.01,0.01,,14,0,9.9938,19987.6,0.0,0,True,0,0.2122
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,2000,2,TIGHT,0.01,0.01,,14,0,9.9938,19987.6,0.0,0,True,0,0.2122
syn_1000sku_seed1002,synthetic,1000,10,38741,27118,2000,2,HIST,0.01,0.01,,14,0,9.9938,19987.6,0.004725092028829055,25694369/5437855780,True,0.005,0.2122
