dataset_id,catalogue_size,origin,n,source_arm,target_arm,seed,delta,nu,layout_from_status,eta_upper_bound,eta_upper_bound_exact,meets_declared_delta,structurally_valid,bound_kind
syn_50sku_seed1001,50,1737,50,NOM,NOM,11,0.01,0.01,COMPLETE,0.007214335582964859,31/4297,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_50sku_seed1001,50,1737,50,NOM,TIGHT,11,0.01,0.01,COMPLETE,0.007214335582964859,31/4297,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_50sku_seed1001,50,1737,50,NOM,HIST,11,0.01,0.01,COMPLETE,0.09513375876923703,822485/8645564,False,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_50sku_seed1001,50,1737,50,NOM,HIST+ACT,11,0.01,0.01,COMPLETE,0.09513375876923703,822485/8645564,False,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_500sku_seed1001,500,16830,500,NOM,NOM,11,0.01,0.01,COMPLETE,0.009981329460925229,1684/168715,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_500sku_seed1001,500,16830,500,NOM,TIGHT,11,0.01,0.01,COMPLETE,0.009981329460925229,1684/168715,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_500sku_seed1001,500,16830,500,NOM,HIST,11,0.01,0.01,COMPLETE,0.03277873693576041,2821541/86078393,False,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_500sku_seed1001,500,16830,500,NOM,HIST+ACT,11,0.01,0.01,COMPLETE,0.03277873693576041,2821541/86078393,False,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_500sku_seed1001,500,16830,500,HIST+ACT,NOM,11,0.01,0.01,COMPLETE,0.002975431941439706,502/168715,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_500sku_seed1001,500,16830,500,HIST+ACT,TIGHT,11,0.01,0.01,COMPLETE,0.002975431941439706,502/168715,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_500sku_seed1001,500,16830,500,HIST+ACT,HIST,11,0.01,0.01,COMPLETE,0.009806089378133513,8356548/852179465,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_500sku_seed1001,500,16830,500,HIST+ACT,HIST+ACT,11,0.01,0.01,COMPLETE,0.009806089378133513,8356548/852179465,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_2000sku_seed1001,2000,47345,2000,NOM,NOM,11,0.01,0.01,COMPLETE,0.009808742189198144,4648/473863,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_2000sku_seed1001,2000,47345,2000,NOM,TIGHT,11,0.01,0.01,COMPLETE,0.009808742189198144,4648/473863,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_2000sku_seed1001,2000,47345,2000,NOM,HIST,11,0.01,0.01,COMPLETE,0.016519356012295653,156112041/9450249809,False,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_2000sku_seed1001,2000,47345,2000,NOM,HIST+ACT,11,0.01,0.01,COMPLETE,0.016519356012295653,156112041/9450249809,False,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_2000sku_seed1001,2000,47345,2000,HIST+ACT,NOM,11,0.01,0.01,COMPLETE,0.007261592485591827,3441/473863,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_2000sku_seed1001,2000,47345,2000,HIST+ACT,TIGHT,11,0.01,0.01,COMPLETE,0.007261592485591827,3441/473863,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_2000sku_seed1001,2000,47345,2000,HIST+ACT,HIST,11,0.01,0.01,COMPLETE,0.009880101625243057,94493064/9563976929,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
syn_2000sku_seed1001,2000,47345,2000,HIST+ACT,HIST+ACT,11,0.01,0.01,COMPLETE,0.009880101625243057,94493064/9563976929,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
BERNER,21874,199403,21874,NOM,NOM,11,0.01,0.01,COMPLETE,0.009993569143872387,10676/1068287,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
BERNER,21874,199403,21874,NOM,TIGHT,11,0.01,0.01,COMPLETE,0.009993569143872387,10676/1068287,True,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
BERNER,21874,199403,21874,NOM,HIST,11,0.01,0.01,COMPLETE,0.03932822999841711,495175081/12590830582,False,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
BERNER,21874,199403,21874,NOM,HIST+ACT,11,0.01,0.01,COMPLETE,0.04852812818270356,61100944041/1259083058200,False,True,upper_bound_from_a_feasible_layout_never_an_infeasibility_proof
