dataset_id,origin,n,arm,seed,delta,nu,rule,station,station_index,capacity,occupancy,target,cap,future_share,residual,positive_excess,floor,floor_residual,below_floor,decrease,implied_lower_bound,historical_share,fixed_share,fixed_historical_share,inactive_count,inactive_share,worst_modelled_share,novelty_residual,beyond_worst_scenario,feasible,borderline,cap_relative_to_target,campaign
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_19,0,1134,1134,0.017338626099955404,0.037338626099955405,0.029988573363240085,-0.007350052736715319,0.0,0.0,-0.029988573363240085,False,0.0,0.0,0.026822895402955824,3.385670151085531e-05,4.8677541124671034e-05,10,6.771340302171062e-05,0.026822895402955824,0.0031656779602842605,True,True,False,2.1534939322586486,ho3_20260913
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_3,1,1880,1880,0.08029674457166905,0.10029674457166904,0.09799822252317068,-0.0022985220484983628,0.0,0.060296744571669045,-0.03770147795150164,False,0.0,0.0,0.10024354472994956,0.0002962461382199839,4.9462662755714114e-05,7,0.00030471031359769775,0.10024354472994956,-0.0022453222067788836,False,True,False,1.2490761002415105,ho3_20260913
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_18,2,1319,1319,0.06344567900459139,0.08344567900459139,0.08195861018240298,-0.001487068822188412,0.0,0.04344567900459139,-0.038512931177811585,False,0.0,0.0,0.08317421534944193,0.0,2.3553648931292436e-05,2,8.464175377713827e-06,0.08317421534944193,-0.0012156051670389563,False,True,False,1.3152302932805346,ho3_20260913
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_8,3,1432,1432,0.07769956221617853,0.09769956221617854,0.10011426636759914,0.0024147041514206062,0.0024147041514206062,0.05769956221617853,-0.04241470415142061,False,0.0,0.0,0.09751524706207486,2.539252613314148e-05,1.962804077607703e-05,2,8.464175377713827e-06,0.09751524706207486,0.00259901930552428,True,False,False,1.2574017076744304,ho3_20260913
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_5,4,1672,1672,0.07259784185766059,0.0925978418576606,0.10266198315629099,0.010064141298630409,0.010064141298630409,0.05259784185766059,-0.05006414129863041,False,0.0,0.0,0.09252579909679608,4.232087688856913e-05,3.611559502798174e-05,9,0.0005078505226628296,0.09252579909679608,0.010136184059494922,True,False,False,1.2754902830198882,ho3_20260913
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_15,5,112,112,0.03854005062464277,0.05854005062464277,0.01923060645816581,-0.039309444166476956,0.0,0.01854005062464277,-0.0006905558335230436,False,0.019309444166476956,0.0,0.018644283372380048,0.0,1.1776824465646218e-05,0,0.0,0.018644283372380048,0.000586323085785764,True,True,False,1.5189406779661017,ho3_20260913
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_24,6,97,97,0.041770041014754004,0.06177004101475401,0.022463921452452493,-0.03930611956230151,0.0,0.021770041014754004,-0.0006938804376984891,False,0.01930611956230151,0.0,0.021797331842649065,0.0,3.1404865241723247e-06,0,0.0,0.021797331842649065,0.0006665896098034316,True,True,False,1.4788120747340325,ho3_20260913
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_11,7,88,88,0.03125569213182506,0.05125569213182506,0.00951373312455034,-0.041741959007274725,0.0,0.011255692131825062,0.0017419590072747216,True,0.02174195900727472,0.0,0.011268850770361345,6.771340302171062e-05,0.0001421070152187977,1,8.464175377713827e-06,0.011268850770361345,-0.0017551176458110037,False,False,False,1.6398834463702587,ho3_20260913
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_10,8,286,286,0.05452041630289364,0.07452041630289365,0.07178467137839097,-0.002735744924502684,0.0,0.034520416302893646,-0.03726425507549731,False,0.0,0.0,0.0745151088806678,8.464175377713827e-06,1.5702432620861623e-06,0,0.0,0.0745151088806678,-0.0027304375022768326,False,True,False,1.3668350565939922,ho3_20260913
BERNER,243151,21874,NOM,11,0.02,0.01,two_sided,S_12,9,273,273,0.05675408734321121,0.07675408734321121,0.07303736933429261,-0.0037167180089186036,0.0,0.03675408734321121,-0.0362832819910814,False,0.0,0.0,0.07670716847454008,0.0,0.0,0,0.0,0.07670716847454008,-0.003669799140247469,False,True,False,1.352397526526208,ho3_20260913
