campaign,rule,stage,dataset_id,arm,n,allocation_returned,authorized_rows,retries,scored,status:COMPLETE,status:NUMERICAL_ISSUE,status:NO_INCUMBENT_LIMIT
ho3_20260913,two_sided,holdout,BERNER,HIST+ACT,21874,3,3,0,3,3,,
ho3_20260913,two_sided,holdout,BERNER,HIST+ACT-T,21874,3,3,0,3,3,,
ho3_20260913,two_sided,holdout,BERNER,NOM,21874,3,3,0,3,3,,
ho3_20260913,two_sided,holdout,BERNER,TIGHT,21874,3,3,0,3,3,,
pilot_20260910b,upper_only,pilot,BERNER,HIST+ACT,21874,0,1,0,0,,1,
pilot_20260910b,upper_only,pilot,BERNER,NOM,21874,1,1,0,1,1,,
pilot_20260910b,upper_only,pilot,syn_2000sku_seed1001,HIST+ACT,2000,1,1,0,1,1,,
pilot_20260910b,upper_only,pilot,syn_2000sku_seed1001,NOM,2000,1,1,0,1,1,,
pilot_20260910b,upper_only,pilot,syn_500sku_seed1001,HIST+ACT,500,1,1,0,1,1,,
pilot_20260910b,upper_only,pilot,syn_500sku_seed1001,NOM,500,1,1,0,1,1,,
pilot_20260910b,upper_only,pilot,syn_50sku_seed1001,HIST+ACT,50,0,1,0,0,,,1
pilot_20260910b,upper_only,pilot,syn_50sku_seed1001,NOM,50,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,HIST,10937,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,HIST,21874,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,HIST,43748,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,HIST+ACT,10937,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,HIST+ACT,21874,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,HIST+ACT,43748,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,NOM,10937,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,NOM,21874,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,NOM,43748,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,TIGHT,10937,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,TIGHT,21874,1,1,0,1,1,,
screen_20260910,upper_only,screen,BERNER,TIGHT,43748,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,HIST,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,HIST,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,HIST,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,HIST+ACT,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,HIST+ACT,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,HIST+ACT,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,NOM,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,NOM,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,NOM,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,TIGHT,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,TIGHT,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1001,TIGHT,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,HIST,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,HIST,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,HIST,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,HIST+ACT,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,HIST+ACT,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,HIST+ACT,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,NOM,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,NOM,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,NOM,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,TIGHT,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,TIGHT,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1002,TIGHT,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,HIST,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,HIST,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,HIST,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,HIST+ACT,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,HIST+ACT,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,HIST+ACT,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,NOM,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,NOM,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,NOM,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,TIGHT,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,TIGHT,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1003,TIGHT,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,HIST,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,HIST,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,HIST,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,HIST+ACT,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,HIST+ACT,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,HIST+ACT,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,NOM,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,NOM,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,NOM,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,TIGHT,500,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,TIGHT,1000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_1000sku_seed1004,TIGHT,2000,1,1,0,1,1,,
screen_20260910,upper_only,screen,syn_2000sku_seed1001,HIST,1000,1,1,0,1,1,,
