campaign,dataset_id,origin,n,arm,delta,nu,tightening,rule,layout,joint_pass,cap_violation_count,floor_violation_count,worst_excess_pp,stations_above_worst_scenario,stations_below_lowest_scenario,maximum_novelty_excess,maximum_novelty_shortfall,stations_outside_modelled_set,station_count,activation_mass,effective_nu,stored_fields_reproduced
ts_b01_20260912,BERNER,199403,10937,NOM,0.01,0.01,0.5,two_sided,optimised,False,4,6,0.3125156299026683,11,13,0.013998200131313506,0.0090409321234433,24,24,0.0024865402495189083,0.0,True
ts_b01_20260912,BERNER,199403,10937,NOM,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.35043850941875726,10,14,0.013504385094187572,0.005338087380746706,24,24,0.0024865402495189083,0.0,True
ts_b01_20260912,BERNER,199403,10937,TIGHT,0.01,0.01,0.5,two_sided,optimised,True,0,0,0.0,8,16,0.01431745666185767,0.006123138156975021,24,24,0.0024865402495189083,0.0,True
ts_b01_20260912,BERNER,199403,10937,TIGHT,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.35043850941875726,10,14,0.013504385094187572,0.005338087380746706,24,24,0.0024865402495189083,0.0,True
ts_b01_20260912,BERNER,199403,10937,HIST,0.01,0.01,0.5,two_sided,optimised,False,2,4,0.18819592506528726,2,6,0.001999595690080723,0.0012400162162823267,8,24,0.0024865402495189083,0.0,True
ts_b01_20260912,BERNER,199403,10937,HIST,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.35043850941875726,1,3,0.00020521352701498974,0.0017081390958229709,4,24,0.0024865402495189083,0.0,True
ts_b01_20260912,BERNER,199403,10937,HIST+ACT,0.01,0.01,0.5,two_sided,optimised,False,0,1,0.004417890770273618,0,6,0.0,0.0018904674461212708,6,24,0.0024865402495189083,0.01,True
ts_b01_20260912,BERNER,199403,10937,HIST+ACT,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.35043850941875726,0,3,0.0,0.001429646647328362,3,24,0.0024865402495189083,0.01,True
ts_b01_20260912,BERNER,199403,21874,NOM,0.01,0.01,0.5,two_sided,optimised,False,3,4,0.44913657395853795,10,14,0.014589869792449027,0.009191789642217672,24,24,0.003658524157469402,0.0,True
ts_b01_20260912,BERNER,199403,21874,NOM,0.01,0.01,0.5,two_sided,incumbent,False,1,0,0.336110534345922,7,17,0.01336110534345922,0.003969403127381708,24,24,0.003658524157469402,0.0,True
