fold,arm,gamma,station,ratio_norm
1,gamma0,0,ST_01.01,37.12906231833368
1,gamma0,0,ST_01.02,39.652976632314974
1,gamma0,0,ST_01.03,44.72939243311523
1,gamma0,0,ST_01.04,39.28206196914381
1,gamma0,0,ST_01.05,45.134080303327224
1,gamma0,0,ST_01.06,21.40454201350105
1,gamma0,0,ST_01.07,32.28762443980424
1,gamma0,0,ST_01.08,30.85410336454705
1,gamma0,0,ST_01.09,37.82079199544053
1,gamma0,0,ST_01.10,38.51433096489441
1,gamma0,0,ST_01.11,44.193360114032096
1,gamma0,0,ST_01.12,9.046714375516881
1,gamma0,0,ST_01.13,9.409591322040631
1,gamma0,0,ST_01.21,42.70099711826214
1,gamma0,0,ST_01.22,38.04403660158675
1,gamma0,0,ST_01.23,16.750276923029094
1,gamma0,0,ST_01.24,30.89284632677988
1,gamma0,0,ST_01.25,43.06169477129458
1,gamma0,0,ST_01.26,30.38247274661233
1,gamma0,0,ST_01.27,31.742127137486577
1,gamma0,0,ST_01.28,42.46759575792734
1,gamma0,0,ST_01.30,38.274914749316345
1,gamma0,0,ST_01.31,27.752804813186415
1,gamma0,0,ST_01.E4,15.509550635858115
1,gamma1,1,ST_01.01,31.117061124439786
1,gamma1,1,ST_01.02,37.9866373391013
1,gamma1,1,ST_01.03,43.84109667937524
1,gamma1,1,ST_01.04,38.15971734145398
1,gamma1,1,ST_01.05,43.50634561451673
1,gamma1,1,ST_01.06,17.3624825774751
1,gamma1,1,ST_01.07,26.96510119699808
1,gamma1,1,ST_01.08,31.460737838126345
1,gamma1,1,ST_01.09,36.25965338503684
1,gamma1,1,ST_01.10,39.96308694159049
1,gamma1,1,ST_01.11,45.03968520337521
1,gamma1,1,ST_01.12,8.284885796525986
1,gamma1,1,ST_01.13,27.611986730073504
1,gamma1,1,ST_01.21,40.82950186860769
1,gamma1,1,ST_01.22,34.76092145349199
1,gamma1,1,ST_01.23,19.269115558071068
1,gamma1,1,ST_01.24,31.89701150374977
1,gamma1,1,ST_01.25,37.51946140530239
1,gamma1,1,ST_01.26,39.33445132373916
1,gamma1,1,ST_01.27,24.6585402612079
1,gamma1,1,ST_01.28,46.40180432016457
1,gamma1,1,ST_01.30,34.48835901208451
1,gamma1,1,ST_01.31,26.819524651327054
1,gamma1,1,ST_01.E4,14.566402286380253
1,gamma2,2,ST_01.01,36.402336899291555
1,gamma2,2,ST_01.02,43.265836161849066
1,gamma2,2,ST_01.03,43.85960284091151
1,gamma2,2,ST_01.04,42.54496078366471
1,gamma2,2,ST_01.05,43.75919760501157
1,gamma2,2,ST_01.06,12.677368231172293
1,gamma2,2,ST_01.07,28.04605514476445
1,gamma2,2,ST_01.08,32.08422326930507
1,gamma2,2,ST_01.09,37.496782095168065
1,gamma2,2,ST_01.10,35.36281634026332
1,gamma2,2,ST_01.11,45.896860614376585
1,gamma2,2,ST_01.12,6.189857204301024
1,gamma2,2,ST_01.13,19.96669378091549
1,gamma2,2,ST_01.21,39.902339084375235
1,gamma2,2,ST_01.22,29.923965548283658
1,gamma2,2,ST_01.23,31.701383392456776
1,gamma2,2,ST_01.24,33.80689429131997
1,gamma2,2,ST_01.25,36.02451687894923
1,gamma2,2,ST_01.26,32.606903786989285
1,gamma2,2,ST_01.27,27.664278476277506
1,gamma2,2,ST_01.28,46.554801319807126
1,gamma2,2,ST_01.30,38.17257540506684
1,gamma2,2,ST_01.31,28.145764881337726
1,gamma2,2,ST_01.E4,11.422574454787396
