fold,arm,gamma,station,ratio_norm
3,gamma0,0,ST_01.01,28.326962074945108
3,gamma0,0,ST_01.02,32.30639237550232
3,gamma0,0,ST_01.03,33.47502597662837
3,gamma0,0,ST_01.04,32.764113488136545
3,gamma0,0,ST_01.05,32.49914342670168
3,gamma0,0,ST_01.06,28.07209827781438
3,gamma0,0,ST_01.07,27.33687315362384
3,gamma0,0,ST_01.08,30.525784705329333
3,gamma0,0,ST_01.09,29.87933764621954
3,gamma0,0,ST_01.10,31.653378550098473
3,gamma0,0,ST_01.11,28.574930822500445
3,gamma0,0,ST_01.12,11.22872144284839
3,gamma0,0,ST_01.13,18.904445346547977
3,gamma0,0,ST_01.21,30.226127279412534
3,gamma0,0,ST_01.22,27.83257037303607
3,gamma0,0,ST_01.23,29.49832826754822
3,gamma0,0,ST_01.24,28.408321075036536
3,gamma0,0,ST_01.25,25.332947782196584
3,gamma0,0,ST_01.26,27.002637949127564
3,gamma0,0,ST_01.27,31.534037801517485
3,gamma0,0,ST_01.28,34.26195956222222
3,gamma0,0,ST_01.30,36.853083871835786
3,gamma0,0,ST_01.31,25.837360062764795
3,gamma0,0,ST_01.E4,17.107587309655422
