fold,arm,gamma,station,ratio_norm
3,gamma0,0,ST_01.01,30.19509281743811
3,gamma0,0,ST_01.02,34.42988946900997
3,gamma0,0,ST_01.03,41.492078264673246
3,gamma0,0,ST_01.04,39.04857988640428
3,gamma0,0,ST_01.05,42.17100909478727
3,gamma0,0,ST_01.06,27.249849174940184
3,gamma0,0,ST_01.07,22.892095654835153
3,gamma0,0,ST_01.08,22.67251678904241
3,gamma0,0,ST_01.09,39.912338828049045
3,gamma0,0,ST_01.10,30.207954302756484
3,gamma0,0,ST_01.11,37.00002197345006
3,gamma0,0,ST_01.12,4.990542863488173
3,gamma0,0,ST_01.13,6.60260154100491
3,gamma0,0,ST_01.21,40.10207407937672
3,gamma0,0,ST_01.22,28.45275952641431
3,gamma0,0,ST_01.23,14.981909564289534
3,gamma0,0,ST_01.24,18.335512611982974
3,gamma0,0,ST_01.25,18.46883656327053
3,gamma0,0,ST_01.26,24.49475936097702
3,gamma0,0,ST_01.27,25.609120636673154
3,gamma0,0,ST_01.28,40.20300642233818
3,gamma0,0,ST_01.30,39.61154823350014
3,gamma0,0,ST_01.31,25.889609526996882
3,gamma0,0,ST_01.E4,10.17771184107419
3,gamma1,1,ST_01.01,27.945710903007754
3,gamma1,1,ST_01.02,32.42179982623642
3,gamma1,1,ST_01.03,37.56020560147013
3,gamma1,1,ST_01.04,32.44920558582683
3,gamma1,1,ST_01.05,30.5815181124232
3,gamma1,1,ST_01.06,24.680320728458305
3,gamma1,1,ST_01.07,28.100539623214384
3,gamma1,1,ST_01.08,25.89476943259325
3,gamma1,1,ST_01.09,35.29457959776389
3,gamma1,1,ST_01.10,29.812463629216676
3,gamma1,1,ST_01.11,31.02289919565771
3,gamma1,1,ST_01.12,23.403925152910052
3,gamma1,1,ST_01.13,20.006103000775724
3,gamma1,1,ST_01.21,30.099728642894238
3,gamma1,1,ST_01.22,28.832467171339783
3,gamma1,1,ST_01.23,27.938071862981804
3,gamma1,1,ST_01.24,28.61465420928903
3,gamma1,1,ST_01.25,26.133915984133683
3,gamma1,1,ST_01.26,31.46872310610794
3,gamma1,1,ST_01.27,25.375119168867293
3,gamma1,1,ST_01.28,31.79325271161092
3,gamma1,1,ST_01.30,27.970828627276568
3,gamma1,1,ST_01.31,27.666091310887694
3,gamma1,1,ST_01.E4,10.299288603680878
3,gamma2,2,ST_01.01,24.85757641031521
3,gamma2,2,ST_01.02,34.88382544189749
3,gamma2,2,ST_01.03,32.29366056635404
3,gamma2,2,ST_01.04,34.60564013425202
3,gamma2,2,ST_01.05,31.91296974984798
3,gamma2,2,ST_01.06,27.73163575865552
3,gamma2,2,ST_01.07,27.020667506059002
3,gamma2,2,ST_01.08,28.081853956356007
3,gamma2,2,ST_01.09,29.06275354241524
3,gamma2,2,ST_01.10,33.01876301827172
3,gamma2,2,ST_01.11,35.464941806116
3,gamma2,2,ST_01.12,21.467938697246534
3,gamma2,2,ST_01.13,18.214073216565264
3,gamma2,2,ST_01.21,30.352525915930833
3,gamma2,2,ST_01.22,29.389371717230432
3,gamma2,2,ST_01.23,23.757274314834255
3,gamma2,2,ST_01.24,25.378975513056744
3,gamma2,2,ST_01.25,30.120129826332263
3,gamma2,2,ST_01.26,28.265165868504706
3,gamma2,2,ST_01.27,30.85075351552438
3,gamma2,2,ST_01.28,28.378592768709296
3,gamma2,2,ST_01.30,24.82617925497919
3,gamma2,2,ST_01.31,25.78511059853271
3,gamma2,2,ST_01.E4,8.197747421479553
3,gamma4,4,ST_01.01,23.980698714859308
3,gamma4,4,ST_01.02,37.045791685649846
3,gamma4,4,ST_01.03,31.707486889500377
3,gamma4,4,ST_01.04,33.921057737926574
3,gamma4,4,ST_01.05,32.850847632813874
3,gamma4,4,ST_01.06,31.997052979815425
3,gamma4,4,ST_01.07,27.718706388419115
3,gamma4,4,ST_01.08,25.661272864219992
3,gamma4,4,ST_01.09,32.93078350780403
3,gamma4,4,ST_01.10,29.638259403966977
3,gamma4,4,ST_01.11,34.128759069100994
3,gamma4,4,ST_01.12,18.628491895606718
3,gamma4,4,ST_01.13,13.352090769240183
3,gamma4,4,ST_01.21,34.009659799194026
3,gamma4,4,ST_01.22,22.693860245044867
3,gamma4,4,ST_01.23,20.49883828761825
3,gamma4,4,ST_01.24,30.255940504479316
3,gamma4,4,ST_01.25,33.35194338531101
3,gamma4,4,ST_01.26,25.937648411693754
3,gamma4,4,ST_01.27,29.849227233315297
3,gamma4,4,ST_01.28,32.13933311122932
3,gamma4,4,ST_01.30,26.26058072304466
3,gamma4,4,ST_01.31,20.952035157065087
3,gamma4,4,ST_01.E4,8.892471779232054
