fold,arm,gamma,station,ratio_norm
0,gamma0,0,ST_01.01,24.75270974393269
0,gamma0,0,ST_01.02,31.472232941712303
0,gamma0,0,ST_01.03,30.4361756041735
0,gamma0,0,ST_01.04,31.04195503078165
0,gamma0,0,ST_01.05,28.973841619706203
0,gamma0,0,ST_01.06,24.319341606180863
0,gamma0,0,ST_01.07,19.35169387613108
0,gamma0,0,ST_01.08,27.378523514429407
0,gamma0,0,ST_01.09,28.44534205623382
0,gamma0,0,ST_01.10,31.810547512632905
0,gamma0,0,ST_01.11,29.437042931907943
0,gamma0,0,ST_01.12,7.850832632561043
0,gamma0,0,ST_01.13,18.697737654001745
0,gamma0,0,ST_01.21,29.37190640245504
0,gamma0,0,ST_01.22,29.66792926632396
0,gamma0,0,ST_01.23,29.60444783655984
0,gamma0,0,ST_01.24,20.3211622686274
0,gamma0,0,ST_01.25,29.243606232427023
0,gamma0,0,ST_01.26,24.902612935133178
0,gamma0,0,ST_01.27,17.33484447116169
0,gamma0,0,ST_01.28,30.942213764607366
0,gamma0,0,ST_01.30,28.23275610235467
0,gamma0,0,ST_01.31,23.213067511056487
0,gamma0,0,ST_01.E4,5.769214904391422
0,gamma1,1,ST_01.01,26.91531491103418
0,gamma1,1,ST_01.02,30.387580367369136
0,gamma1,1,ST_01.03,32.0325276980153
0,gamma1,1,ST_01.04,28.80584597214141
0,gamma1,1,ST_01.05,31.29648140568309
0,gamma1,1,ST_01.06,23.282622404627748
0,gamma1,1,ST_01.07,25.495211111453308
0,gamma1,1,ST_01.08,27.68250416040752
0,gamma1,1,ST_01.09,29.195406623905885
0,gamma1,1,ST_01.10,29.35333607391603
0,gamma1,1,ST_01.11,26.601443197429493
0,gamma1,1,ST_01.12,21.53577024895185
0,gamma1,1,ST_01.13,14.637632177155997
0,gamma1,1,ST_01.21,28.78987287147929
0,gamma1,1,ST_01.22,28.351358545082828
0,gamma1,1,ST_01.23,21.638592394593942
0,gamma1,1,ST_01.24,22.351887587737327
0,gamma1,1,ST_01.25,30.00990469602462
0,gamma1,1,ST_01.26,25.86686782144517
0,gamma1,1,ST_01.27,25.66744646003278
0,gamma1,1,ST_01.28,29.052612924020668
0,gamma1,1,ST_01.30,22.91571184965657
0,gamma1,1,ST_01.31,23.51152123619865
0,gamma1,1,ST_01.E4,8.847525579329856
1,gamma0,0,ST_01.01,30.00489730132921
1,gamma0,0,ST_01.02,28.899489048151747
1,gamma0,0,ST_01.03,30.80878725087968
1,gamma0,0,ST_01.04,27.20400882895729
1,gamma0,0,ST_01.05,26.34896374114594
1,gamma0,0,ST_01.06,25.728125163414823
1,gamma0,0,ST_01.07,24.46422024284512
1,gamma0,0,ST_01.08,23.08656705785977
1,gamma0,0,ST_01.09,26.158280300394463
1,gamma0,0,ST_01.10,24.899326856458565
1,gamma0,0,ST_01.11,26.83405498554905
1,gamma0,0,ST_01.12,23.534387494427683
1,gamma0,0,ST_01.13,16.09236100547369
1,gamma0,0,ST_01.21,30.697242599673206
1,gamma0,0,ST_01.22,24.978313168711743
1,gamma0,0,ST_01.23,29.706553152026224
1,gamma0,0,ST_01.24,23.24799900791512
1,gamma0,0,ST_01.25,25.07157427072112
1,gamma0,0,ST_01.26,26.25647081008652
1,gamma0,0,ST_01.27,25.657086413796524
1,gamma0,0,ST_01.28,26.42875172254645
1,gamma0,0,ST_01.30,29.685994983754924
1,gamma0,0,ST_01.31,26.24573727604872
1,gamma0,0,ST_01.E4,5.721262088538383
2,gamma0,0,ST_01.01,29.65786132106253
2,gamma0,0,ST_01.02,31.60183880043024
2,gamma0,0,ST_01.03,31.89854993475701
2,gamma0,0,ST_01.04,31.043622274098624
2,gamma0,0,ST_01.05,30.874445519829788
2,gamma0,0,ST_01.06,28.45202447276993
2,gamma0,0,ST_01.07,26.23195155498424
2,gamma0,0,ST_01.08,23.728335596578177
2,gamma0,0,ST_01.09,30.18972472650027
2,gamma0,0,ST_01.10,28.995991620599057
2,gamma0,0,ST_01.11,27.76230156025056
2,gamma0,0,ST_01.12,19.26007580099676
2,gamma0,0,ST_01.13,24.92831901672731
2,gamma0,0,ST_01.21,27.79824290431545
2,gamma0,0,ST_01.22,23.46218251621862
2,gamma0,0,ST_01.23,27.77668768557277
2,gamma0,0,ST_01.24,29.69420355812991
2,gamma0,0,ST_01.25,18.23169752156912
2,gamma0,0,ST_01.26,26.096022564526915
2,gamma0,0,ST_01.27,27.611473164552155
2,gamma0,0,ST_01.28,25.606238304832363
2,gamma0,0,ST_01.30,34.934357127211655
2,gamma0,0,ST_01.31,28.41614411843682
2,gamma0,0,ST_01.E4,5.971952527620711
3,gamma0,0,ST_01.01,28.326962074945108
3,gamma0,0,ST_01.02,32.30639237550232
3,gamma0,0,ST_01.03,33.47502597662837
3,gamma0,0,ST_01.04,32.764113488136545
3,gamma0,0,ST_01.05,32.49914342670168
3,gamma0,0,ST_01.06,28.07209827781438
3,gamma0,0,ST_01.07,27.33687315362384
3,gamma0,0,ST_01.08,30.525784705329333
3,gamma0,0,ST_01.09,29.87933764621954
3,gamma0,0,ST_01.10,31.653378550098477
3,gamma0,0,ST_01.11,28.574930822500445
3,gamma0,0,ST_01.12,11.22872144284839
3,gamma0,0,ST_01.13,18.904445346547977
3,gamma0,0,ST_01.21,30.22612727941253
3,gamma0,0,ST_01.22,27.83257037303607
3,gamma0,0,ST_01.23,29.49832826754822
3,gamma0,0,ST_01.24,28.408321075036536
3,gamma0,0,ST_01.25,25.332947782196584
3,gamma0,0,ST_01.26,27.002637949127564
3,gamma0,0,ST_01.27,31.534037801517485
3,gamma0,0,ST_01.28,34.26195956222222
3,gamma0,0,ST_01.30,36.853083871835786
3,gamma0,0,ST_01.31,25.837360062764795
3,gamma0,0,ST_01.E4,17.107587309655422
