fold,arm,gamma,alpha,solver_obj,solver_bound,solver_gap,solve_time,feasible_model,c_fit_q90,V_tr,V_te,cap_broken,wl_broken_asrun,max_workload_te,Tn,viol_norm,max_ratio_norm,imbalance,X,robust_lhs_max,robust_ok,PoR_pct,G_pct,proven_infeasible,beta,T_s_train
0,gamma0,0.0,1.0,18293.0,375.0,0.9795003553271744,623.1382493972778,True,4.552088079646643,386825.0,67845.0,0.0,24.0,182.80531468531464,0.6956411522150983,24.0,31.810547512632905,34.9916022638962,0.953406665768041,47.69571125172413,True,0.0,0.0,,,
0,gamma1,1.0,1.0,23458.0,490.0,0.979111603717282,630.3633103370667,True,4.552088079646643,425333.0,74714.0,0.0,24.0,173.11118881118878,0.6956411522150983,24.0,32.0325276980153,35.23578046781683,0.9550185049241058,26.113444916783227,True,9.954889161765657,-10.1245486034343,,,
0,gamma2,2.0,1.0,inf,,,630.9626212120056,False,4.552088079646643,,,,,,,,,,,,,,,False,,
0,gamma4,4.0,1.0,inf,,,629.8298714160919,False,4.552088079646643,,,,,,,,,,,,,,,False,,
0,tight1.02,,,inf,,,621.6336226463318,False,4.552088079646643,,,,,,,,,,,,,,,,1.02,13.0
0,tight1.05,,,inf,,,621.761798620224,False,4.552088079646643,,,,,,,,,,,,,,,,1.05,13.0
1,gamma0,0.0,1.0,19344.0,1021.0,0.947218775847808,625.7669847011566,True,4.343134005462523,457667.0,32889.0,0.0,23.0,82.82517482517483,0.3512787254927438,24.0,30.80878725087968,33.88966597596765,0.9535342552498036,28.95670834825178,True,0.0,0.0,,,
1,gamma1,1.0,1.0,inf,,,632.6119797229767,False,4.343134005462523,,,,,,,,,,,,,,,False,,
1,gamma2,2.0,1.0,inf,,,632.8230338096619,False,4.343134005462523,,,,,,,,,,,,,,,False,,
1,gamma4,4.0,1.0,inf,,,633.725860118866,False,4.343134005462523,,,,,,,,,,,,,,,False,,
1,tight1.02,,,inf,,,624.6086027622223,False,4.343134005462523,,,,,,,,,,,,,,,,1.02,13.0
1,tight1.05,,,inf,,,623.7707748413086,False,4.343134005462523,,,,,,,,,,,,,,,,1.05,14.0
2,gamma0,0.0,1.0,20246.0,1243.0,0.938605156574138,627.3007988929749,True,4.258889582937576,481931.0,30672.0,0.0,23.0,79.30839160839164,0.3076000774336454,24.0,34.934357127211655,38.42779283993282,0.9572816669960996,28.93496493216781,True,0.0,0.0,,,
2,gamma1,1.0,1.0,inf,,,635.6435658931732,False,4.258889582937576,,,,,,,,,,,,,,,False,,
2,gamma2,2.0,1.0,inf,,,635.5750370025635,False,4.258889582937576,,,,,,,,,,,,,,,False,,
2,gamma4,4.0,1.0,inf,,,635.7038979530334,False,4.258889582937576,,,,,,,,,,,,,,,False,,
2,tight1.02,,,inf,,,626.5506575107574,False,4.258889582937576,,,,,,,,,,,,,,,,1.02,13.0
2,tight1.05,,,inf,,,626.7541768550873,False,4.258889582937576,,,,,,,,,,,,,,,,1.05,13.0
3,gamma0,0.0,1.0,21254.0,764.0,0.9640538251623224,629.5288813114166,True,4.387014122927727,518429.0,55438.0,0.0,24.0,158.80185676392574,0.5235990900712453,24.0,36.853083871835786,40.53839225901937,0.9631878648580452,28.426847702097916,True,0.0,0.0,,,
3,gamma1,1.0,1.0,inf,,,636.6693968772888,False,4.387014122927727,,,,,,,,,,,,,,,False,,
3,gamma2,2.0,1.0,inf,,,637.537517786026,False,4.387014122927727,,,,,,,,,,,,,,,False,,
3,gamma4,4.0,1.0,inf,,,637.6223633289337,False,4.387014122927727,,,,,,,,,,,,,,,False,,
3,tight1.02,,,inf,,,628.4207453727722,False,4.387014122927727,,,,,,,,,,,,,,,,1.02,13.0
3,tight1.05,,,inf,,,627.7333207130432,False,4.387014122927727,,,,,,,,,,,,,,,,1.05,13.0
