fold,arm,gamma,station,ratio_norm
0,gamma0,0,ST_01.01,26.28998329645061
0,gamma0,0,ST_01.02,31.512618941820826
0,gamma0,0,ST_01.03,31.51213098019904
0,gamma0,0,ST_01.04,35.573689358748425
0,gamma0,0,ST_01.05,30.57415911299322
0,gamma0,0,ST_01.06,27.59066984301444
0,gamma0,0,ST_01.07,18.399718495249903
0,gamma0,0,ST_01.08,23.91989927574501
0,gamma0,0,ST_01.09,29.21063636132055
0,gamma0,0,ST_01.10,28.974764268807004
0,gamma0,0,ST_01.11,27.416517251213016
0,gamma0,0,ST_01.12,4.177507272371931
0,gamma0,0,ST_01.13,20.44221045430406
0,gamma0,0,ST_01.21,30.66762390593679
0,gamma0,0,ST_01.22,21.723416900478533
0,gamma0,0,ST_01.23,23.50786029681313
0,gamma0,0,ST_01.24,19.410117690533568
0,gamma0,0,ST_01.25,28.50492212787799
0,gamma0,0,ST_01.26,28.16062565706612
0,gamma0,0,ST_01.27,20.85993310633234
0,gamma0,0,ST_01.28,31.754151625796965
0,gamma0,0,ST_01.30,29.318631337060616
0,gamma0,0,ST_01.31,23.03067912346961
0,gamma0,0,ST_01.E4,5.517924237049508
0,gamma1,1,ST_01.01,22.92882586806396
0,gamma1,1,ST_01.02,30.329886081499843
0,gamma1,1,ST_01.03,29.866552169807047
0,gamma1,1,ST_01.04,30.922922609409166
0,gamma1,1,ST_01.05,27.703550691182667
0,gamma1,1,ST_01.06,26.4058478983823
0,gamma1,1,ST_01.07,26.054063055695288
0,gamma1,1,ST_01.08,28.63497685113897
0,gamma1,1,ST_01.09,30.39474844531048
0,gamma1,1,ST_01.10,27.9056494488232
0,gamma1,1,ST_01.11,26.991820770557386
0,gamma1,1,ST_01.12,6.302273902285242
0,gamma1,1,ST_01.13,15.239785224976083
0,gamma1,1,ST_01.21,25.782699628104563
0,gamma1,1,ST_01.22,22.030015561589483
0,gamma1,1,ST_01.23,25.75362385424962
0,gamma1,1,ST_01.24,26.733247009104637
0,gamma1,1,ST_01.25,27.849081100474663
0,gamma1,1,ST_01.26,26.422044877200573
0,gamma1,1,ST_01.27,28.466038333474703
0,gamma1,1,ST_01.28,27.08181829731499
0,gamma1,1,ST_01.30,23.40248350659372
0,gamma1,1,ST_01.31,20.510403222269197
0,gamma1,1,ST_01.E4,8.344944244646031
0,gamma2,2,ST_01.01,24.88298716363759
0,gamma2,2,ST_01.02,28.627904648354992
0,gamma2,2,ST_01.03,31.27302978552669
0,gamma2,2,ST_01.04,30.884662188253724
0,gamma2,2,ST_01.05,28.82439562811521
0,gamma2,2,ST_01.06,26.95905520341275
0,gamma2,2,ST_01.07,23.321469755918965
0,gamma2,2,ST_01.08,27.87164767346058
0,gamma2,2,ST_01.09,31.39991111467813
0,gamma2,2,ST_01.10,26.885608751723897
0,gamma2,2,ST_01.11,29.085274129748736
0,gamma2,2,ST_01.12,23.48047191022844
0,gamma2,2,ST_01.13,14.943136297005893
0,gamma2,2,ST_01.21,29.261042872745374
0,gamma2,2,ST_01.22,23.20230455995487
0,gamma2,2,ST_01.23,23.27667875413585
0,gamma2,2,ST_01.24,24.876385159096586
0,gamma2,2,ST_01.25,27.849081100474653
0,gamma2,2,ST_01.26,22.294741765334845
0,gamma2,2,ST_01.27,22.590890608190307
0,gamma2,2,ST_01.28,28.77950655252963
0,gamma2,2,ST_01.30,21.155845089960728
0,gamma2,2,ST_01.31,21.98609108547207
0,gamma2,2,ST_01.E4,17.967282714946784
0,gamma4,4,ST_01.01,20.427499409729712
0,gamma4,4,ST_01.02,29.31446665019987
0,gamma4,4,ST_01.03,30.267398290287137
0,gamma4,4,ST_01.04,26.561234597688838
0,gamma4,4,ST_01.05,29.988828979261807
0,gamma4,4,ST_01.06,25.94411581701832
0,gamma4,4,ST_01.07,25.86906379139449
0,gamma4,4,ST_01.08,29.209162515764305
0,gamma4,4,ST_01.09,27.299304315780542
0,gamma4,4,ST_01.10,27.986271222133457
0,gamma4,4,ST_01.11,28.02996772327112
0,gamma4,4,ST_01.12,22.58014706704483
0,gamma4,4,ST_01.13,14.951991488885598
0,gamma4,4,ST_01.21,27.161564778868552
0,gamma4,4,ST_01.22,26.962646962403824
0,gamma4,4,ST_01.23,24.980816983014133
0,gamma4,4,ST_01.24,21.990251572005427
0,gamma4,4,ST_01.25,28.68441546169365
0,gamma4,4,ST_01.26,28.31402984352485
0,gamma4,4,ST_01.27,27.840619382073463
0,gamma4,4,ST_01.28,25.79009897269517
0,gamma4,4,ST_01.30,22.316608271887773
0,gamma4,4,ST_01.31,22.500094723216897
0,gamma4,4,ST_01.E4,18.39657093832255
1,gamma0,0,ST_01.01,20.57153943765374
1,gamma0,0,ST_01.02,35.97527664446509
1,gamma0,0,ST_01.03,27.73059690164259
1,gamma0,0,ST_01.04,33.65297116200339
1,gamma0,0,ST_01.05,34.39968928024551
1,gamma0,0,ST_01.06,17.74254407436086
1,gamma0,0,ST_01.07,26.34950366395859
1,gamma0,0,ST_01.08,14.942461492725316
1,gamma0,0,ST_01.09,29.04102955798899
1,gamma0,0,ST_01.10,33.53128064266036
1,gamma0,0,ST_01.11,27.39658191725747
1,gamma0,0,ST_01.12,5.450743697619491
1,gamma0,0,ST_01.13,4.083299765334481
1,gamma0,0,ST_01.21,34.21411163727899
1,gamma0,0,ST_01.22,22.129578056570143
1,gamma0,0,ST_01.23,29.449576048635
1,gamma0,0,ST_01.24,14.538736601462244
1,gamma0,0,ST_01.25,25.75181078194224
1,gamma0,0,ST_01.26,28.34316254194616
1,gamma0,0,ST_01.27,19.42069836215592
1,gamma0,0,ST_01.28,31.24335841240528
1,gamma0,0,ST_01.30,26.396688060347174
1,gamma0,0,ST_01.31,23.87038123177725
1,gamma0,0,ST_01.E4,7.403986232226144
1,gamma1,1,ST_01.01,22.049053319916165
1,gamma1,1,ST_01.02,31.066950726763128
1,gamma1,1,ST_01.03,30.217344563690023
1,gamma1,1,ST_01.04,29.479512943307423
1,gamma1,1,ST_01.05,27.64706522341937
1,gamma1,1,ST_01.06,26.70477896567321
1,gamma1,1,ST_01.07,24.375291779585048
1,gamma1,1,ST_01.08,22.413692239087982
1,gamma1,1,ST_01.09,28.6851345879156
1,gamma1,1,ST_01.10,23.727346139144974
1,gamma1,1,ST_01.11,31.57752532860364
1,gamma1,1,ST_01.12,13.723048838712602
1,gamma1,1,ST_01.13,20.58070659203438
1,gamma1,1,ST_01.21,28.700163396175643
1,gamma1,1,ST_01.22,21.318348852450352
1,gamma1,1,ST_01.23,18.72078198205112
1,gamma1,1,ST_01.24,24.296465589751328
1,gamma1,1,ST_01.25,20.809684292254133
1,gamma1,1,ST_01.26,25.01469720278355
1,gamma1,1,ST_01.27,24.66651918411759
1,gamma1,1,ST_01.28,30.65872760006528
1,gamma1,1,ST_01.30,21.87389104066153
1,gamma1,1,ST_01.31,23.2862772864646
1,gamma1,1,ST_01.E4,8.258292335944546
1,gamma2,2,ST_01.01,20.74202180868402
1,gamma2,2,ST_01.02,30.310059346930583
1,gamma2,2,ST_01.03,30.86255476789693
1,gamma2,2,ST_01.04,29.30604401979194
1,gamma2,2,ST_01.05,30.967209399234072
1,gamma2,2,ST_01.06,26.26432725092923
1,gamma2,2,ST_01.07,27.23878829655928
1,gamma2,2,ST_01.08,18.225626556732514
1,gamma2,2,ST_01.09,28.898671569959625
1,gamma2,2,ST_01.10,26.10639681680548
1,gamma2,2,ST_01.11,25.86863714329278
1,gamma2,2,ST_01.12,9.49070667350217
1,gamma2,2,ST_01.13,21.68637221213835
1,gamma2,2,ST_01.21,29.416097450259677
1,gamma2,2,ST_01.22,26.072529304501227
1,gamma2,2,ST_01.23,21.817356077915445
1,gamma2,2,ST_01.24,22.45116440571958
1,gamma2,2,ST_01.25,28.694874871307057
1,gamma2,2,ST_01.26,19.72755802942142
1,gamma2,2,ST_01.27,23.648048652194174
1,gamma2,2,ST_01.28,26.635092009254667
1,gamma2,2,ST_01.30,24.834267271728493
1,gamma2,2,ST_01.31,22.15700965886013
1,gamma2,2,ST_01.E4,6.989777212241465
1,gamma4,4,ST_01.01,22.61732789001709
1,gamma4,4,ST_01.02,30.76878139531394
1,gamma4,4,ST_01.03,28.537109656901222
1,gamma4,4,ST_01.04,28.152985881130213
1,gamma4,4,ST_01.05,28.483342139883973
1,gamma4,4,ST_01.06,26.628178667456872
1,gamma4,4,ST_01.07,23.08582906231404
1,gamma4,4,ST_01.08,20.01222521347141
1,gamma4,4,ST_01.09,27.396794796249903
1,gamma4,4,ST_01.10,27.797698331012484
1,gamma4,4,ST_01.11,22.873561317710244
1,gamma4,4,ST_01.12,16.416357489301053
1,gamma4,4,ST_01.13,19.5407240780752
1,gamma4,4,ST_01.21,28.66248265648701
1,gamma4,4,ST_01.22,27.261074417513942
1,gamma4,4,ST_01.23,22.44694998122397
1,gamma4,4,ST_01.24,23.68136519507408
1,gamma4,4,ST_01.25,26.307105893143152
1,gamma4,4,ST_01.26,24.553832771207198
1,gamma4,4,ST_01.27,29.52169377465656
1,gamma4,4,ST_01.28,33.32395630337998
1,gamma4,4,ST_01.30,23.600777175450588
1,gamma4,4,ST_01.31,23.753560442714715
1,gamma4,4,ST_01.E4,5.902478534781682
2,gamma0,0,ST_01.01,27.12688409672678
2,gamma0,0,ST_01.02,38.019120612370095
2,gamma0,0,ST_01.03,36.76469061296584
2,gamma0,0,ST_01.04,32.18561738778541
2,gamma0,0,ST_01.05,36.11996534960695
2,gamma0,0,ST_01.06,28.167722921543177
2,gamma0,0,ST_01.07,22.7790427169298
2,gamma0,0,ST_01.08,8.081677673876431
2,gamma0,0,ST_01.09,38.63536931207747
2,gamma0,0,ST_01.10,35.623875830172146
2,gamma0,0,ST_01.11,32.884177082623225
2,gamma0,0,ST_01.12,4.760094779714028
2,gamma0,0,ST_01.13,5.300705748792567
2,gamma0,0,ST_01.21,32.74684651731278
2,gamma0,0,ST_01.22,26.30608342727542
2,gamma0,0,ST_01.23,21.775279728151084
2,gamma0,0,ST_01.24,20.211215970211004
2,gamma0,0,ST_01.25,21.180476425057694
2,gamma0,0,ST_01.26,22.55807440731933
2,gamma0,0,ST_01.27,23.166233110939896
2,gamma0,0,ST_01.28,37.859530254384055
2,gamma0,0,ST_01.30,33.80744238117257
2,gamma0,0,ST_01.31,25.57008273568259
2,gamma0,0,ST_01.E4,4.138976999341088
2,gamma1,1,ST_01.01,20.442508350404143
2,gamma1,1,ST_01.02,37.2857169767198
2,gamma1,1,ST_01.03,31.223123468381026
2,gamma1,1,ST_01.04,31.975863183230683
2,gamma1,1,ST_01.05,30.974224429635346
2,gamma1,1,ST_01.06,30.092225729847375
2,gamma1,1,ST_01.07,25.927283128097084
2,gamma1,1,ST_01.08,26.16608755066549
2,gamma1,1,ST_01.09,26.48307031743077
2,gamma1,1,ST_01.10,27.16871520006381
2,gamma1,1,ST_01.11,29.272820782102844
2,gamma1,1,ST_01.12,10.032815151089569
2,gamma1,1,ST_01.13,14.889482421726289
2,gamma1,1,ST_01.21,34.03778659026862
2,gamma1,1,ST_01.22,28.48209851831132
2,gamma1,1,ST_01.23,29.860306096217958
2,gamma1,1,ST_01.24,25.543400910219276
2,gamma1,1,ST_01.25,20.41950122415741
2,gamma1,1,ST_01.26,26.27145801033884
2,gamma1,1,ST_01.27,25.954466119478045
2,gamma1,1,ST_01.28,32.96999548605333
2,gamma1,1,ST_01.30,25.449491348049357
2,gamma1,1,ST_01.31,19.522202297329837
2,gamma1,1,ST_01.E4,9.81528831272315
2,gamma2,2,ST_01.01,25.30977224335752
2,gamma2,2,ST_01.02,35.33433944615034
2,gamma2,2,ST_01.03,29.9950753476974
2,gamma2,2,ST_01.04,30.67072591044577
2,gamma2,2,ST_01.05,35.606816670607
2,gamma2,2,ST_01.06,24.95292845767141
2,gamma2,2,ST_01.07,27.176423678334437
2,gamma2,2,ST_01.08,19.52851293654731
2,gamma2,2,ST_01.09,28.954173256810417
2,gamma2,2,ST_01.10,31.031641668037484
2,gamma2,2,ST_01.11,32.92758280738911
2,gamma2,2,ST_01.12,12.9621042462982
2,gamma2,2,ST_01.13,15.989628897890784
2,gamma2,2,ST_01.21,34.53981884086254
2,gamma2,2,ST_01.22,27.94348092152025
2,gamma2,2,ST_01.23,20.850857475540906
2,gamma2,2,ST_01.24,25.431648531237062
2,gamma2,2,ST_01.25,27.030473281978576
2,gamma2,2,ST_01.26,23.84460100994028
2,gamma2,2,ST_01.27,28.08945596601584
2,gamma2,2,ST_01.28,25.70442173391531
2,gamma2,2,ST_01.30,26.200767845408752
2,gamma2,2,ST_01.31,21.83462717081765
2,gamma2,2,ST_01.E4,9.5196470984845
2,gamma4,4,ST_01.01,24.46611316857893
2,gamma4,4,ST_01.02,31.994733605242867
2,gamma4,4,ST_01.03,31.806446325705743
2,gamma4,4,ST_01.04,36.147641251596816
2,gamma4,4,ST_01.05,33.98184585377389
2,gamma4,4,ST_01.06,27.883421370316416
2,gamma4,4,ST_01.07,28.273230015128192
2,gamma4,4,ST_01.08,23.50310851386359
2,gamma4,4,ST_01.09,30.100309817509554
2,gamma4,4,ST_01.10,33.79659940963688
2,gamma4,4,ST_01.11,25.670145626535614
2,gamma4,4,ST_01.12,11.643924153454316
2,gamma4,4,ST_01.13,15.714592278849665
2,gamma4,4,ST_01.21,29.289995877508854
2,gamma4,4,ST_01.22,25.12112471433509
2,gamma4,4,ST_01.23,17.916183657730784
2,gamma4,4,ST_01.24,26.868464832436903
2,gamma4,4,ST_01.25,21.323159275226487
2,gamma4,4,ST_01.26,25.39428078127912
2,gamma4,4,ST_01.27,29.380009529967783
2,gamma4,4,ST_01.28,25.84187853463144
2,gamma4,4,ST_01.30,26.48249653191852
2,gamma4,4,ST_01.31,23.746824662355664
2,gamma4,4,ST_01.E4,16.467215633092753
3,gamma0,0,ST_01.01,24.59070058995908
3,gamma0,0,ST_01.02,35.79169738767251
3,gamma0,0,ST_01.03,38.25459595712758
3,gamma0,0,ST_01.04,37.91901893246725
3,gamma0,0,ST_01.05,34.40002092164142
3,gamma0,0,ST_01.06,22.54761211787837
3,gamma0,0,ST_01.07,25.606691308457773
3,gamma0,0,ST_01.08,18.89765560034156
3,gamma0,0,ST_01.09,40.52358306949321
3,gamma0,0,ST_01.10,24.506297092557283
3,gamma0,0,ST_01.11,36.54102790348307
3,gamma0,0,ST_01.12,4.990542863488173
3,gamma0,0,ST_01.13,10.50981402133262
3,gamma0,0,ST_01.21,38.45046522887075
3,gamma0,0,ST_01.22,28.478073369409344
3,gamma0,0,ST_01.23,34.77389135923129
3,gamma0,0,ST_01.24,16.8724231145562
3,gamma0,0,ST_01.25,37.49648815114831
3,gamma0,0,ST_01.26,29.20991465171208
3,gamma0,0,ST_01.27,20.02116558546925
3,gamma0,0,ST_01.28,32.92378201703104
3,gamma0,0,ST_01.30,29.90175368044161
3,gamma0,0,ST_01.31,25.576112741604383
3,gamma0,0,ST_01.E4,5.019383484761844
3,gamma1,1,ST_01.01,23.1038210194034
3,gamma1,1,ST_01.02,33.57587433357759
3,gamma1,1,ST_01.03,34.63835527376875
3,gamma1,1,ST_01.04,34.099049160971184
3,gamma1,1,ST_01.05,34.40002092164143
3,gamma1,1,ST_01.06,30.24977363620775
3,gamma1,1,ST_01.07,32.35440050460543
3,gamma1,1,ST_01.08,24.10462907506501
3,gamma1,1,ST_01.09,28.07425699570477
3,gamma1,1,ST_01.10,30.28328585962121
3,gamma1,1,ST_01.11,33.16487152217031
