fold,arm,gamma,alpha,solver_obj,solver_bound,solver_gap,solve_time,feasible_model,c_fit_q90,V_tr,V_te,cap_broken,wl_broken_asrun,max_workload_te,Tn,viol_norm,max_ratio_norm,imbalance,X,robust_lhs_max,robust_ok,PoR_pct,G_pct,beta,T_s_train
0,gamma0,0.0,1.0,17629.0,888.0,0.949628453117023,621.5491509437561,True,4.552088079646643,382662.0,67624.0,0.0,22.0,209.49258741258743,0.6956411522150983,24.0,35.573689358748425,39.13105829462327,0.9548332982627736,27.435027652727257,True,0.0,0.0,,
0,gamma1,1.0,1.0,24045.0,2.0,0.9999168226242462,632.0847330093384,True,4.552088079646643,423302.0,74745.0,0.0,24.0,182.1043356643356,0.6956411522150983,24.0,30.922922609409166,34.015214870350086,0.9531885829475576,26.518586634965036,True,10.62033857555754,-10.53028510587957,,
0,gamma2,2.0,1.0,26022.0,0.0,1.0,632.3739473819733,True,4.552088079646643,433469.0,76418.0,0.0,24.0,276.65379310344827,0.6956411522150983,24.0,31.39991111467813,34.53990222614594,0.9593168111339888,30.91200241804581,True,13.277252510048031,-13.004258843014314,,
0,gamma4,4.0,1.0,27686.0,0.0,1.0,632.5941534042358,True,4.552088079646643,439916.0,77822.0,0.0,24.0,283.2638196286472,0.6956411522150983,24.0,30.267398290287137,33.29413811931585,0.9587642022116888,34.98188815949291,True,14.962029153665638,-15.080444812492606,,
0,tight1.02,,,inf,,,620.3932814598083,False,4.552088079646643,,,,,,,,,,,,,,,1.02,13.0
0,tight1.05,,,inf,,,620.7789735794067,False,4.552088079646643,,,,,,,,,,,,,,,1.05,13.0
1,gamma0,0.0,1.0,18587.0,1849.0,0.9005218701242804,623.0089285373688,True,4.343134005462523,445095.0,31743.0,0.0,21.0,103.1041958041958,0.3512787254927438,24.0,35.97527664446509,39.5728043089116,0.9583124535376404,30.864530902097933,True,0.0,0.0,,
1,gamma1,1.0,1.0,25026.0,0.0,1.0,635.3276693820953,True,4.343134005462523,494146.0,35252.0,0.0,22.0,89.03706293706294,0.3512787254927438,24.0,31.57752532860364,34.735277861464006,0.9550347246425914,27.047344471951483,True,11.0203439715117,-11.054405695743943,,
1,gamma2,2.0,1.0,26256.0,0.0,1.0,634.6277050971985,True,4.343134005462523,499212.0,35739.0,0.0,22.0,86.86783216783219,0.3512787254927438,24.0,30.967209399234072,34.06393033915748,0.9545985361044552,28.564312032381,True,12.1585279547063,-12.5886022115112,,
1,gamma4,4.0,1.0,27980.0,0.0,1.0,634.4705107212067,True,4.343134005462523,507576.0,36189.0,0.0,23.0,88.18251748251748,0.3512787254927438,24.0,33.32395630337998,36.65635193371798,0.9534391136705032,28.733226094304424,True,14.03767734977926,-14.006237595690388,,
1,tight1.02,,,inf,,,622.3129284381866,False,4.343134005462523,,,,,,,,,,,,,,,1.02,13.0
1,tight1.05,,,inf,,,622.8396351337433,False,4.343134005462523,,,,,,,,,,,,,,,1.05,14.0
2,gamma0,0.0,1.0,19330.0,1960.0,0.8986032074495602,625.3898990154266,True,4.258889582937576,475812.0,30396.0,0.0,20.0,95.4132867132868,0.3076000774336454,24.0,38.63536931207747,42.49890624328522,0.9598344262529742,30.66923075034966,True,0.0,0.0,,
2,gamma1,1.0,1.0,25650.0,0.0,1.0,638.4468200206757,True,4.258889582937576,526567.0,33289.0,0.0,21.0,93.57272727272728,0.3076000774336454,24.0,37.2857169767198,41.01428867439178,0.958484903370366,29.050349636363634,True,10.66702815397678,-9.517699697328595,,
2,gamma2,2.0,1.0,27178.0,0.0,1.0,638.2646932601929,True,4.258889582937576,531913.0,33696.0,0.0,22.0,88.67552447552448,0.3076000774336454,24.0,35.606816670607,39.1674983376677,0.9589964466459624,29.75522897676869,True,11.79058115390112,-10.856691669956572,,
2,gamma4,4.0,1.0,28361.0,0.0,1.0,638.2961413860321,True,4.258889582937576,536724.0,34106.0,0.0,22.0,89.79962864721485,0.3076000774336454,24.0,36.147641251596816,39.7624053767565,0.9622826209055688,28.184969394191057,True,12.80169478701672,-12.205553362284512,,
2,tight1.02,,,inf,,,624.8869831562042,False,4.258889582937576,,,,,,,,,,,,,,,1.02,13.0
2,tight1.05,,,inf,,,624.8010354042053,False,4.258889582937576,,,,,,,,,,,,,,,1.05,13.0
3,gamma0,0.0,1.0,20133.0,2837.0,0.8590870709779963,627.5838141441345,True,4.387014122927727,504786.0,53676.0,0.0,22.0,152.89790209790212,0.5235990900712453,24.0,40.52358306949321,44.57594137644253,0.9606932267786802,30.47749895034965,True,0.0,0.0,,
3,gamma1,1.0,1.0,27295.0,0.0,1.0,642.4473612308502,True,4.387014122927727,560704.0,59442.0,0.0,23.0,143.43216783216798,0.5235990900712453,24.0,36.656252788446665,40.32187806729134,0.9596994845314518,25.35215973076924,True,11.077565542625983,-10.742231164766377,,
3,gamma2,2.0,1.0,28687.0,0.0,1.0,641.3465366363525,True,4.387014122927727,565526.0,59778.0,0.0,23.0,155.29720279720283,0.5235990900712453,24.0,37.86191083816584,41.64810192198243,0.9596369579335816,28.85144346861553,True,12.03282182944852,-11.368209255533198,,
3,gamma4,4.0,1.0,30408.0,0.0,1.0,641.3792505264282,True,4.387014122927727,573526.0,60461.0,0.0,23.0,154.44265734265733,0.5235990900712453,24.0,36.15330739997271,39.76863813996999,0.9596321127429128,29.77545813520901,True,13.617651836619874,-12.64065876741933,,
3,tight1.02,,,inf,,,627.2511298656464,False,4.387014122927727,,,,,,,,,,,,,,,1.02,13.0
3,tight1.05,,,inf,,,626.6763648986816,False,4.387014122927727,,,,,,,,,,,,,,,1.05,13.0
