fold,arm,gamma,station,ratio_norm
0,gamma0,0,ST_01.01,19.384511892316617
0,gamma0,0,ST_01.02,36.44080407780943
0,gamma0,0,ST_01.03,37.30671564276933
0,gamma0,0,ST_01.04,37.5028288873439
0,gamma0,0,ST_01.05,41.35929085354224
0,gamma0,0,ST_01.06,16.7363270865372
0,gamma0,0,ST_01.07,25.34998160657982
0,gamma0,0,ST_01.08,19.08853151597427
0,gamma0,0,ST_01.09,36.22622675894669
0,gamma0,0,ST_01.10,36.36037282661771
0,gamma0,0,ST_01.11,36.16675932767765
0,gamma0,0,ST_01.12,11.528593393961868
0,gamma0,0,ST_01.13,15.270632277415377
0,gamma0,0,ST_01.21,42.70559591580452
0,gamma0,0,ST_01.22,19.64200231023796
0,gamma0,0,ST_01.23,15.98210570139508
0,gamma0,0,ST_01.24,24.513473191431935
0,gamma0,0,ST_01.25,23.22425625244732
0,gamma0,0,ST_01.26,32.956482326320014
0,gamma0,0,ST_01.27,24.30976825593913
0,gamma0,0,ST_01.28,35.52595357395402
0,gamma0,0,ST_01.30,37.6667145092033
0,gamma0,0,ST_01.31,31.82082933828836
0,gamma0,0,ST_01.E4,9.40394115536144
0,gamma1,1,ST_01.01,23.094723599861265
0,gamma1,1,ST_01.02,34.477824321277744
0,gamma1,1,ST_01.03,38.082996796548166
0,gamma1,1,ST_01.04,36.17208334618006
0,gamma1,1,ST_01.05,35.47114803707304
0,gamma1,1,ST_01.06,24.0031739520298
0,gamma1,1,ST_01.07,24.08388929548537
0,gamma1,1,ST_01.08,28.55497153390368
0,gamma1,1,ST_01.09,35.89982566426028
0,gamma1,1,ST_01.10,35.144143047480625
0,gamma1,1,ST_01.11,35.27948017605218
0,gamma1,1,ST_01.12,5.725610141967639
0,gamma1,1,ST_01.13,8.11301825454111
0,gamma1,1,ST_01.21,42.62787229650043
0,gamma1,1,ST_01.22,21.100717283252013
0,gamma1,1,ST_01.23,21.593536397275777
0,gamma1,1,ST_01.24,25.56840429785314
0,gamma1,1,ST_01.25,27.504544980257755
0,gamma1,1,ST_01.26,28.204302173690245
0,gamma1,1,ST_01.27,24.61165919981915
0,gamma1,1,ST_01.28,29.16027920740636
