fold,arm,gamma,alpha,solver_obj,solver_bound,solver_gap,solve_time,feasible_model,c_fit_q90,V_tr,V_te,cap_broken,wl_broken_asrun,max_workload_te,Tn,viol_norm,max_ratio_norm,imbalance,X,robust_lhs_max,robust_ok,PoR_pct,G_pct,beta,T_s_train
0,gamma0,0.0,1.0,17902.0,12058.912486949346,0.3263930015110409,797.4270949363708,True,4.552088079646643,382722.0,67676.0,0.0,24.0,201.7818181818182,0.6546682943924472,24.0,42.70559591580452,46.97615550738497,0.9671526700099392,30.526646916083905,True,0.0,0.0,,
0,gamma1,1.0,1.0,17912.0,12071.178995213382,0.3260842454659791,794.8691017627716,True,4.552088079646643,386545.0,68372.0,0.0,24.0,194.62181818181807,0.6546682943924472,24.0,42.62787229650043,46.89065952615047,0.9678939324289912,30.68146856433566,True,0.9988973719827968,-1.0284295762160884,,
0,gamma2,2.0,1.0,17867.0,12073.83690689078,0.3242381537532445,795.0244193077087,True,4.552088079646643,386885.0,68327.0,0.0,23.0,186.7358041958041,0.6546682943924472,24.0,42.58547759506184,46.84402535456803,0.9678643324271046,28.870158090799823,True,1.0877347003830458,-0.961936284650393,,
0,gamma4,4.0,1.0,18334.0,12077.74199186499,0.341238028151795,794.9027552604675,True,4.552088079646643,387054.0,68338.0,0.0,24.0,224.4894429708222,0.6546682943924472,24.0,44.46526434841799,48.9117907832598,0.9664966525313534,28.776229546542883,True,1.1318920783231694,-0.978190200366452,,
0,tight1.02,,,inf,inf,,339.28697967529297,False,4.552088079646643,,,,,,,,,,,,,,,1.02,13.0
0,tight1.05,,,inf,inf,,340.6966841220856,False,4.552088079646643,,,,,,,,,,,,,,,1.05,13.0
1,gamma0,0.0,1.0,18718.0,13423.677036946645,0.2828466162545868,786.684830904007,True,4.343134005462523,449646.0,32165.0,0.0,21.0,103.49860139860138,0.2810302024797777,24.0,45.741556153669954,50.31571176903695,0.9687469582000692,33.493901498601424,True,0.0,0.0,,
1,gamma1,1.0,1.0,18967.0,13424.349216360995,0.2922260127399697,794.4193699359894,True,4.343134005462523,448552.0,32156.0,0.0,21.0,100.44195804195805,0.2810302024797777,24.0,46.60964408067392,51.2706084887413,0.968015753254052,33.405905245746965,True,-0.2433025090849246,0.0279807243898647,,
1,gamma2,2.0,1.0,19390.0,13425.352285318217,0.3076146320104065,798.9393916130066,True,4.343134005462523,453252.0,32268.0,0.0,20.0,93.07972027972026,0.2810302024797777,24.0,47.27754592857919,52.00530052143711,0.9677600380780008,33.29660283455815,True,0.8019642118466527,-0.3202238457951189,,
1,gamma4,4.0,1.0,19412.0,13427.286681611293,0.3082996764057648,789.596720457077,True,4.343134005462523,451757.0,32214.0,0.0,21.0,87.37202797202796,0.2810302024797777,24.0,47.0777589863458,51.78553488498039,0.9681380349093512,32.73862603246025,True,0.4694804357205446,-0.1523394994559303,,
1,tight1.02,,,inf,inf,,335.86306500434875,False,4.343134005462523,,,,,,,,,,,,,,,1.02,13.0
1,tight1.05,,,inf,inf,,317.33025431633,False,4.343134005462523,,,,,,,,,,,,,,,1.05,14.0
2,gamma0,0.0,1.0,19342.0,14118.28953612357,0.2700708543003014,786.1345987319946,True,4.258889582937576,479598.0,30607.0,0.0,20.0,96.8265734265734,0.2455219004590449,24.0,52.114176217655306,57.32559383942085,0.9724597411688296,33.12027936993007,True,0.0,0.0,,
2,gamma1,1.0,1.0,19810.0,14119.154864132484,0.2872713344708488,789.6885120868683,True,4.258889582937576,481279.0,30945.0,0.0,20.0,85.09300699300704,0.2455219004590449,24.0,47.66734642562113,52.43408106818325,0.969770388328408,31.75732317757273,True,0.3505018786567083,-1.1043225405952886,,
