train_coverage,dataset,tag,fold,role,arm,tcap_quantile,days_total,days_violated,share_days_violated,worst_day_ratio,worst_day,worst_station,station_days_violated,station_days_total,mean_daily_ratio,p95_daily_ratio,excess_fraction,test_date_min,test_date_max,drift
max,berner,berner_daily,0,train,incumbent,max,38,0,0.0,1.0,2021-09-01,ST_01.28,0,912,0.891970852090644,1.0,0.0,2021-10-25,2021-10-29,
max,berner,berner_daily,0,train,g0,max,38,0,0.0,1.0,2021-09-29,ST_01.03,0,912,0.9057453639863752,0.9985156936697936,0.0,2021-10-25,2021-10-29,
max,berner,berner_daily,0,train,g1,max,38,0,0.0,0.97593984962406,2021-09-29,ST_01.04,0,912,0.8804601920371203,0.9687593984962406,0.0,2021-10-25,2021-10-29,
max,berner,berner_daily,0,train,incumbent,p95,38,18,0.4736842105263157,2.0274075464614234,2021-09-02,ST_01.E4,48,912,1.0137747371220898,1.2065245423735989,0.0116630148161323,2021-10-25,2021-10-29,
max,berner,berner_daily,0,train,g0,p95,38,32,0.8421052631578947,2.016144171203304,2021-09-29,ST_01.E4,102,912,1.2612196931512656,1.8627745447719168,0.0636689889981303,2021-10-25,2021-10-29,
max,berner,berner_daily,0,train,g1,p95,38,19,0.5,1.157785610615799,2021-09-29,ST_01.07,58,912,0.9851909295638536,1.1114094274546786,0.0044397271696868,2021-10-25,2021-10-29,
max,berner,berner_daily,0,train,incumbent,p90,38,24,0.631578947368421,3.566710700132089,2021-09-02,ST_01.E4,96,912,1.1551150956274885,1.759247027741078,0.0276717166721947,2021-10-25,2021-10-29,
max,berner,berner_daily,0,train,g0,p90,38,36,0.9473684210526316,3.546895640686911,2021-09-29,ST_01.E4,152,912,2.039869126683822,3.277080581241733,0.1445904705857955,2021-10-25,2021-10-29,
max,berner,berner_daily,0,train,g1,p90,38,26,0.6842105263157895,1.413474240422717,2021-09-29,ST_01.E4,115,912,1.0389185039302236,1.170920228334246,0.0132362526308228,2021-10-25,2021-10-29,
max,berner,berner_daily,0,test,incumbent,max,5,5,1.0,1.4396654719235364,2021-10-29,ST_01.08,49,120,1.2219014491190865,1.429439383908256,0.0492185749771142,2021-10-25,2021-10-29,
max,berner,berner_daily,0,test,g0,max,5,4,0.8,1.5263484190948542,2021-10-29,ST_01.10,46,120,1.189973050596556,1.474147551146931,0.0788719974585883,2021-10-25,2021-10-29,
max,berner,berner_daily,0,test,g1,max,5,4,0.8,1.499690018598884,2021-10-29,ST_01.10,42,120,1.1911586561598573,1.4430355969686597,0.0733004047585948,2021-10-25,2021-10-29,
max,berner,berner_daily,0,test,incumbent,p95,5,5,1.0,1.5078520928486516,2021-10-29,ST_01.08,65,120,1.3013403316069851,1.5046053143747131,0.0854576199861286,2021-10-25,2021-10-29,
max,berner,berner_daily,0,test,g0,p95,5,5,1.0,1.7771682246363734,2021-10-29,ST_01.10,59,120,1.3556538086040386,1.716389360089508,0.1224733067025646,2021-10-25,2021-10-29,
max,berner,berner_daily,0,test,g1,p95,5,5,1.0,1.746129137041181,2021-10-29,ST_01.10,59,120,1.2959339222853976,1.6583929135636777,0.1142024954936413,2021-10-25,2021-10-29,
max,berner,berner_daily,0,test,incumbent,p90,5,5,1.0,1.5705717712914833,2021-10-29,ST_01.09,74,120,1.3538762028158122,1.565239286721572,0.1114654769541262,2021-10-25,2021-10-29,
max,berner,berner_daily,0,test,g0,p90,5,5,1.0,1.8379992534527805,2021-10-29,ST_01.10,70,120,1.40159944173819,1.7751399776035828,0.1499021302738775,2021-10-25,2021-10-29,
max,berner,berner_daily,0,test,g1,p90,5,5,1.0,1.8058977230309807,2021-10-29,ST_01.10,74,120,1.35340353017215,1.7186377277602307,0.1549106920495892,2021-10-25,2021-10-29,
max,berner,berner_daily,1,train,incumbent,max,43,0,0.0,1.0,2021-09-02,ST_01.E4,0,1032,0.7992422912134942,1.0,0.0,2021-11-02,2021-11-05,
max,berner,berner_daily,1,train,g0,max,43,0,0.0,1.0,2021-10-29,ST_01.11,0,1032,0.8264635528723818,0.9976601933902548,0.0,2021-11-02,2021-11-05,
max,berner,berner_daily,1,train,incumbent,p95,43,17,0.3953488372093023,2.0673813169984694,2021-09-02,ST_01.E4,72,1032,0.9757201536364676,1.273499188330444,0.0141667127142051,2021-11-02,2021-11-05,
max,berner,berner_daily,1,train,g0,p95,43,25,0.5813953488372093,1.3957194899817853,2021-10-29,ST_01.11,79,1032,1.019127256609493,1.2120553139288504,0.0113443850156391,2021-11-02,2021-11-05,
max,berner,berner_daily,1,train,incumbent,p90,43,28,0.6511627906976745,4.047976011994001,2021-09-02,ST_01.E4,120,1032,1.1620833219687443,1.9580209895052456,0.0323756889211532,2021-11-02,2021-11-05,
max,berner,berner_daily,1,train,g0,p90,43,34,0.7906976744186046,1.4392803598200892,2021-10-29,ST_01.E4,140,1032,1.0940743379843971,1.2703632849199435,0.0256545819114531,2021-11-02,2021-11-05,
max,berner,berner_daily,1,test,incumbent,max,4,0,0.0,0.711764705882353,2021-11-04,ST_01.30,0,96,0.602103140284864,0.6989024390243902,0.0,2021-11-02,2021-11-05,
max,berner,berner_daily,1,test,g0,max,4,0,0.0,0.6798076923076922,2021-11-04,ST_01.03,0,96,0.6211012881632004,0.6784462945590993,0.0,2021-11-02,2021-11-05,
max,berner,berner_daily,1,test,incumbent,p95,4,0,0.0,0.9044538442398607,2021-11-04,ST_01.26,0,96,0.7521368081068426,0.8828568058552477,0.0,2021-11-02,2021-11-05,
max,berner,berner_daily,1,test,g0,p95,4,0,0.0,0.8079076676951206,2021-11-04,ST_01.03,0,96,0.7597896129205419,0.8039503340880378,0.0,2021-11-02,2021-11-05,
max,berner,berner_daily,1,test,incumbent,p90,4,0,0.0,0.9404915912031048,2021-11-04,ST_01.26,0,96,0.7953422491718658,0.9199900596071076,0.0,2021-11-02,2021-11-05,
max,berner,berner_daily,1,test,g0,p90,4,0,0.0,0.9359279851734178,2021-11-04,ST_01.03,0,96,0.8328463396510243,0.9239171657757834,0.0,2021-11-02,2021-11-05,
max,berner,berner_daily,2,train,incumbent,max,47,0,0.0,1.0,2021-09-02,ST_01.E4,0,1128,0.7824644911344619,1.0,0.0,2021-11-08,2021-11-12,
max,berner,berner_daily,2,train,g0,max,47,0,0.0,1.0,2021-10-29,ST_01.27,0,1128,0.8125382023044984,0.9867399687665216,0.0,2021-11-08,2021-11-12,
max,berner,berner_daily,2,train,incumbent,p95,47,17,0.3617021276595745,2.1293375394321776,2021-09-02,ST_01.E4,72,1128,0.9652211075268008,1.2743479779545128,0.0144639576906922,2021-11-08,2021-11-12,
max,berner,berner_daily,2,train,g0,p95,47,26,0.5531914893617021,2.1214511041009474,2021-10-29,ST_01.E4,88,1128,1.0559664844160213,1.283123028391168,0.0254171589306889,2021-11-08,2021-11-12,
max,berner,berner_daily,2,train,incumbent,p90,47,28,0.5957446808510638,4.278922345483361,2021-09-02,ST_01.E4,120,1128,1.1513928055175464,2.009508716323295,0.0319233711452667,2021-11-08,2021-11-12,
max,berner,berner_daily,2,train,g0,p90,47,38,0.8085106382978723,4.263074484944533,2021-10-29,ST_01.E4,154,1128,1.3864781356607303,2.578446909667196,0.0654561668180781,2021-11-08,2021-11-12,
max,berner,berner_daily,2,test,incumbent,max,4,0,0.0,0.6926605504587156,2021-11-10,ST_01.12,0,96,0.5605330381976361,0.6857798165137614,0.0,2021-11-08,2021-11-12,
max,berner,berner_daily,2,test,g0,max,4,0,0.0,0.6951923076923077,2021-11-10,ST_01.03,0,96,0.5872833710407239,0.6870899321266968,0.0,2021-11-08,2021-11-12,
max,berner,berner_daily,2,test,incumbent,p95,4,0,0.0,0.8516638465877051,2021-11-10,ST_01.12,0,96,0.711713992554539,0.8432036097010722,0.0,2021-11-08,2021-11-12,
max,berner,berner_daily,2,test,g0,p95,4,0,0.0,0.8413825206563486,2021-11-10,ST_01.03,0,96,0.7001309566515654,0.8243206699277227,0.0,2021-11-08,2021-11-12,
max,berner,berner_daily,2,test,incumbent,p90,4,1,0.25,1.0314207650273224,2021-11-10,ST_01.12,1,96,0.808458422489373,1.021174863387978,1.0279211144454937e-06,2021-11-08,2021-11-12,
max,berner,berner_daily,2,test,g0,p90,4,0,0.0,0.961180537091199,2021-11-10,ST_01.03,0,96,0.7900285878846853,0.941055049850736,0.0,2021-11-08,2021-11-12,
max,berner,berner_daily,3,train,incumbent,max,51,0,0.0,1.0,2021-09-02,ST_01.E4,0,1224,0.7650581026688286,1.0,0.0,2021-11-15,2021-11-19,
max,berner,berner_daily,3,train,g0,max,51,0,0.0,1.0,2021-10-29,ST_01.04,0,1224,0.8087356652725708,0.9895578624460944,0.0,2021-11-15,2021-11-19,
max,berner,berner_daily,3,train,incumbent,p95,51,17,0.3333333333333333,2.1951219512195124,2021-09-02,ST_01.E4,72,1224,0.9549239445751372,1.2695602971179971,0.0147512203433488,2021-11-15,2021-11-19,
max,berner,berner_daily,3,train,g0,p95,51,27,0.5294117647058824,1.3898176291793314,2021-10-29,ST_01.11,94,1224,0.995567890656732,1.2347578347578347,0.0153986533387583,2021-11-15,2021-11-19,
max,berner,berner_daily,3,train,incumbent,p90,51,29,0.5686274509803921,4.53781512605042,2021-09-02,ST_01.E4,120,1224,1.1463818794563108,2.0672268907563027,0.0315758283265861,2021-11-15,2021-11-19,
max,berner,berner_daily,3,train,g0,p90,51,45,0.8823529411764706,2.823529411764706,2021-10-29,ST_01.E4,210,1224,1.4035141768827393,2.0840336134453787,0.0698662872809992,2021-11-15,2021-11-19,
max,berner,berner_daily,3,test,incumbent,max,5,0,0.0,0.9338731443994602,2021-11-16,ST_01.22,0,120,0.8146570801118816,0.9143977855925608,0.0,2021-11-15,2021-11-19,
max,berner,berner_daily,3,test,g0,max,5,1,0.2,1.2470588235294118,2021-11-19,ST_01.30,1,120,0.8799062324333651,1.1929411764705882,0.0019217566608527,2021-11-15,2021-11-19,
max,berner,berner_daily,3,test,incumbent,p95,5,1,0.2,1.166947723440135,2021-11-16,ST_01.22,2,120,0.9899773838885846,1.1320766972706269,0.0001484410617611,2021-11-15,2021-11-19,
max,berner,berner_daily,3,test,g0,p95,5,3,0.6,1.422818791946309,2021-11-19,ST_01.30,4,120,1.0628929028671998,1.361073825503356,0.0038379101400347,2021-11-15,2021-11-19,
max,berner,berner_daily,3,test,incumbent,p90,5,4,0.8,1.2423698384201076,2021-11-16,ST_01.22,17,120,1.084908794242864,1.211645870736086,0.0013830517082573,2021-11-15,2021-11-19,
max,berner,berner_daily,3,test,g0,p90,5,5,1.0,1.9495798319327733,2021-11-17,ST_01.E4,26,120,1.686799444187124,1.9344537815126053,0.0804486464707552,2021-11-15,2021-11-19,
p95,berner,berner_daily,0,train,incumbent,max,38,0,0.0,1.0,2021-09-01,ST_01.28,0,912,0.891970852090644,1.0,0.0,2021-10-25,2021-10-29,
p95,berner,berner_daily,0,train,g0,max,38,1,0.0263157894736842,1.125563909774436,2021-09-29,ST_01.04,10,912,0.9393978914922057,1.0,0.0019399335551584,2021-10-25,2021-10-29,
