dataset,tag,fold,role,arm,tcap_quantile,days_total,days_violated,share_days_violated,worst_day_ratio,worst_day,worst_station,station_days_violated,station_days_total,mean_daily_ratio,p95_daily_ratio,excess_fraction,test_date_min,test_date_max,drift
exp02a,syn_500sku_seed1001_d00,0,train,b1.02,max,38,6,0.15789473684210525,1.053053053053053,2021-09-24,4,11,190,0.795005531847637,1.036086086086086,0.0023100907029478457,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g0,max,38,13,0.34210526315789475,1.2652652652652652,2021-09-27,1,23,190,0.9184974448132343,1.2176676676676677,0.01856575963718821,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g1,max,38,10,0.2631578947368421,1.167167167167167,2021-09-17,1,13,190,0.8426321057900004,1.128978978978979,0.006221655328798186,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g2,max,38,14,0.3684210526315789,1.3093093093093093,2021-09-23,1,24,190,0.9351983562509879,1.238938938938939,0.021527777777777778,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g4,max,38,10,0.2631578947368421,1.2162162162162162,2021-09-27,5,19,190,0.8627048100732311,1.1265765765765765,0.011869331065759638,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,b1.02,p95,38,6,0.15789473684210525,1.0878107292054433,2021-09-24,4,15,190,0.8212459427511576,1.0702837407453365,0.0053628117913832275,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g0,p95,38,16,0.42105263157894735,1.3070273400339167,2021-09-27,1,30,190,0.9488139009889782,1.2578587086900774,0.024288548752834482,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g1,p95,38,11,0.2894736842105263,1.2056913595566034,2021-09-17,1,19,190,0.8704445068497028,1.1662427100136494,0.009803571428571438,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g2,p95,38,17,0.4473684210526316,1.352525127186996,2021-09-23,1,28,190,0.9660660523376936,1.2798320718037806,0.027315476190476206,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g4,p95,38,11,0.2894736842105263,1.25635934979526,2021-09-27,5,27,190,0.8911797423823861,1.1637610125325724,0.0173528911564626,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,b1.02,p90,38,7,0.18421052631578946,1.104879534522234,2021-09-24,4,20,190,0.8341320880498556,1.0870775306152456,0.007250566893424022,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g0,p90,38,18,0.47368421052631576,1.3275358665742432,2021-09-27,1,33,190,0.963701711269793,1.277595731720125,0.027695436507936485,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g1,p90,38,12,0.3157894736842105,1.2246098262860503,2021-09-17,1,21,190,0.8841026253326302,1.1845421891738608,0.011926445578231278,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g2,p90,38,18,0.47368421052631576,1.3737475581322074,2021-09-23,1,29,190,0.9812245656045715,1.2999138782111872,0.030328373015872993,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,train,g4,p90,38,12,0.3157894736842105,1.2760728464301467,2021-09-27,5,28,190,0.9051632168201712,1.1820215514525174,0.020252834467120156,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,test,b1.02,max,5,3,0.6,1.3403403403403404,2021-10-28,5,10,25,1.0326326326326327,1.2914914914914915,0.0648545144236773,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,test,g0,max,5,4,0.8,1.5925925925925926,2021-10-28,1,11,25,1.187187187187187,1.5297297297297296,0.09561670066186571,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,test,g1,max,5,3,0.6,1.4714714714714714,2021-10-28,1,8,25,1.1103103103103105,1.4146146146146146,0.07280522832285727,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,test,g2,max,5,4,0.8,1.5815815815815817,2021-10-28,1,10,25,1.2398398398398398,1.5333333333333334,0.09403488323689797,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,test,g4,max,5,3,0.6,1.4774774774774775,2021-10-28,4,11,25,1.107107107107107,1.4116116116116115,0.07684302543395913,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,test,b1.02,p95,5,3,0.6,1.3845803863175747,2021-10-28,5,11,25,1.0667163006162883,1.334119204202341,0.07818007742580031,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,test,g0,p95,5,4,0.8,1.6451586218306655,2021-10-28,1,12,25,1.2263721718989122,1.5802208710758159,0.11039587062398538,2021-10-25,2021-10-29,0.0
exp02a,syn_500sku_seed1001_d00,0,test,g1,p95,5,3,0.6,1.5200397071596974,2021-10-28,1,9,25,1.1469578525044466,1.4613062001075403,0.08401448611747078,2021-10-25,2021-10-29,0.0
