metric,value
horizon.source,BERNER_ORDER_LINES_DATE_ASSIGNED_21.csv
horizon.rows,1486634
horizon.n_orders,284871
horizon.n_skus,21877
horizon.date_min,2021-09-01
horizon.date_max,2021-11-30
horizon.span_days,91
horizon.active_days,63
volume.lines_per_day_mean,23597.365079365078
volume.lines_per_day_sd,5023.279141388549
volume.lines_per_day_cv,0.2128745783477834
volume.lines_per_day_max,39905
volume.lines_per_day_min,11418
volume.peak_over_mean,1.6910786380507914
volume.peak_date,2021-10-29
variance.r2_dow,0.0658900615420176
variance.r2_calendar,0.37586715264007486
variance.residual_share,0.6241328473599251
variance.residual_cv,0.16683527846106605
variance.dow_index.0,0.9288925518991226
variance.dow_index.1,0.975656519255011
variance.dow_index.2,1.077750708078684
variance.dow_index.3,1.0464798329649396
variance.dow_index.4,0.9693259558687095
variance.week_of_month_index.0,0.8535759305921969
variance.week_of_month_index.1,0.9320320267126947
variance.week_of_month_index.2,1.021786397997086
variance.week_of_month_index.3,1.0880988864777748
variance.week_of_month_index.4,1.270641866121722
stations.available,True
stations.n_stations,24
stations.n_dropped,2
stations.peak_over_mean_median,1.7251788043054241
stations.peak_over_mean_p90,1.8259556888047401
stations.peak_over_mean_max,2.01117628897808
sku.n_skus,21877
sku.n_skus_scored,12266
sku.fano_p25,0.968854282536151
sku.fano_median,1.1451612903225823
sku.fano_p75,1.4583820254448436
sku.fano_p90,2.5738539213262355
sku.fano_share_above_1_5,0.2340616337844448
sku.fano_median_top500,2.5665690724507115
sku.active_days_median,0.4444444444444444
sku.active_days_p25,0.2698412698412698
sku.active_days_median_top500,1.0
factor.n_head,300
factor.n_scored,300
factor.r2_common_median,0.40291753723089285
factor.r2_common_mean,0.3692886000020449
factor.share_r2_above_0_5,0.31666666666666665
factor.common_share,0.40291753723089285
factor.idiosyncratic_share,0.5970824627691071
cospike.n_pairs,79800
cospike.share_pairs_cooccurring,0.8720050125313283
cospike.cospike_mean_cooccurring,0.025610298418993493
cospike.cospike_mean_never_together,-0.007199530079532546
cospike.pearson_cooccurrence_cospike,0.17485330562155987
cospike.cospike_mean_top_decile,0.09655164748018574
cospike.lift_mean,1.8561822285837226
cospike.pearson_lift_cospike,0.20297118656910831
cospike.cospike_mean_top_decile_lift,0.09767214882688084
