fold,arm,gamma,station,ratio_norm
0,gamma0,0.0,1,1.0786984487325009
0,gamma0,0.0,2,0.617101778282255
0,gamma0,0.0,3,0.8206583427922814
0,gamma0,0.0,4,1.0955353764661369
0,gamma0,0.0,5,0.9326522890654559
0,gamma1,1.0,1,1.0491865304578132
0,gamma1,1.0,2,0.8601967461218313
0,gamma1,1.0,3,0.870790768066591
0,gamma1,1.0,4,0.8342792281498297
0,gamma1,1.0,5,0.9301929625425652
0,gamma2,2.0,1,1.171585319712448
0,gamma2,2.0,2,0.7398789254634884
0,gamma2,2.0,3,0.7867953083617102
0,gamma2,2.0,4,0.8193340900491866
0,gamma2,2.0,5,1.0270525917517972
0,gamma4,4.0,1,0.8178206583427923
0,gamma4,4.0,2,0.9687854710556186
0,gamma4,4.0,3,0.738933030646992
0,gamma4,4.0,4,1.0355656451002648
0,gamma4,4.0,5,0.9835414301929626
0,tight1.02,,1,0.9177071509648127
0,tight1.02,,2,0.843927355278093
0,tight1.02,,3,0.8993567915247824
0,tight1.02,,4,0.9377601210745365
0,tight1.02,,5,0.9458948164964056
