fold,arm,gamma,station,ratio_norm
0,gamma0,0,ST_01.01,26.524482651919442
0,gamma0,0,ST_01.02,31.449155227364585
0,gamma0,0,ST_01.03,30.738568291553225
0,gamma0,0,ST_01.04,29.970663238429285
0,gamma0,0,ST_01.05,28.344923071760714
0,gamma0,0,ST_01.06,25.221025953750168
0,gamma0,0,ST_01.07,19.702421648034665
0,gamma0,0,ST_01.08,29.087570257373056
0,gamma0,0,ST_01.09,28.871774703844327
0,gamma0,0,ST_01.10,31.61074572660315
0,gamma0,0,ST_01.11,29.432753068466987
0,gamma0,0,ST_01.12,6.842468808195404
0,gamma0,0,ST_01.13,16.785016207984988
0,gamma0,0,ST_01.21,28.762156989051867
0,gamma0,0,ST_01.22,29.018661513383126
0,gamma0,0,ST_01.23,29.01658619946617
0,gamma0,0,ST_01.24,20.988797989978607
0,gamma0,0,ST_01.25,28.98817341122782
0,gamma0,0,ST_01.26,24.77842859371422
0,gamma0,0,ST_01.27,18.88259844180112
0,gamma0,0,ST_01.28,30.1376571567013
0,gamma0,0,ST_01.30,29.09396749539731
0,gamma0,0,ST_01.31,27.34167737552297
0,gamma0,0,ST_01.E4,4.7221704571334495
0,gamma1,1,ST_01.01,24.153433613290108
0,gamma1,1,ST_01.02,30.335655510086774
0,gamma1,1,ST_01.03,31.849685607971757
0,gamma1,1,ST_01.04,31.067461978218624
0,gamma1,1,ST_01.05,29.465768008693274
0,gamma1,1,ST_01.06,23.326182034945106
0,gamma1,1,ST_01.07,26.30843704410888
0,gamma1,1,ST_01.08,27.783831042400234
0,gamma1,1,ST_01.09,32.854351037778294
0,gamma1,1,ST_01.10,25.47998566053207
0,gamma1,1,ST_01.11,26.472747294200524
0,gamma1,1,ST_01.12,22.436095092135456
0,gamma1,1,ST_01.13,14.429535167982875
0,gamma1,1,ST_01.21,28.180123458076107
0,gamma1,1,ST_01.22,26.728189162730757
0,gamma1,1,ST_01.23,24.70339913180138
0,gamma1,1,ST_01.24,22.859568917514814
0,gamma1,1,ST_01.25,29.39548520719411
0,gamma1,1,ST_01.26,25.574669371047587
0,gamma1,1,ST_01.27,24.347117562630153
0,gamma1,1,ST_01.28,26.82347443239102
0,gamma1,1,ST_01.30,24.600690662131317
0,gamma1,1,ST_01.31,27.872261775775673
0,gamma1,1,ST_01.E4,8.072712688358958
