set,coverage,fold,arm,station_days_over,days_over,n_days,allowed
hexaly_perday,max,0,g0,0,0,38,0
hexaly_perday,max,0,g1,0,0,38,0
hexaly_perday,max,1,g0,0,0,43,0
hexaly_perday,max,2,g0,0,0,47,0
hexaly_perday,max,3,g0,0,0,51,0
hexaly_perday,p90,0,g0,11,3,38,3
hexaly_perday,p90,0,g1,5,2,38,3
hexaly_perday,p90,0,g2,7,1,38,3
hexaly_perday,p90,0,g4,6,3,38,3
hexaly_perday,p90,1,g0,23,4,43,4
hexaly_perday,p90,1,g1,12,2,43,4
hexaly_perday,p90,1,g2,12,1,43,4
hexaly_perday,p90,1,g4,10,1,43,4
hexaly_perday,p90,2,g0,25,4,47,4
hexaly_perday,p90,2,g1,11,3,47,4
hexaly_perday,p90,2,g2,11,1,47,4
hexaly_perday,p90,2,g4,11,3,47,4
hexaly_perday,p90,3,g0,22,4,51,5
hexaly_perday,p90,3,g1,11,1,51,5
hexaly_perday,p90,3,g2,10,2,51,5
hexaly_perday,p90,3,g4,13,3,51,5
hexaly_perday,p95,0,g0,10,1,38,1
hexaly_perday,p95,0,g1,3,1,38,1
hexaly_perday,p95,0,g2,5,1,38,1
hexaly_perday,p95,0,g4,6,1,38,1
hexaly_perday,p95,1,g0,17,2,43,2
hexaly_perday,p95,1,g1,9,1,43,2
hexaly_perday,p95,1,g2,10,1,43,2
hexaly_perday,p95,1,g4,10,1,43,2
hexaly_perday,p95,2,g0,20,2,47,2
hexaly_perday,p95,2,g1,13,2,47,2
hexaly_perday,p95,2,g2,11,2,47,2
hexaly_perday,p95,2,g4,10,1,47,2
hexaly_perday,p95,3,g0,20,2,51,2
hexaly_perday,p95,3,g1,11,2,51,2
hexaly_perday,p95,3,g2,9,2,51,2
hexaly_perday,p95,3,g4,11,1,51,2
cplex_meanday,max,0,g0,124,35,38,0
cplex_meanday,max,0,g1,129,31,38,0
cplex_meanday,max,0,g2,104,28,38,0
cplex_meanday,max,0,g4,93,28,38,0
cplex_meanday,max,1,g0,71,30,43,0
cplex_meanday,max,1,g1,67,27,43,0
cplex_meanday,max,1,g2,72,29,43,0
cplex_meanday,max,1,g4,64,25,43,0
cplex_meanday,max,2,g0,93,30,47,0
cplex_meanday,max,2,g1,57,25,47,0
cplex_meanday,max,2,g2,75,25,47,0
cplex_meanday,max,2,g4,75,25,47,0
cplex_meanday,max,3,g0,72,29,51,0
cplex_meanday,max,3,g1,72,29,51,0
cplex_meanday,max,3,g2,71,29,51,0
cplex_meanday,max,3,g4,71,28,51,0
cplex_meanday,p90,0,g0,86,27,38,3
cplex_meanday,p90,0,g1,76,25,38,3
cplex_meanday,p90,0,g2,57,20,38,3
cplex_meanday,p90,0,g4,52,21,38,3
cplex_meanday,p90,1,g0,40,13,43,4
cplex_meanday,p90,1,g1,28,11,43,4
cplex_meanday,p90,1,g2,34,14,43,4
cplex_meanday,p90,2,g0,44,16,47,4
cplex_meanday,p90,2,g1,37,15,47,4
cplex_meanday,p90,2,g2,33,14,47,4
cplex_meanday,p90,3,g0,36,14,51,5
cplex_meanday,p90,3,g1,46,19,51,5
cplex_meanday,p90,3,g2,42,16,51,5
cplex_meanday,p95,0,g0,88,28,38,1
cplex_meanday,p95,0,g1,76,28,38,1
cplex_meanday,p95,0,g2,74,29,38,1
cplex_meanday,p95,0,g4,66,24,38,1
cplex_meanday,p95,1,g0,60,23,43,2
cplex_meanday,p95,1,g1,45,18,43,2
cplex_meanday,p95,1,g2,42,17,43,2
cplex_meanday,p95,1,g4,44,17,43,2
cplex_meanday,p95,2,g0,57,24,47,2
cplex_meanday,p95,2,g1,40,15,47,2
cplex_meanday,p95,2,g2,41,17,47,2
cplex_meanday,p95,2,g4,32,13,47,2
cplex_meanday,p95,3,g0,58,22,51,2
cplex_meanday,p95,3,g1,48,16,51,2
cplex_meanday,p95,3,g2,47,18,51,2
cplex_meanday,p95,3,g4,50,19,51,2
