fold,arm,gamma,station,ratio_norm
0,gamma0,0,ST_01.01,21.104941992195233
0,gamma0,0,ST_01.02,34.55887723572076
0,gamma0,0,ST_01.03,33.8750133746081
0,gamma0,0,ST_01.04,33.18453861548641
0,gamma0,0,ST_01.05,31.184396911989833
0,gamma0,0,ST_01.06,26.8806478688415
0,gamma0,0,ST_01.07,22.180640959397394
0,gamma0,0,ST_01.08,26.270682937975803
0,gamma0,0,ST_01.09,31.403718549031797
0,gamma0,0,ST_01.10,26.1039280800636
0,gamma0,0,ST_01.11,29.295477438356066
0,gamma0,0,ST_01.12,6.122208933648536
0,gamma0,0,ST_01.13,14.44724555174229
0,gamma0,0,ST_01.21,37.49958892429505
0,gamma0,0,ST_01.22,23.499885613386084
0,gamma0,0,ST_01.23,27.523813952464277
0,gamma0,0,ST_01.24,28.35365454113412
0,gamma0,0,ST_01.25,21.062852364290567
0,gamma0,0,ST_01.26,23.44892564440526
0,gamma0,0,ST_01.27,10.278349837674954
0,gamma0,0,ST_01.28,32.890864631462435
0,gamma0,0,ST_01.30,24.37602682046802
0,gamma0,0,ST_01.31,27.159288987936087
0,gamma0,0,ST_01.E4,3.2981900088626093
0,gamma4,4,ST_01.01,24.49215490452287
0,gamma4,4,ST_01.02,30.681821225302674
0,gamma4,4,ST_01.03,33.72733322495749
0,gamma4,4,ST_01.04,28.46575333964859
0,gamma4,4,ST_01.05,29.01120311760398
0,gamma4,4,ST_01.06,19.48422264095415
0,gamma4,4,ST_01.07,22.338661164320996
0,gamma4,4,ST_01.08,30.56694273446657
0,gamma4,4,ST_01.09,29.57615005927243
0,gamma4,4,ST_01.10,26.124959847014093
0,gamma4,4,ST_01.11,31.024292405065307
0,gamma4,4,ST_01.12,25.209095609141034
0,gamma4,4,ST_01.13,14.01334114963663
0,gamma4,4,ST_01.21,35.781204213795206
0,gamma4,4,ST_01.22,23.83353709753623
0,gamma4,4,ST_01.23,26.374511426011484
0,gamma4,4,ST_01.24,18.15134617423597
0,gamma4,4,ST_01.25,29.312642130048435
0,gamma4,4,ST_01.26,28.96417139565946
0,gamma4,4,ST_01.27,22.938345581190998
0,gamma4,4,ST_01.28,26.461793021497485
0,gamma4,4,ST_01.30,23.889255163530873
0,gamma4,4,ST_01.31,28.502330751075792
0,gamma4,4,ST_01.E4,17.77881471444035
