fold,arm,gamma,station,ratio_norm
0,gamma0,0,ST_01.01,29.468752337250386
0,gamma0,0,ST_01.02,37.749371244293975
0,gamma0,0,ST_01.03,29.437576497012532
0,gamma0,0,ST_01.04,35.40789420040817
0,gamma0,0,ST_01.05,30.337536292974132
0,gamma0,0,ST_01.06,21.104640888759857
0,gamma0,0,ST_01.07,24.19636211000815
0,gamma0,0,ST_01.08,11.341855657716984
0,gamma0,0,ST_01.09,36.73793407851696
0,gamma0,0,ST_01.10,25.525554488924836
0,gamma0,0,ST_01.11,34.396125069664514
0,gamma0,0,ST_01.12,7.886845626288409
0,gamma0,0,ST_01.13,12.352992672191537
0,gamma0,0,ST_01.21,28.290986987785782
0,gamma0,0,ST_01.22,24.870561980705606
0,gamma0,0,ST_01.23,19.221093976882894
0,gamma0,0,ST_01.24,16.33621155681238
0,gamma0,0,ST_01.25,28.946751872654982
0,gamma0,0,ST_01.26,27.101406274374927
0,gamma0,0,ST_01.27,21.32741797909689
0,gamma0,0,ST_01.28,35.68835962592477
0,gamma0,0,ST_01.30,25.536790002395065
0,gamma0,0,ST_01.31,19.7808496719217
0,gamma0,0,ST_01.E4,15.737078042287305
0,gamma2,2,ST_01.01,20.349332957906764
0,gamma2,2,ST_01.02,35.464677523869035
0,gamma2,2,ST_01.03,33.966434419629856
0,gamma2,2,ST_01.04,25.519700910679582
0,gamma2,2,ST_01.05,31.003816338817355
0,gamma2,2,ST_01.06,21.910494049630973
0,gamma2,2,ST_01.07,22.897513108562976
0,gamma2,2,ST_01.08,29.452347032546793
0,gamma2,2,ST_01.09,31.63977947895906
0,gamma2,2,ST_01.10,26.70333343815287
0,gamma2,2,ST_01.11,28.27877980284715
0,gamma2,2,ST_01.12,17.35826297657997
0,gamma2,2,ST_01.13,18.033598263023702
0,gamma2,2,ST_01.21,34.81807729944245
0,gamma2,2,ST_01.22,26.024815763711537
0,gamma2,2,ST_01.23,28.025808159420666
0,gamma2,2,ST_01.24,17.880119162437044
0,gamma2,2,ST_01.25,26.295773403993042
0,gamma2,2,ST_01.26,24.800343477494025
0,gamma2,2,ST_01.27,23.822776421556394
0,gamma2,2,ST_01.28,29.266669269243373
0,gamma2,2,ST_01.30,25.19979423990012
0,gamma2,2,ST_01.31,23.611005811246024
0,gamma2,2,ST_01.E4,5.287574458652755
