z,arm,folds,fold_ids,visits_vs_incumbent_pct,test_days_violated,test_days,worst_day_ratio,comparable_to_incumbent_row
3,incumbent,4,0;1;2;3,0.0,6,18,1.249,True
3,g0,4,0;1;2;3,-11.725,10,18,1.335,True
3,g1,4,0;1;2;3,-2.266,3,18,1.4692,True
3,g2,4,0;1;2;3,-1.336,4,18,1.3148,True
3,g4,2,0;1,1.739,2,9,1.1109,False
3,b1.02,4,0;1;2;3,-11.118,8,18,2.2637,True
3,b1.05,4,0;1;2;3,-10.518,7,18,1.1214,True
4,incumbent,4,0;1;2;3,0.0,2,18,1.1651,True
4,g0,4,0;1;2;3,-12.875,8,18,1.2858,True
4,g1,4,0;1;2;3,-4.184,3,18,1.3673,True
4,g2,4,0;1;2;3,-3.252,1,18,1.1226,True
4,g4,4,0;1;2;3,-1.694,3,18,1.1537,True
4,b1.02,4,0;1;2;3,-12.66,4,18,1.1823,True
4,b1.05,4,0;1;2;3,-11.487,3,18,1.127,True
6,incumbent,4,0;1;2;3,0.0,1,18,1.0271,True
6,g0,4,0;1;2;3,-13.344,6,18,1.2623,True
6,g1,4,0;1;2;3,-6.916,2,18,1.1136,True
6,g2,4,0;1;2;3,-5.806,1,18,1.0726,True
6,g4,4,0;1;2;3,-4.033,1,18,1.0885,True
6,b1.02,4,0;1;2;3,-13.202,4,18,1.2996,True
6,b1.05,4,0;1;2;3,-12.49,4,18,1.2099,True
