n_days,days_violated,station_days_over,worst_day_ratio,mean_daily_ratio,stations_over,fold,z,arm,train_beta,role,lhat_source
38,0,0,0.9030841604180848,0.7709289768546923,0,0,6.0,incumbent,1.0,train,harness
5,0,0,0.8605610710206296,0.7830531451719973,0,0,6.0,incumbent,1.0,test,harness
38,0,0,0.9801344210378147,0.9292854418858276,0,0,6.0,b1.02,1.02,train,harness
5,1,1,1.0591233500988826,0.9489792853738701,1,0,6.0,b1.02,1.02,test,harness
38,0,0,0.9512992599977611,0.9177400006797681,0,0,6.0,b1.05,1.05,train,harness
5,2,2,1.081555698604481,0.9932388898295461,1,0,6.0,b1.05,1.05,test,harness
38,0,0,0.9997645288866778,0.9333256215051103,0,0,6.0,g0,1.0,train,harness
5,0,0,0.9734595851270833,0.911838236885887,0,0,6.0,g0,1.0,test,harness
38,0,0,0.8897587927097504,0.8151863922302357,0,0,6.0,g1,1.0,train,harness
5,0,0,0.8874327082678203,0.8458439915016125,0,0,6.0,g1,1.0,test,harness
38,0,0,0.8522538731204227,0.810742468250216,0,0,6.0,g2,1.0,train,harness
5,0,0,0.9365848480607004,0.8369322058763344,0,0,6.0,g2,1.0,test,harness
38,0,0,0.8806999595862086,0.8286108708217914,0,0,6.0,g4,1.0,train,harness
5,0,0,0.9295757940059899,0.8796549513951399,0,0,6.0,g4,1.0,test,harness
43,0,0,0.9424851417845305,0.7753479821169149,0,1,6.0,incumbent,1.0,train,harness
4,1,1,1.0270830256444816,0.8170598801419708,1,1,6.0,incumbent,1.0,test,harness
43,0,0,0.979896446010399,0.9327750648279186,0,1,6.0,b1.02,1.02,train,harness
4,1,1,1.1917248169959325,1.0095279510877073,1,1,6.0,b1.02,1.02,test,harness
43,0,0,0.952329181141439,0.8988066165283782,0,1,6.0,b1.05,1.05,train,harness
4,1,1,1.0374370906167847,0.957840789142606,1,1,6.0,b1.05,1.05,test,harness
43,0,0,0.9991816650192299,0.9660624805764786,0,1,6.0,g0,1.0,train,harness
4,3,5,1.078399981900336,1.0398907858077915,3,1,6.0,g0,1.0,test,harness
43,0,0,0.8962429122867507,0.8049300512894976,0,1,6.0,g1,1.0,train,harness
4,1,1,1.0465026097821508,0.9093725548191227,1,1,6.0,g1,1.0,test,harness
43,0,0,0.8865444140554445,0.827991981018861,0,1,6.0,g2,1.0,train,harness
4,0,0,0.9261817655920668,0.8826248593157588,0,1,6.0,g2,1.0,test,harness
43,0,0,0.9137278198722316,0.833805222546075,0,1,6.0,g4,1.0,train,harness
4,1,1,1.0884710197475411,0.9041696153028475,1,1,6.0,g4,1.0,test,harness
47,0,0,0.9774132751824989,0.7793584328393506,0,2,6.0,incumbent,1.0,train,harness
4,0,0,0.9229229909697426,0.8105680191203564,0,2,6.0,incumbent,1.0,test,harness
47,0,0,0.9784174247731982,0.9206135383578701,0,2,6.0,b1.02,1.02,train,harness
4,1,2,1.2995915746763185,1.0372313512861147,2,2,6.0,b1.02,1.02,test,harness
47,0,0,0.9505469029966822,0.8930516834117563,0,2,6.0,b1.05,1.05,train,harness
4,1,1,1.2099077817115687,0.9734366283940044,1,2,6.0,b1.05,1.05,test,harness
47,0,0,0.9999047341832871,0.9505922127667813,0,2,6.0,g0,1.0,train,harness
4,2,4,1.262342414478158,1.0621894307809931,4,2,6.0,g0,1.0,test,harness
47,0,0,0.8989454596456579,0.8147943291680011,0,2,6.0,g1,1.0,train,harness
4,1,1,1.113617543028641,0.8852503365167721,1,2,6.0,g1,1.0,test,harness
47,0,0,0.8724318493295639,0.8037350786058413,0,2,6.0,g2,1.0,train,harness
4,1,1,1.0725951259136932,0.8603169036911926,1,2,6.0,g2,1.0,test,harness
47,0,0,0.8780686184851856,0.8050327310642734,0,2,6.0,g4,1.0,train,harness
4,0,0,0.9147572674878123,0.8216039542397955,0,2,6.0,g4,1.0,test,harness
51,1,1,1.0103751362565285,0.7778947929112363,1,3,6.0,incumbent,1.0,train,harness
5,0,0,0.8198708053441458,0.7741440060982623,0,3,6.0,incumbent,1.0,test,harness
51,0,0,0.9800410196896491,0.9256407127383819,0,3,6.0,b1.02,1.02,train,harness
5,1,1,1.0053442727394313,0.9385941716578456,1,3,6.0,b1.02,1.02,test,harness
51,0,0,0.9522415674613328,0.8857885854598297,0,3,6.0,b1.05,1.05,train,harness
5,0,0,0.9519428749355197,0.9177908440627288,0,3,6.0,b1.05,1.05,test,harness
51,0,0,0.999876508174581,0.9493642054445831,0,3,6.0,g0,1.0,train,harness
5,1,1,1.031238477932708,0.9562505621964863,1,3,6.0,g0,1.0,test,harness
51,0,0,0.8943691020937419,0.7958642971192447,0,3,6.0,g1,1.0,train,harness
5,0,0,0.8219100646268453,0.7909238240251585,0,3,6.0,g1,1.0,test,harness
51,0,0,0.9007903195288446,0.8224320143799582,0,3,6.0,g2,1.0,train,harness
5,0,0,0.8189697744544355,0.8083645896736705,0,3,6.0,g2,1.0,test,harness
51,0,0,0.9018533623623087,0.8018423101643299,0,3,6.0,g4,1.0,train,harness
5,0,0,0.8264929628976265,0.7992303501039418,0,3,6.0,g4,1.0,test,harness
