n_days,days_violated,station_days_over,worst_day_ratio,mean_daily_ratio,stations_over,fold,z,arm,train_beta,role,lhat_source
38,8,9,1.5627747590574326,0.9573289904246532,9,0,3.0,incumbent,1.0,train,harness
5,2,2,1.0344385490618957,0.9598540870389408,2,0,3.0,incumbent,1.0,test,harness
38,0,0,0.9801870129113671,0.9500714633787722,0,0,3.0,b1.02,1.02,train,harness
5,2,2,1.029176379253871,0.9992293795895618,2,0,3.0,b1.02,1.02,test,harness
38,0,0,0.9523270186211472,0.9303818376644065,0,0,3.0,b1.05,1.05,train,harness
5,1,2,1.0700633460321396,0.9934803449265855,2,0,3.0,b1.05,1.05,test,harness
38,0,0,0.9991793148646628,0.9689748768136479,0,0,3.0,g0,1.0,train,harness
5,3,3,1.0925248145908177,1.0303718827070163,3,0,3.0,g0,1.0,test,harness
38,0,0,0.9217733756626038,0.8823735732766017,0,0,3.0,g1,1.0,train,harness
5,1,2,1.355903118502751,1.0137006567494382,2,0,3.0,g1,1.0,test,harness
38,0,0,0.928571853196215,0.890778086352872,0,0,3.0,g2,1.0,train,harness
5,2,2,1.104407817266715,0.9876307802280516,2,0,3.0,g2,1.0,test,harness
38,0,0,0.9384481540692862,0.8917383127366584,0,0,3.0,g4,1.0,train,harness
5,2,3,1.0591636900913115,0.9824422408184112,3,0,3.0,g4,1.0,test,harness
