fold,run,arm,days_viol,st_days_over,V_te
0,grid,g0,3,4,66592
0,grid,g2,0,0,74315
0,s11,g0,3,4,67183
0,s11,g2,0,0,73813
0,s22,g0,2,3,66650
0,s22,g2,1,1,73946
1,grid,g0,3,4,32208
1,grid,g2,1,1,35288
1,s11,g0,4,5,32241
1,s11,g2,0,0,35605
1,s22,g0,1,1,32230
1,s22,g2,0,0,35335
2,grid,g0,1,3,30672
2,grid,g2,0,0,33594
2,s11,g0,3,4,30720
2,s11,g2,1,1,33656
2,s22,g0,2,4,30943
2,s22,g2,1,1,33820
3,grid,g0,1,1,53808
3,grid,g2,0,0,60325
3,s11,g0,0,0,54748
3,s11,g2,0,0,60571
3,s22,g0,2,2,54727
3,s22,g2,0,0,59901
