fold,arm,gamma,station,ratio_norm
3,gamma0,0.0,ST_01.01,36.44761203721066
3,gamma0,0.0,ST_01.02,36.39181613148991
3,gamma0,0.0,ST_01.03,36.992068037750435
3,gamma0,0.0,ST_01.04,42.47833769199484
3,gamma0,0.0,ST_01.05,31.594761182413123
3,gamma0,0.0,ST_01.06,24.057210080186458
3,gamma0,0.0,ST_01.07,36.49490464441664
3,gamma0,0.0,ST_01.08,11.612562667096217
3,gamma0,0.0,ST_01.09,34.263104940326855
3,gamma0,0.0,ST_01.10,26.88865757840434
3,gamma0,0.0,ST_01.11,33.052672971733934
3,gamma0,0.0,ST_01.12,6.152134736886302
3,gamma0,0.0,ST_01.13,19.77108270120713
3,gamma0,0.0,ST_01.21,38.281933713512984
3,gamma0,0.0,ST_01.22,32.22452213267385
3,gamma0,0.0,ST_01.23,13.43889356198353
3,gamma0,0.0,ST_01.24,20.03307158015122
3,gamma0,0.0,ST_01.25,25.221184777275134
3,gamma0,0.0,ST_01.26,32.069926877239915
3,gamma0,0.0,ST_01.27,28.323537663221114
3,gamma0,0.0,ST_01.28,33.03914215023718
3,gamma0,0.0,ST_01.30,41.928658297298206
3,gamma0,0.0,ST_01.31,26.699476222594154
3,gamma0,0.0,ST_01.E4,8.249851748310988
3,gamma1,1.0,ST_01.01,29.890091879888235
3,gamma1,1.0,ST_01.02,37.75362405015241
3,gamma1,1.0,ST_01.03,30.318706178185494
3,gamma1,1.0,ST_01.04,37.20020741632553
3,gamma1,1.0,ST_01.05,36.15016804253312
3,gamma1,1.0,ST_01.06,32.6587065547845
3,gamma1,1.0,ST_01.07,26.656732704144765
3,gamma1,1.0,ST_01.08,30.377903545359615
3,gamma1,1.0,ST_01.09,29.960518522036345
3,gamma1,1.0,ST_01.10,28.960275392184396
3,gamma1,1.0,ST_01.11,27.687542287230915
3,gamma1,1.0,ST_01.12,16.43437391252145
3,gamma1,1.0,ST_01.13,26.30024039859686
3,gamma1,1.0,ST_01.21,28.515532398531377
3,gamma1,1.0,ST_01.22,27.225038141155327
3,gamma1,1.0,ST_01.23,27.024330543180483
