STATION_ID;CAPACITY;TIME_CAPACITY;SPEED
1;1282;1558;51.346499
2;2134;2594;30.83558
3;1505;1829;43.730887
4;1642;1996;40.084093
5;1912;2324;34.416366
6;133;111;723.478261
7;99;83;967.44186
8;113;95;848.979592
9;336;281;284.931507
10;339;283;282.993197
11;273;228;351.054852
12;10;8;10400.0
13;52;44;1848.888889
14;747;624;128.197227
15;110;92;875.789474
16;134;112;717.241379
17;128;107;749.54955
18;151;126;635.114504
19;164;137;585.915493
20;127;106;756.363636
21;565;472;169.450102
22;1803;3325;24.058711
23;4347;8019;9.973545
24;6420;11842;6.753852
25;2;1;83200.0
