PRODUCT_ID;CATEGORY;POPULARITY
10-50;0;8
100004-100;0;2
1000043;0;67
100005-200;0;36
100006-100;0;9
1000062;0;15
1000064;0;31
100007-100;0;10
100008-100;0;6
100010-100;0;4
100015;0;137
1000162-50;0;786
100021-200;0;44
1000260;0;3
1000263;0;19
1000264;0;362
1000269;0;6
1000270;0;333
1000271;0;348
1000280;0;718
1000281;0;2
1000289-20;0;356
1000290;0;23
1000293-50;0;943
1000295;0;829
1000296;0;519
1000302;0;47
1000306;0;48
1000309;0;37
1000358-20;0;10
1000361;0;362
1000362;0;1038
1000363;0;1132
1000364;0;12
1000371;0;36
1000381;0;1597
1000382;0;1920
1000384-50;0;51
1000388-12;0;4
100048-200;0;21
100050-100;0;9
100051-100;0;11
100052-100;0;6
100053-25;0;48
100056-200;0;20
1000581;0;2
1000582;0;2
1000605-100;0;22
1000635;0;54
1000659;0;57
1000660;0;87
1000662-5;0;15
1000663-5;0;20
1000665-5;0;46
1000666-5;0;66
1000667-5;0;148
1000668-5;0;106
1000669-5;0;228
1000670-5;0;200
1000671-5;0;316
1000672-3;0;113
1000673-3;0;419
1000674-3;0;154
1000675-3;0;94
1000676-3;0;52
1000677-3;0;295
1000678-3;0;98
1000679-3;0;58
1000680-3;0;31
1000681-3;0;171
1000682;0;52
1000683;0;41
1000684;0;13
1000685;0;72
1000686;0;28
1000687;0;63
1000688;0;413
1000689;0;280
1000709-5;0;10
1000710-5;0;9
1000711-5;0;20
1000712-5;0;29
1000713-5;0;52
1000714-5;0;52
1000715-5;0;90
1000716-5;0;76
1000717-5;0;120
1000718-3;0;47
1000719-3;0;179
100072-200;0;15
1000720-3;0;65
1000721-3;0;44
1000722-3;0;17
1000723-3;0;144
1000724-3;0;43
1000725-3;0;35
1000726-3;0;11
1000727-3;0;95
1000728;0;29
1000729;0;24
1000730;0;10
1000731;0;42
1000732;0;5
1000733;0;49
1000734;0;154
1000735;0;179
1000759;0;4
1000760;0;1
100080;0;93
1000890;0;142
1000891;0;569
1000892;0;194
1000893;0;583
100095;0;9
1000953;0;212
1000962;0;9
1000964;0;2
1000965;0;2
1000966;0;14
100110-100;0;9
1001240;0;32
100129-100;0;45
100137-100;0;28
10014-100;0;4
100145-100;0;87
1001594;0;2
1001595;0;3
1001596;0;4
1001597;0;5
1001598;0;3
1001603;0;1
1001604;0;4
1001605;0;5
1001606;0;4
1001607;0;3
1001608;0;2
100161-100;0;135
1001613;0;2
1001614;0;1
1001615;0;1
1001616;0;3
1001622;0;1
1001623;0;5
1001624;0;2
1001625;0;5
1001626;0;1
1001627;0;1
1001631;0;5
1001632;0;3
1001633;0;3
1001634;0;2
1001635;0;1
1001636;0;1
1001637;0;1
1001640;0;5
1001641;0;3
1001642;0;2
1001643;0;2
1001698;0;1150
1001747;0;28
1001748;0;161
1001749;0;170
1001750;0;25
100188-100;0;39
1001898-30;0;28
1001899-18;0;25
1001900-36;0;20
1001901-18;0;44
1001902-30;0;47
1001903-30;0;7
1001904-30;0;11
1001905-30;0;40
100196-100;0;60
100200-100;0;19
1002019;0;22
100218-100;0;41
10022-100;0;13
10022-500;0;8
1002200;0;249
100234-100;0;21
1002372;0;3
1002373;0;6
1002374;0;9
1002375;0;9
1002395;0;174
1002396;0;173
1002406;0;78
1002410;0;26
1002411-15;0;302
1002479;0;23
1002480;0;9
1002481;0;15
100250-100;0;14
1002649-6;0;525
1002653;0;150
100293-100;0;57
100307-100;0;30
1003090;0;1
1003091;0;58
1003094;0;46
100315-100;0;117
1003174;0;2
1003175;0;1
10032;0;19
10033;0;7
100331-100;0;192
10034-25;0;31
1003532-12;0;37
1003563-10;0;235
1003565-10;0;273
1003567-10;0;359
100358-100;0;95
10036-20;0;15
1003635;0;15
100366-100;0;112
1003666;0;20
1003667;0;31
1003668;0;73
100374-100;0;34
100382-100;0;74
100385-25;0;76
100386-25;0;108
100387-25;0;158
100388-25;0;158
100389-25;0;131
100390-100;0;13
100391-10;0;168
100392-10;0;149
