STATION_ID;CAPACITY;TIME_CAPACITY;SPEED
1;1282;495;51.346499
2;2134;3582;30.83558
3;1505;1935;43.730887
4;1642;2570;40.084093
5;1912;2816;34.416366
6;133;68;723.478261
7;99;51;967.44186
8;113;51;848.979592
9;336;245;284.931507
10;339;268;282.993197
11;273;178;351.054852
12;10;1;10400.0
13;52;20;1848.888889
14;747;426;128.197227
15;110;34;875.789474
16;134;60;717.241379
17;128;49;749.54955
18;151;65;635.114504
19;164;82;585.915493
20;127;45;756.363636
21;565;290;169.450102
22;1803;1870;24.058711
23;4347;9524;9.973545
24;6420;6778;6.753852
25;2;1;83200.0
