ORDER;PRODUCT;QTY;STATION
ORD_1;PROD_1996;1;2
ORD_1;PROD_1435;1;17
ORD_1;PROD_1478;1;7
ORD_1;PROD_502;3;14
ORD_1;PROD_805;1;5
ORD_1;PROD_459;8;12
ORD_1;PROD_433;8;18
ORD_1;PROD_1509;1;8
ORD_1;PROD_1951;2;5
ORD_2;PROD_890;7;9
ORD_2;PROD_945;1;10
ORD_2;PROD_751;5;3
ORD_2;PROD_1107;6;20
ORD_2;PROD_1023;9;4
ORD_2;PROD_1702;2;13
ORD_2;PROD_32;9;1
ORD_2;PROD_1608;2;20
ORD_2;PROD_230;1;9
ORD_2;PROD_1879;3;19
ORD_2;PROD_808;5;13
ORD_2;PROD_57;9;6
ORD_3;PROD_1132;1;1
ORD_3;PROD_217;6;6
ORD_3;PROD_1719;1;18
ORD_3;PROD_237;1;18
ORD_3;PROD_1866;1;7
ORD_3;PROD_653;4;13
ORD_3;PROD_1105;7;4
ORD_3;PROD_852;5;15
ORD_3;PROD_1192;2;4
ORD_3;PROD_903;7;19
ORD_3;PROD_664;2;9
ORD_3;PROD_166;6;1
ORD_3;PROD_1057;2;9
ORD_3;PROD_485;6;20
ORD_4;PROD_1006;1;1
ORD_4;PROD_1017;2;12
ORD_4;PROD_1523;4;13
ORD_4;PROD_81;8;5
ORD_4;PROD_8;6;1
ORD_4;PROD_138;7;16
ORD_4;PROD_1784;6;14
ORD_4;PROD_1480;8;4
ORD_4;PROD_908;4;11
ORD_4;PROD_874;1;9
ORD_4;PROD_120;1;20
ORD_4;PROD_564;8;6
ORD_4;PROD_1899;3;18
ORD_5;PROD_1576;3;19
ORD_5;PROD_1728;3;9
ORD_5;PROD_369;9;12
ORD_5;PROD_1422;4;18
ORD_5;PROD_1668;8;8
ORD_5;PROD_207;1;18
ORD_5;PROD_554;2;7
ORD_5;PROD_276;4;11
ORD_5;PROD_1251;6;18
ORD_6;PROD_782;1;17
ORD_6;PROD_1640;4;15
ORD_6;PROD_1816;9;15
ORD_6;PROD_996;5;15
ORD_6;PROD_1474;6;15
ORD_6;PROD_644;6;2
ORD_6;PROD_1443;5;4
ORD_6;PROD_500;6;19
ORD_6;PROD_1360;7;14
ORD_6;PROD_1098;7;2
ORD_6;PROD_202;4;7
ORD_6;PROD_255;3;9
ORD_6;PROD_129;3;2
ORD_6;PROD_139;3;6
ORD_6;PROD_797;5;3
ORD_7;PROD_959;3;2
ORD_7;PROD_1726;5;17
ORD_7;PROD_186;9;13
ORD_7;PROD_1498;5;10
ORD_7;PROD_533;1;8
ORD_7;PROD_295;6;20
ORD_7;PROD_612;4;16
ORD_7;PROD_1547;1;6
ORD_7;PROD_1557;5;8
ORD_7;PROD_1860;8;14
ORD_7;PROD_292;8;12
ORD_7;PROD_1465;3;4
ORD_7;PROD_289;8;7
ORD_8;PROD_1588;3;3
ORD_8;PROD_462;1;14
ORD_8;PROD_376;8;15
ORD_8;PROD_276;8;9
ORD_8;PROD_163;1;3
ORD_8;PROD_1664;5;3
ORD_9;PROD_1898;6;16
ORD_9;PROD_450;4;18
ORD_9;PROD_1592;7;1
ORD_9;PROD_531;6;16
ORD_9;PROD_1509;9;8
ORD_9;PROD_89;5;5
ORD_9;PROD_241;4;20
ORD_10;PROD_490;4;13
ORD_10;PROD_879;4;18
ORD_10;PROD_743;6;9
ORD_10;PROD_683;3;2
ORD_10;PROD_133;5;18
ORD_10;PROD_898;7;18
ORD_10;PROD_234;2;13
ORD_11;PROD_592;8;12
ORD_11;PROD_113;3;3
ORD_11;PROD_1516;9;13
ORD_11;PROD_1439;4;16
ORD_11;PROD_400;1;12
ORD_11;PROD_543;6;15
ORD_11;PROD_1422;3;17
